subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-112.525314,165.404388,-46.362022,7.318098,-15.394397,6.136122,1,0,0,1
1,-72.122429,111.336945,-36.674133,5.427319,-32.756016,0.909751,0,0,0,0
2,-86.262108,140.819000,-36.757439,-2.749324,-48.664444,0.621389,0,0,0,0
3,-71.999634,76.782295,-49.811287,87.371887,-47.006729,1.902822,0,0,0,0
4,-50.288151,107.161758,-45.812920,26.767178,-31.165585,1.206313,0,1,1,0
5,-97.065636,115.230270,-40.464653,16.120089,-26.917467,0.638805,0,0,0,0
6,-97.180351,123.013672,-32.011913,47.405895,-26.418081,1.093187,0,0,0,0
7,-88.214966,54.353348,-15.342634,45.984364,-64.190445,1.129614,0,0,0,1
8,-119.845879,98.691757,-54.829449,54.362480,-21.233971,0.686409,0,1,0,0
9,-127.992584,129.735184,-38.855057,54.876686,-22.052967,0.549965,0,0,1,0
10,-119.490921,126.483307,-41.099548,18.352123,-21.602997,0.428572,0,0,0,1
11,-135.526138,112.894699,-34.474274,15.418179,-26.989899,0.993498,0,1,0,0
12,-94.236069,107.339966,-43.005287,30.420650,-14.211218,0.619672,0,0,1,1
13,-153.471741,135.456772,-21.519114,30.034767,-31.373611,0.525382,0,1,0,0
14,-81.190292,116.455536,-34.685120,2.274176,-60.156387,0.308825,0,0,1,0
15,-143.680313,136.046356,-1.797358,30.343374,-36.230835,0.699895,0,0,0,1
16,-150.082138,125.009590,-31.396225,41.457100,-15.290234,0.499654,0,1,1,0
17,-124.876549,121.005646,-5.755418,29.240471,-6.659481,0.614205,0,0,0,0
18,-98.513344,88.529999,-4.325193,40.583122,-53.047001,1.313995,1,0,0,0
19,-102.271118,136.943115,-19.541660,19.298908,-41.775558,0.888059,0,0,0,0
20,-131.867767,130.900696,-42.219429,34.127846,-11.141393,0.495487,0,0,1,1
21,-130.842957,111.385361,1.142487,37.400063,-9.816366,0.435501,0,0,0,0
22,-79.490471,106.576591,-59.666519,17.723419,-32.638802,0.952370,0,1,0,1
23,-135.166687,151.795563,-2.871242,24.308403,-18.508629,0.762255,0,0,0,0
24,-143.525925,143.085403,5.337337,15.271772,-21.984909,1.016874,0,0,0,0
25,-181.767899,145.500732,-2.303230,24.406139,-18.458832,0.646953,1,0,0,0
26,-155.191040,115.916588,-1.130227,48.740547,-7.186140,0.699039,0,0,0,1
27,-84.682114,119.959152,-14.042441,5.699720,-32.738602,0.621967,0,0,0,0
28,-157.941757,116.166245,-28.760864,43.927040,-4.829842,0.624869,1,0,1,0
29,-149.185669,116.286110,4.106632,42.826546,-9.410967,0.542515,0,0,0,0
30,-156.726151,91.352066,22.839602,30.868477,-12.136202,0.671599,0,0,0,0
31,-193.616135,114.589874,-1.862921,27.662514,-14.954141,0.447353,0,0,0,1
32,-190.270172,110.335480,-3.024894,16.125738,-1.055383,0.482067,0,0,1,1
33,-126.873833,117.833679,-1.047966,26.132648,-12.555214,0.659913,0,0,0,0
34,-159.149261,123.792526,0.477124,29.439922,-9.631451,0.582025,1,0,0,0
35,-166.450150,122.067062,17.460323,21.421482,-11.216788,0.356964,0,0,0,0
36,-159.215179,118.578232,-18.845810,36.169189,-0.710105,0.700426,1,1,0,0
37,-168.311646,105.878113,33.344986,30.541531,-15.477246,0.490353,0,0,0,0
38,-133.515854,49.957077,16.998857,57.918304,-51.288803,1.278671,0,0,0,1
39,-90.746368,101.525574,-40.671322,10.718925,-59.579651,0.305268,0,1,0,0
40,-126.841904,122.014526,-12.146982,10.014091,-57.127724,1.732232,0,0,0,1
41,-203.265839,122.042595,37.856552,41.957336,-18.654514,0.741977,0,0,0,0
42,-225.540253,126.235260,13.508968,26.612289,-23.639389,0.857806,1,0,0,0
43,-154.431580,110.242706,23.369551,13.447130,-44.298721,1.672376,0,0,0,0
44,-128.203430,112.201019,-17.265686,35.092373,-9.729889,0.705325,0,1,0,0
45,-142.151749,56.488861,22.409580,55.421577,-49.229851,1.420204,0,0,0,1
46,-144.048691,88.931137,-14.990526,23.125954,-5.516794,0.234211,1,0,0,0
47,-197.986099,111.086472,50.193256,27.921616,-19.096539,0.358423,0,1,0,0
48,-209.804794,120.211357,48.842571,33.063583,-25.821331,0.447406,1,0,0,1
49,-94.522736,107.889671,-13.993320,3.024997,-31.439480,1.274529,0,0,0,0
50,-204.868866,120.736328,-8.472618,23.939999,-14.986550,0.237750,0,0,1,0
51,-142.519409,147.001892,18.349855,12.485128,-51.613937,0.540894,0,0,0,0
52,-153.279861,120.766533,-12.491963,27.170036,-11.816484,0.704330,1,1,0,0
53,-129.534271,123.076241,25.253471,10.404467,-53.996506,0.997542,0,0,0,0
54,-81.807251,51.378967,-47.277462,111.653915,-35.439804,4.060858,0,0,1,1
55,-91.667778,117.196030,-18.863432,76.629234,-23.267986,0.681575,0,0,0,0
56,-155.055786,138.995499,-16.223402,46.039341,-14.824966,0.584621,1,1,0,0
57,-81.486649,125.919266,-34.511906,15.381824,-30.132084,0.547988,0,0,0,0
58,-73.001953,104.052399,-39.139011,43.676311,-36.424721,3.790947,1,0,0,1
59,-78.078590,132.726105,-28.293766,5.109785,-42.468525,0.303938,0,0,0,0
60,-58.951767,100.175873,-60.782646,26.452097,-33.409157,3.511224,0,1,1,1
61,-126.306580,151.141464,-4.182397,14.738565,-22.727322,0.318699,1,0,0,0
62,-124.114769,125.279999,0.813133,11.650295,-18.495766,1.273522,0,0,0,0
63,-160.114151,135.493439,8.920957,19.038536,-15.885264,0.531561,0,0,0,0
64,-190.059280,142.940277,-4.617221,23.962784,-8.203192,0.256739,0,1,0,0
65,-149.941513,113.960587,2.244076,30.008951,-18.211870,0.771273,0,0,0,0
66,-99.551323,78.071182,-29.716013,80.119331,-27.174603,1.162011,1,0,0,0
67,-170.128677,136.026611,18.244036,28.439627,-11.079252,0.548363,0,0,1,0
68,-122.275307,130.331192,-11.897776,28.845472,-7.439713,0.394457,1,0,0,1
69,-140.214966,100.856201,16.887560,58.601868,-6.894011,0.940802,0,0,0,0
70,-150.066360,89.643387,-22.914537,80.957611,-26.935858,2.104970,0,0,0,1
71,-202.540314,129.342850,18.292965,60.936127,2.857664,0.155622,0,0,1,0
72,-188.057343,132.596909,-6.475098,61.105843,4.403373,0.721710,1,0,0,1
73,-92.278511,118.053764,-34.557266,55.270039,-18.792757,0.975280,0,0,0,0
74,-251.391953,134.997406,13.915210,56.458469,13.003078,0.610633,1,0,0,0
75,-125.135155,98.885635,-13.593382,47.158619,-14.674437,0.833396,0,1,1,0
76,-80.410545,130.618317,-51.273018,22.771088,-14.663898,0.682391,1,0,0,1
77,-99.087479,136.631744,-47.042053,1.265556,-28.010071,0.924521,0,0,0,0
78,-139.305237,93.219406,-24.320671,28.358864,-15.401448,0.644152,1,1,0,0
79,-81.143692,110.585922,-23.390886,58.357048,-13.424801,0.597945,0,0,0,0
