subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-445.381531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.972809,6.972809,6.972809,6.972809,6.972809,6.972809,0.009766,0,1,1,0
1,-171.303268,149.097900,7.803726,61.271629,6.065804,2.666193,0.158053,11.380029,2.545317,14.807970,20.402981,21.444111,16.876308,0.021973,1,0,0,0
2,-276.207153,107.580704,-3.075802,39.363266,34.840572,0.929813,0.133694,14.146975,11.745954,9.734970,28.352355,23.279972,29.452685,0.021973,0,0,1,0
3,-295.699371,102.477242,11.287071,55.352127,57.984444,0.820943,0.149183,18.851612,10.200576,23.129131,35.644351,25.435287,28.448518,0.009766,0,0,0,1
4,-289.723694,119.501701,30.387756,60.646935,54.533485,1.065145,0.143947,16.112085,14.825392,17.067230,29.336412,23.471230,31.796031,0.015625,0,1,0,0
5,-287.259247,132.497925,38.320210,52.173611,49.154957,0.614611,0.136705,20.468910,11.201934,24.341942,29.021371,25.572061,33.219271,0.016602,0,0,1,0
6,-257.450012,165.764267,54.199852,44.310108,17.894501,0.876933,0.189331,19.839727,15.238820,14.328510,19.801001,25.122269,38.102498,0.010254,1,0,0,0
7,-242.251572,174.397202,53.381561,32.550858,1.579434,0.419065,0.162622,29.184584,15.716630,12.542690,22.218190,39.379505,35.683536,0.020996,0,1,0,0
8,-217.581467,172.289581,50.832962,43.118275,-14.133889,0.873509,0.182254,14.696164,10.300691,20.287024,23.742719,33.493047,27.458749,0.030273,0,0,0,1
9,-162.397903,190.879745,21.646736,8.766407,-27.580736,1.376076,0.222450,24.193617,7.140908,15.941921,27.787876,23.374318,35.863395,0.030762,1,0,0,0
10,-97.181496,167.266022,-22.377317,4.300781,-33.372719,1.817124,0.229409,19.750934,9.014439,13.383983,23.704414,24.689873,20.347510,0.049316,0,0,1,0
11,-64.559456,154.290619,-44.635159,20.669010,-5.797826,1.008787,0.222869,24.760377,9.114910,22.505637,18.319462,28.225073,26.687954,0.079590,0,1,0,0
12,-70.811859,149.799332,-64.392563,40.301056,-20.754820,1.662400,0.186649,21.035772,10.562444,14.072460,20.069780,19.906092,23.210238,0.095215,0,0,1,1
13,-56.767124,151.186554,-46.818687,37.297752,-8.935923,0.185162,0.562194,17.472322,22.025406,13.477538,20.555999,26.164538,19.329900,0.021484,0,0,0,0
14,-153.992691,193.603607,-18.909338,18.325190,1.367674,0.999147,0.361106,25.338484,9.926626,15.671939,15.167343,16.460495,20.925187,0.014160,1,1,0,0
15,-66.377602,126.809067,-42.237610,65.647873,5.638117,1.250987,0.434749,15.893538,18.110678,9.402413,9.542728,14.624903,14.642756,0.026855,0,0,0,1
16,-70.367966,113.606453,-40.933624,68.102242,6.037499,1.655318,0.458748,11.506574,28.396741,9.724643,16.223791,17.900466,18.189092,0.019531,1,0,1,0
17,-19.365227,149.107269,-7.427011,31.356453,7.439244,0.318344,0.885984,14.894534,10.146535,9.193011,11.627172,13.311190,12.724008,0.002930,0,0,0,0
18,-33.135063,192.525772,-23.287216,31.008354,-8.764270,0.807833,0.534938,9.978187,5.353065,10.479707,20.474110,11.345839,15.430430,0.027344,0,0,1,0
19,-51.554123,196.143219,-25.793936,39.472153,4.315364,0.706109,0.512427,11.618834,12.225723,15.367173,17.695570,16.167034,21.324195,0.028809,0,0,0,0
20,-120.503288,178.071198,3.444075,8.943373,-2.328578,1.475071,0.179044,8.837371,9.951509,18.327661,18.116841,17.457942,17.540954,0.035156,1,0,0,1
21,7.360756,136.649170,-12.603165,47.886635,4.555771,0.636020,0.708379,16.328442,12.267233,10.824932,13.920794,10.144431,12.211413,0.028809,0,0,0,0
22,-109.422806,203.244888,33.953400,37.245186,7.806429,0.850466,0.555117,13.417620,7.846296,15.794284,13.927136,19.114739,18.275390,0.011230,0,1,0,0
23,-61.237095,129.499237,25.404646,36.136139,23.623539,0.161230,0.551845,14.425256,13.634339,17.240848,20.890995,24.127470,21.339283,0.027832,0,0,0,0
24,-147.128662,212.509979,-11.251272,34.578125,45.671196,0.620116,0.496220,15.458588,11.421669,21.110747,12.867584,16.546679,21.450141,0.016113,0,1,0,1
25,-98.317024,164.594940,44.619774,37.933937,13.210457,0.256578,0.809679,19.656983,14.551705,13.120144,15.493579,13.868912,17.109858,0.002930,0,0,0,0
26,-280.134247,129.732544,7.611501,27.091202,43.699112,0.390317,0.113026,16.907101,15.204352,27.193670,27.352020,32.053912,33.581922,0.019043,1,0,0,0
27,-1.976170,99.552124,35.166550,47.123718,-23.188164,0.722952,0.499514,7.340997,6.203352,9.171003,12.231781,16.377789,23.001240,0.062988,0,0,0,0
28,-58.673058,132.202759,52.887779,58.213028,-14.338919,0.985932,0.508640,16.647384,8.764459,13.513871,14.864845,11.978878,19.077058,0.044922,0,0,1,1
29,-54.252583,118.613876,-5.129414,60.521225,16.000025,0.974209,0.701946,14.667650,12.814288,12.414868,11.018582,11.844630,15.500102,0.015625,0,0,0,0
30,-387.462402,74.783829,62.369858,53.438301,42.362488,0.219638,0.076017,7.399790,10.193275,20.102359,11.991059,14.726376,19.256923,0.002441,0,1,0,0
31,-10.115469,143.847595,7.048303,30.565758,4.253860,0.401701,0.555622,10.912307,7.338541,11.417607,18.959410,20.865539,20.668972,0.033203,0,0,0,0
32,-254.060303,185.856415,63.765793,43.018005,49.472084,0.474558,0.449076,14.058078,7.593295,18.902644,24.158477,16.296581,20.163346,0.003418,1,1,0,0
33,-111.703262,150.942749,31.129215,35.454445,19.002880,0.214265,0.847054,18.787848,7.627101,18.582117,10.913176,11.219304,15.317861,0.004883,0,0,0,0
34,-293.471954,135.281616,26.493649,16.149670,24.645542,0.522245,0.128305,16.677327,20.377672,34.183755,23.551166,26.029428,24.468211,0.020020,0,0,1,0
35,-17.897650,149.042755,22.331821,24.237617,7.951373,0.522933,0.562289,14.702224,8.183186,21.634358,14.959311,16.649896,18.161682,0.021973,0,0,0,0
36,-82.545311,193.540619,24.322906,41.616581,20.397652,1.273927,0.588573,13.005861,7.718610,14.474858,15.692578,16.578957,17.735324,0.014648,0,0,1,1
37,-41.129684,163.581055,-4.424625,69.443665,-0.098080,0.644645,0.775313,10.072031,8.237665,15.757612,18.206302,13.492061,12.753558,0.006348,0,0,0,0
38,-206.350555,165.489471,-19.733831,29.160576,46.108669,0.235078,0.214617,12.982767,16.068820,25.010866,28.499878,19.138014,25.267322,0.020996,1,0,0,0
39,-52.288937,139.952301,45.693035,33.496269,1.327457,0.403665,0.608990,15.132362,17.118200,11.398630,15.450532,14.709116,15.543270,0.020508,0,1,0,0
40,-120.834938,95.685806,70.860619,61.025394,-14.683362,0.338746,0.501008,20.206158,14.496277,19.166495,12.014800,23.938235,22.786277,0.021484,1,0,1,0
41,-86.256927,174.508972,38.640671,25.410725,3.690917,0.686792,0.843859,14.162955,10.045684,13.688196,11.653190,19.340208,14.107972,0.004395,0,0,0,0
42,-141.201248,177.495148,36.347958,55.189934,20.963478,0.805960,0.519429,8.937868,5.251018,18.660947,18.352844,16.653345,19.632235,0.009766,0,0,1,0
43,-4.475968,83.974892,40.831894,52.164734,-23.894953,0.388820,0.448591,19.574306,8.354385,17.324697,21.417096,16.200700,23.406032,0.120605,0,0,0,0
