subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
37,-103.515984,155.115173,-30.883005,37.961239,-8.282356,0.488305,0.145983,35.241552,5.703563,13.058628,14.433183,16.825600,18.189744,0.045898,0,0,0,0
38,-141.909821,196.921448,-33.130302,34.942108,-3.628171,0.501536,0.173776,21.966821,10.059387,15.990257,18.669382,19.912897,16.101643,0.040039,0,0,1,0
39,-115.267319,173.820770,-53.523270,47.079750,9.955257,0.547734,0.192320,12.347401,9.484690,12.011132,13.234429,26.707625,18.777118,0.053711,1,0,0,0
40,-119.847160,194.931519,-51.364479,42.164398,9.095163,0.516504,0.212449,17.618173,10.007226,14.191817,16.765596,15.367597,19.748629,0.036621,0,1,0,1
41,-65.387909,137.733093,-15.710705,44.045479,-13.264014,0.848716,0.265118,16.861635,8.436628,12.319896,14.410086,20.517549,15.650493,0.038086,0,0,0,0
42,-163.562012,196.057510,-36.824379,31.354065,14.529933,0.579539,0.133466,10.880942,7.730430,17.671495,13.302627,15.617898,18.839131,0.033203,0,0,1,0
43,-133.952286,194.906891,-56.245911,44.909698,25.127628,0.891087,0.222988,13.998620,7.467117,14.593349,19.384063,17.879292,20.776589,0.018555,0,0,0,0
44,-138.362122,181.307022,-20.726746,38.195213,7.625505,0.655046,0.226224,12.927979,10.025820,17.534792,12.171493,21.231552,18.139052,0.017578,0,1,0,0
45,-83.814278,163.257751,-57.755684,39.718452,1.669510,0.447783,0.192284,16.802938,10.368227,17.345033,13.573677,19.985534,19.012269,0.059570,0,0,0,0
46,-113.423698,192.621552,-67.366730,31.075512,6.564096,0.584079,0.169691,15.314778,10.220635,16.275698,14.781051,16.201781,18.804455,0.050781,0,0,0,0
47,-132.437943,194.274979,-57.174637,36.194515,11.749834,1.056779,0.167609,30.586955,10.399681,10.279336,13.268639,21.293792,15.659949,0.041016,0,0,0,0
48,-131.024887,194.989716,-50.033142,29.299137,7.801754,0.394052,0.163864,19.585809,11.021063,14.716607,13.815962,18.102631,22.574337,0.041504,1,0,0,0
49,-123.349258,174.482452,-30.167149,35.625488,7.128606,0.473474,0.183626,18.194880,7.385122,19.979151,25.657836,19.751847,16.762941,0.027344,0,0,0,0
50,-166.118790,214.469788,-34.398300,22.733242,23.434418,0.446838,0.183495,25.848753,7.079666,12.837508,12.328196,16.185564,17.836053,0.024414,0,0,1,0
51,-156.886505,215.202332,-31.940948,28.997009,25.375134,0.809240,0.214643,23.842651,7.145618,13.121104,10.587908,15.887237,20.398738,0.022461,0,1,0,0
52,-129.772964,174.451202,-16.809101,36.995430,4.994066,0.525479,0.178470,28.404217,7.075277,18.023994,13.010774,17.993567,16.162555,0.028809,0,0,0,1
53,-73.401657,121.385048,-9.608501,43.643730,-15.866835,0.564850,0.181722,15.161916,7.533772,16.941199,13.778717,20.679453,15.616446,0.062988,0,0,0,0
54,-143.646637,186.553696,-49.492420,39.237877,7.915238,0.556536,0.155624,14.638944,7.300590,18.173167,26.934583,15.672776,22.724008,0.039062,0,0,1,0
55,-126.193115,177.735443,-21.907064,52.182407,3.907953,1.866686,0.199575,23.219546,6.597386,12.257575,18.040891,19.674514,18.378872,0.020508,0,0,0,0
56,-132.981979,155.753632,-12.442679,40.063847,1.128507,0.665195,0.169324,17.720727,8.301826,12.531104,18.903732,17.790743,19.525298,0.040527,1,1,0,0
57,-57.732899,162.219025,-31.700583,46.512352,-16.812489,1.299915,0.324037,20.057659,11.450397,10.519856,15.479052,18.906501,18.354936,0.048340,0,0,0,0
58,-134.402344,190.500015,-50.052235,56.120464,6.436988,0.633029,0.190533,15.669416,8.006759,20.188773,13.598636,18.806953,19.102675,0.039062,0,0,0,1
59,-119.771637,191.160675,-53.571686,53.818192,22.595137,0.620751,0.238071,13.018321,6.353502,11.164094,15.175104,22.307419,19.127488,0.028320,0,0,0,0
60,-70.027672,138.338577,-29.925135,47.505524,3.711795,0.709075,0.197667,23.483878,7.221671,11.416586,18.993201,22.145255,13.247254,0.082520,0,0,1,0
61,-50.061554,147.335754,-38.173389,60.755981,-24.473835,0.728940,0.248177,14.048413,6.909679,10.591770,14.914285,15.126401,14.509114,0.057129,0,0,0,0
62,-71.069260,132.426834,-28.015923,66.565872,-15.213402,0.555739,0.212708,17.698179,5.155722,15.263902,15.238426,19.107601,15.468072,0.062500,0,1,0,0
63,-86.901146,146.231232,-60.971428,48.142529,-16.943316,0.994437,0.161936,10.050209,9.102775,10.407795,11.677226,12.280893,16.357188,0.056641,0,0,0,0
64,-92.677155,166.874863,-62.554054,48.843513,-11.372359,0.727694,0.144921,16.925598,6.102569,12.004236,16.396893,15.751560,14.539642,0.049316,1,0,1,1
65,-37.028412,140.249786,-45.088821,73.877625,-6.640794,0.849846,0.357403,17.133640,7.861094,13.828310,12.908727,18.947049,17.020688,0.057129,0,0,0,0
66,-48.129677,130.126343,-54.688606,72.190636,-14.787180,0.761457,0.245704,12.614934,12.470310,12.120287,14.271010,19.163039,13.965027,0.079590,0,0,0,1
67,-57.980343,131.618744,-38.707626,75.915436,-15.856708,0.570678,0.285409,13.485657,14.449586,15.484106,14.192856,24.389542,12.862284,0.054199,0,1,0,0
68,-52.097702,141.357376,-45.991703,76.722870,-25.508177,0.665362,0.232275,12.964122,8.332960,13.487474,14.621863,17.557481,15.652209,0.076172,0,0,1,1
