mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-4.418939,-0.106163,2.851406,2.723347,4.883372,-1.736225,-0.147261,1,1,0,1
-0.151154,-0.813589,0.991453,2.543979,-0.758477,-0.133559,1.773927,0,0,0,0
-0.642493,-1.472320,0.081138,2.783384,-1.521782,-0.190930,0.839807,0,0,1,0
0.857205,-0.300145,0.327643,0.892996,-1.722648,1.568336,-0.170960,0,0,0,0
0.290669,-1.732802,-0.789822,0.256528,-1.125247,-0.038050,-0.676524,1,0,0,0
0.435346,-0.622538,0.055525,0.918299,-1.471997,0.013559,-0.678754,0,0,0,0
-0.065034,-1.773472,-1.117565,-0.110175,-1.072539,-0.383070,-0.948593,0,0,0,1
-0.015036,-0.587185,-0.017040,1.187928,-0.688755,-0.859423,-0.908437,0,0,0,0
-0.586334,-1.854406,-1.849482,0.308728,-0.736930,-0.537558,-1.158531,0,0,1,0
0.184472,-0.328975,-0.010389,0.429330,-0.438491,1.376924,-0.816902,0,0,0,0
-0.137358,-1.382372,-0.772608,-0.215847,-0.156937,1.539056,-0.922566,1,0,0,0
0.557247,-0.307606,-0.093139,-0.447414,-0.911787,0.660489,-0.364125,0,0,0,0
-0.039530,-1.443081,-1.062605,-0.462179,0.495958,-0.515232,-0.739418,0,0,0,1
-0.331142,0.178402,-0.141268,0.715815,0.380651,-0.241443,-0.729377,0,0,0,0
-0.913326,-1.191450,-1.371313,0.151435,0.760032,0.197140,-0.875433,0,1,0,0
0.482752,0.215410,0.186061,-0.335759,-0.925410,0.409834,-0.225128,0,0,0,0
-0.262750,-1.440794,-0.856534,-1.203616,0.575376,-0.392220,-0.761666,0,0,1,0
-0.618002,0.394950,-0.092103,0.602124,0.644616,-0.749759,-0.769195,0,0,0,0
-1.100500,-0.929064,-1.067297,-0.540369,1.562601,0.149234,-1.066149,0,0,1,0
-0.926938,0.888760,-0.188898,0.518337,1.523553,-0.468969,-0.844772,0,0,0,0
-1.654291,-0.234559,-1.609535,-0.068541,2.058314,0.754741,-1.197199,0,0,1,0
-1.489735,2.162942,-0.782792,1.358004,1.637199,-0.747111,-0.876766,0,0,0,0
-2.034158,1.130688,-2.106866,0.439589,2.424376,-0.490175,-1.237239,0,0,1,0
-1.902347,2.420410,-0.796966,1.305859,2.451640,-0.422565,-0.773283,0,0,0,0
-2.560783,1.032364,-2.284098,0.077781,3.349856,-0.469004,-1.282196,1,0,0,0
-1.903620,2.842747,-0.955666,0.790074,2.850807,-0.399146,-0.914127,0,0,0,0
-2.578366,1.550917,-1.810809,0.146905,3.810822,-0.534745,-1.131067,1,0,0,0
-2.113033,2.868194,-0.673201,0.861304,3.439815,-1.172940,-0.665741,0,0,0,0
-2.697089,1.391248,-2.068303,-0.092327,4.135584,-1.256725,-1.075051,1,0,0,0
-2.164557,2.857640,-0.168565,0.734734,3.418056,-0.705318,-0.747968,0,0,0,0
-2.855902,1.575588,-1.796215,-0.477154,4.486177,-0.733492,-1.086421,1,0,0,0
-2.334925,3.185552,-0.318838,-0.290369,3.193632,-1.110403,-0.785989,0,0,0,0
-3.081557,1.240065,-2.081603,-1.148831,4.304440,-0.583020,-1.175905,0,0,0,1
-2.429526,3.393568,-0.079113,-0.543308,3.928265,-0.665422,-1.150922,0,0,0,0
-3.257293,1.623795,-1.023201,-0.904949,4.772622,-1.042866,-1.367389,1,0,0,0
-0.027203,-0.344494,0.941791,-0.562195,-0.966936,0.526737,-0.727618,0,0,0,0
-0.537267,-1.336559,0.126126,-0.755237,0.018603,-0.195540,-1.010355,0,0,1,0
-0.213456,0.035547,1.027551,-0.368672,-0.785761,1.320730,-0.869698,0,0,0,0
-0.668792,-1.262415,0.128748,-0.401841,0.903598,0.795954,-1.162321,1,0,0,0
0.316024,0.341377,0.939896,-0.511834,-1.091168,-0.158979,-0.559969,0,1,0,0
0.392443,-0.428914,0.019914,-1.346345,-1.307240,0.681423,-0.653607,0,0,1,0
-0.012823,0.104424,1.035448,0.011610,-0.279405,-0.058793,-0.809429,0,0,0,0
-0.458955,-1.091367,0.139234,-1.086710,-0.192769,1.653237,-1.186074,0,0,0,1
0.492110,0.289051,0.734754,-0.655994,-1.104549,0.697682,-0.580317,0,0,0,0
-0.308561,-1.247241,-0.346214,-1.072347,-0.054567,-0.437290,-1.100704,0,1,0,0
-1.319871,0.220491,1.616254,0.074541,0.610779,0.239010,-1.227643,0,0,0,0
-1.988191,-1.477891,0.307211,-0.630802,1.226757,-0.972232,-1.623607,1,0,0,0
0.177266,0.327358,1.299754,0.228469,-0.272315,1.391933,-0.361785,0,0,0,0
-0.512373,-1.038761,0.919710,-0.320024,-0.110275,2.206990,-0.954827,0,0,1,0
-1.521275,0.525291,1.862978,0.226983,0.824074,0.021817,-0.856374,0,0,0,0
-2.203872,-0.984560,0.914397,-0.940610,0.694036,-0.488440,-1.280696,0,0,1,0
-2.023426,1.176288,2.234528,-0.053898,1.725301,-0.776121,-0.827672,0,0,0,0
-3.002079,-0.334609,1.208710,-1.039482,1.634684,-0.333837,-1.279687,0,0,1,0
-2.988441,2.707719,2.509975,-0.567251,3.197845,-1.553909,-0.929088,0,0,0,0
-4.209203,0.755778,1.134791,-1.341317,3.760982,0.420770,-1.252941,0,0,1,0
-3.443542,3.684831,2.601694,-2.140308,3.545105,-1.313054,-0.731888,0,0,0,0
-4.472396,1.379888,1.543941,-1.735602,4.666684,-0.331922,-1.093829,1,0,0,0
-3.725261,3.514588,2.956364,-2.022138,4.126607,-1.421604,-0.670841,0,0,0,0
-4.642896,1.307121,1.824846,-1.806103,4.866625,-0.876517,-1.139094,1,0,0,0
-3.369734,3.487252,2.729703,-1.515117,3.124055,-1.900256,-0.739729,0,0,0,0
-4.814385,0.998539,1.635068,-2.385059,4.371265,-1.546904,-1.143937,1,0,0,0
-3.613705,3.357380,2.676833,-1.922358,3.436201,-0.732671,-0.796329,0,0,0,0
-4.957918,0.972939,2.137191,-2.137805,4.447603,-1.431872,-1.143294,1,0,0,0
-3.786813,3.364764,3.214376,-1.649755,3.625558,-1.946566,-1.014923,0,0,0,0
-5.025247,1.024836,2.513374,-2.041737,4.283018,-1.913973,-1.277163,0,1,0,0
-0.427898,0.222347,1.980328,0.810383,-0.207854,0.257965,-0.706617,0,0,0,0
-0.758046,-0.948541,1.108233,-0.380484,-0.355266,2.770785,-1.023948,0,0,0,1
-1.326282,0.544423,2.472911,0.263329,0.323752,-0.364298,-0.584012,0,0,0,0
-1.741369,-1.173592,1.372151,-0.627501,-0.049650,-0.441326,-1.113576,0,0,0,1
