subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-421.061523,0.327285,-23.336838,5.266840,-34.509830,0.000000,1,0,1,1
1,-7.343831,90.045517,-38.869698,60.132809,-56.486034,1.041152,0,0,0,0
2,-164.216049,-36.481804,-62.161674,45.281784,-61.356262,0.973408,0,0,0,0
3,-178.556396,-39.939014,-48.185036,37.161015,-63.932426,0.983026,0,0,0,0
4,-202.036835,-27.570980,-48.687309,25.257086,-67.713104,1.142089,1,0,0,1
5,-16.877823,106.590897,-33.665840,56.506378,-45.559982,1.141766,0,0,0,0
6,-266.460052,-12.251316,-42.423668,36.526615,-53.205559,0.600999,0,0,0,0
7,-316.759247,-20.555326,-39.727711,36.759644,-37.683571,0.643050,0,0,0,0
8,-332.841858,15.995105,-40.290955,16.864532,-47.864521,0.675647,1,0,0,1
9,-22.432713,103.804306,-37.161491,52.905876,-48.200073,1.152005,0,0,0,0
10,-429.887421,3.842209,-2.789649,35.363064,-9.953560,0.740556,0,0,0,0
11,-452.716919,-2.696242,-5.403263,23.195164,-7.218245,0.331791,0,0,0,0
12,-470.963196,-3.402862,-6.208311,9.819197,-1.924289,0.284294,1,0,0,1
13,-16.979227,108.664223,-29.509838,50.815666,-42.113132,0.993899,0,0,0,0
14,-474.447052,10.001455,9.840145,10.494265,9.908560,0.022567,0,0,0,0
15,-479.047241,4.286226,4.282503,4.276303,4.267635,0.011059,0,0,0,0
16,-481.785614,0.414756,0.414662,0.414506,0.414288,0.000000,1,0,0,1
17,-19.943546,100.887650,-32.978668,50.246300,-45.253788,1.132862,0,0,0,0
18,-475.469391,9.343526,9.332139,9.313183,9.286694,0.000000,0,0,0,0
19,-478.864929,4.543970,4.539926,4.533192,4.523771,0.000000,0,0,0,0
20,-482.043060,0.050703,0.050692,0.050673,0.050646,0.000000,1,0,0,1
21,-22.641142,101.938881,-38.336174,52.835625,-52.057373,0.925566,0,0,0,0
22,-475.117432,9.840749,9.827873,9.806442,9.776493,0.000000,0,0,0,0
23,-479.097565,4.215078,4.211459,4.205430,4.197000,0.000000,0,0,0,0
24,-481.937378,0.200156,0.200110,0.200035,0.199929,0.000000,1,0,0,1
25,-19.646643,102.806908,-31.965996,48.554169,-43.484573,1.182962,0,0,0,0
26,-475.510132,9.285860,9.274549,9.255718,9.229399,0.000000,0,0,0,0
27,-478.911926,4.477509,4.473557,4.466972,4.457766,0.000000,0,0,0,0
28,-482.078918,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,1
29,-23.133881,103.354965,-38.646927,52.366112,-51.225151,0.939550,0,0,0,0
30,-475.222107,9.692923,9.680611,9.660121,9.631483,0.000000,0,0,0,0
31,-479.108154,4.200073,4.196482,4.190498,4.182131,0.000000,0,0,0,0
32,-482.013885,0.091985,0.091965,0.091930,0.091881,0.000000,1,0,0,1
33,-16.963573,102.617310,-31.265362,49.347305,-43.223606,1.338553,0,0,0,0
34,-474.777527,10.320930,10.306408,10.282238,10.248469,0.000000,0,0,0,0
35,-478.950562,4.422918,4.419031,4.412556,4.403502,0.000000,0,0,0,0
36,-473.174713,-6.152365,-3.622328,7.355425,-7.002475,0.000000,1,0,0,1
37,-20.829302,100.451080,-35.484062,50.278351,-48.101974,1.019006,0,0,0,0
38,-475.298737,9.584641,9.572676,9.552761,9.524925,0.000000,0,0,0,0
39,-479.126953,4.173554,4.169992,4.164061,4.155766,0.000000,0,0,0,0
40,-482.078918,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,1
41,-20.506191,110.279083,-35.109085,53.945274,-46.686501,1.141296,0,0,0,0
42,-474.872253,10.187037,10.172967,10.149548,10.116826,0.000000,0,0,0,0
43,-478.991730,4.364742,4.360929,4.354582,4.345706,0.000000,0,0,0,0
44,-409.914337,3.000396,-25.008072,6.179605,-38.900833,0.000000,1,0,0,1
45,-20.847439,100.933899,-36.029308,50.661957,-47.627724,1.095245,0,0,0,0
46,-475.350800,9.511112,9.499285,9.479595,9.452076,0.000000,0,0,0,0
47,-478.803986,4.630126,4.625994,4.619112,4.609490,0.000000,0,0,0,0
48,-482.078918,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,1
49,-20.879454,112.219910,-34.091778,54.890083,-46.318268,1.017238,0,0,0,0
50,-474.986755,10.025381,10.011969,9.989645,9.958452,0.000000,0,0,0,0
51,-479.012878,4.334786,4.331012,4.324729,4.315942,0.000000,0,0,0,0
52,-342.764191,21.319849,-31.994545,9.377035,-51.680763,0.000000,1,0,0,1
53,-16.220097,96.669395,-29.956802,44.762302,-42.775871,1.304002,0,0,0,0
54,-475.404480,9.435251,9.423590,9.404177,9.377048,0.000000,0,0,0,0
55,-478.832184,4.590251,4.586164,4.579356,4.569837,0.000000,0,0,0,0
56,-482.078918,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,1
57,-18.234043,111.494385,-30.362705,52.814697,-45.404743,0.934449,0,0,0,0
58,-475.061462,9.919867,9.906762,9.884947,9.854466,0.000000,0,0,0,0
59,-479.036102,4.301984,4.298255,4.292045,4.283360,0.000000,0,0,0,0
60,-481.935425,0.202917,0.202871,0.202794,0.202688,0.000000,1,0,0,1
61,-22.561115,105.797058,-37.725990,53.816277,-48.023384,1.209473,0,0,0,0
62,-475.444489,9.378665,9.367055,9.347726,9.320712,0.000000,0,0,0,0
63,-478.873810,4.531355,4.527332,4.520632,4.511266,0.000000,0,0,0,0
64,-482.078918,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,1
65,-17.815269,95.778183,-33.077942,47.790375,-45.808853,0.905506,0,0,0,0
66,-475.137756,9.812031,9.799278,9.778055,9.748396,0.000000,0,0,0,0
