mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-12.008098,-4.227757,2.684234,-4.105520,-0.374676,-3.676573,-3.081898,1,1,0,1
-0.143422,-2.697861,-0.507933,2.324224,0.237668,2.266333,0.560976,0,0,0,0
-1.669107,-2.964676,-1.314200,1.550793,2.180483,-0.211838,0.519123,0,0,0,0
-2.059017,-1.772923,-2.298491,-1.672455,0.695415,1.659567,-2.474448,1,1,1,0
0.029316,-1.631606,-0.972872,1.264064,-0.171754,-0.483560,0.568825,0,0,0,0
-1.205005,-1.064391,-0.431855,-1.090237,0.900375,1.213362,0.819191,0,0,0,0
-1.990506,-0.442099,-0.628012,-2.300120,-0.387225,-1.205921,-2.660375,0,1,1,1
0.031870,-1.093527,-0.762726,1.682646,-0.236847,0.319090,0.532844,0,0,0,0
-1.476698,-0.179840,0.823623,-0.997836,0.447649,-1.457758,0.823568,1,1,1,0
0.242746,-1.261279,-0.086663,1.285133,-0.385968,0.910298,0.501220,0,0,0,0
-1.500022,-0.678005,1.120935,-0.628096,0.128469,-0.583901,0.764138,0,0,0,0
-2.579327,-0.914471,0.664983,-1.660378,-0.776111,-0.778718,-2.887312,1,1,1,0
-0.050886,-1.993411,-0.303160,2.019500,0.012465,1.362563,0.621465,0,0,0,0
-2.048294,-1.662360,0.500382,-0.620802,-0.122000,0.595272,0.628096,0,0,0,0
-2.815241,-1.228745,-0.039814,-2.142077,-0.416699,1.251469,-2.837742,0,1,1,1
-0.160958,-1.407943,-0.566970,2.035711,0.023173,3.926105,0.591812,0,0,0,0
-2.017408,-1.205057,0.142423,-1.756660,-0.057982,-0.899397,0.468341,1,1,1,0
0.061813,-1.921555,-0.791962,1.276637,0.016754,2.057799,0.546470,0,0,0,0
-1.802091,-1.663115,0.012786,-0.716317,0.686137,-0.029284,0.525212,1,1,0,0
-1.857965,0.135861,0.389905,-0.695379,1.384124,-0.101584,0.227027,0,0,1,1
0.138914,-1.753242,-0.914667,1.330975,0.211802,0.709450,0.432148,0,0,0,0
-1.689310,-1.196188,-0.959291,-0.801262,1.166091,-0.545542,0.403174,1,1,0,0
-1.653112,-0.138133,0.288413,-0.384571,2.798321,-0.219070,0.121824,0,0,1,1
0.145315,-2.004064,-1.062136,1.156140,0.582359,0.923471,0.530477,0,0,0,0
-1.142571,-2.043139,-1.019679,-1.413993,2.042700,0.017424,0.896181,0,1,0,0
-1.927626,-1.426944,-1.253556,-1.976699,2.166502,-0.913333,-2.326039,0,0,1,0
-2.041211,-1.327115,-1.435054,-1.968767,2.126314,0.034296,-2.399591,0,1,0,0
-1.784695,-0.697341,-1.840446,-2.215036,1.275025,-0.626393,-2.205718,0,0,1,0
-1.624885,-0.856331,-2.082578,-1.312520,1.421254,-1.195774,-2.264167,1,0,0,1
0.280664,0.223414,-1.881757,-0.966554,1.077921,0.526087,-1.111014,0,0,0,0
-0.781481,1.253839,-2.365273,-2.030661,1.580611,-0.760517,-1.715355,0,0,0,0
-1.162818,3.166723,-1.993656,-0.581108,3.261198,0.476109,0.750269,0,0,0,0
-1.116201,2.903479,-0.962610,-0.491959,2.906737,0.447231,1.018806,0,1,1,1
1.048899,-0.827760,-0.499792,1.166543,0.288310,2.053165,0.521988,0,0,0,0
0.800769,-0.512437,-0.720143,0.230501,0.592579,1.808977,0.669946,0,0,0,1
0.848615,0.206481,0.594397,1.230988,-0.489419,-1.583211,-0.315687,1,1,0,0
0.042276,-1.011142,-0.010372,0.518023,-0.650316,-1.302490,-1.314854,0,0,1,0
0.466216,-0.671716,0.323897,-0.114325,0.264224,0.186326,0.650481,0,0,0,0
-0.317234,0.098780,0.196213,-0.024044,-0.279243,-0.732410,0.612104,0,1,0,1
0.886818,0.162219,-0.060046,-0.164047,0.070596,-0.522788,-0.347906,0,0,0,0
-0.002467,-0.826440,-0.899412,-0.610796,-0.367933,-0.862532,-1.551136,1,0,0,0
-0.297681,-0.090828,1.200684,0.356489,1.121564,-0.572782,0.516084,0,1,1,0
-0.502311,-0.523983,0.542628,-0.098501,0.961989,-0.760612,0.910938,1,0,0,1
0.704542,0.128936,0.793441,-0.382297,-0.108403,-1.103361,-0.655471,0,0,0,0
-0.412375,-0.260226,0.473213,-0.719637,0.115179,-0.894321,-1.508243,1,1,0,0
0.403323,-0.933592,-0.472657,-1.058647,0.552307,0.276412,0.531606,0,0,0,0
-0.047156,0.054792,-0.409850,-0.645535,0.429447,0.946871,0.864996,0,0,1,1
0.651916,0.448532,0.078031,-0.020259,0.414186,-0.169502,-0.391347,0,0,0,0
0.054884,-0.033177,-0.091702,-0.962040,-0.226219,-0.177588,-1.427922,1,0,0,1
0.300147,-0.178988,-0.003676,-0.272913,0.952497,0.054266,0.491478,0,0,0,0
-0.197378,-1.161573,-0.526696,-0.492242,2.051550,1.995521,0.748338,0,1,0,0
0.151365,0.243306,1.438661,-0.098474,-0.355900,-1.279855,-0.280435,1,0,1,0
-0.458498,-0.504270,1.056353,-0.178702,-0.267857,0.823793,-1.283215,0,0,0,1
0.185818,-0.328336,0.836527,-0.755206,0.340720,0.057229,0.430304,0,0,0,0
-0.559949,0.413157,1.245152,-0.605931,-0.027019,-0.849332,0.669774,1,1,0,0
0.662986,0.050935,0.143605,-0.245255,-0.494145,-0.208288,-0.454134,0,0,0,0
