subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-310.451843,104.162476,-23.482037,-10.979959,-19.591333,0.885026,1,0,0,1
1,-68.113968,159.244568,-54.889023,28.416636,-8.828318,1.599350,0,0,0,0
2,-105.792023,158.445892,-55.977325,9.971428,-6.079436,1.132826,0,1,0,0
3,-121.000557,148.201233,-56.122391,16.732107,-19.484495,0.807324,0,0,0,0
4,-249.912674,128.728149,-31.289291,-9.868308,-0.156607,0.587926,1,1,1,0
5,-20.767704,98.938797,-48.364311,41.197357,-25.776703,0.559931,0,0,0,0
6,-235.240967,127.284332,-9.702827,24.130928,13.905252,0.429192,0,0,1,1
7,-69.045647,91.241570,-5.928667,64.123886,-25.808596,0.875247,0,0,0,0
8,-110.872414,136.997162,-47.500755,35.058586,10.423105,1.586343,1,0,0,0
9,-95.714790,124.788452,-34.284962,33.913872,-43.898201,0.814731,0,0,0,0
10,-250.571503,128.776031,-17.445038,25.153313,9.083618,0.736153,0,1,1,0
11,-84.556183,141.244827,-43.057777,48.379829,-1.316488,1.188942,0,0,0,0
12,-167.596375,55.610527,23.581947,23.896797,-21.984020,1.584020,1,1,1,0
13,-28.500332,99.304382,-44.639946,68.644104,-12.449780,0.486180,0,0,0,0
14,-121.070908,126.976326,-49.039085,51.632172,5.526172,0.936543,0,0,0,1
15,-200.632874,99.330460,-14.856041,28.307304,-28.350084,0.313894,0,0,0,0
16,-280.732513,116.165756,-1.847688,19.227646,6.578892,0.806574,1,0,0,1
17,-87.536041,150.711243,-39.517036,46.766506,-10.941081,0.495505,0,0,0,0
18,-126.267036,154.210663,-56.681618,17.035133,-7.811565,0.953585,0,1,0,0
19,-130.629150,131.993652,-42.809055,19.752903,-24.214314,0.548105,0,0,0,0
20,-216.665512,124.283279,-48.047035,2.791575,-14.449503,1.074532,1,1,1,0
21,-34.777897,98.914230,-46.547424,62.063446,-11.947918,0.336530,0,0,0,0
22,-222.960556,128.530319,-24.517971,32.840584,3.964165,0.495199,0,0,1,1
23,-92.724976,131.942261,-30.205627,67.410248,3.918699,0.475517,0,0,0,0
24,-110.488724,138.980164,-70.481796,22.324074,-11.703332,0.591011,1,0,0,0
25,-146.304352,99.201057,-26.868261,63.114784,-28.864931,0.582543,0,0,0,0
26,-248.832275,120.810272,-15.514997,20.726936,-1.999910,0.635157,0,1,1,0
27,-125.319550,132.070831,-13.198351,68.145264,4.701964,0.670575,0,0,0,0
28,-93.033577,51.519455,-12.621485,25.804634,-24.443073,1.811058,1,1,1,0
29,-20.827843,97.344666,-53.006859,68.755432,-5.709435,0.462019,0,0,0,0
30,-160.276291,141.033936,-30.868286,34.004494,-1.707326,0.592151,0,0,0,1
31,-211.786072,97.642746,-14.480922,28.961586,-26.203705,0.430389,0,0,0,0
32,-276.170349,120.199356,-3.278988,16.130604,0.183942,1.023690,1,0,0,1
33,-82.074425,153.072449,-46.360390,37.240051,-10.177940,0.635786,0,0,0,0
34,-120.997391,146.990875,-62.293442,15.640039,-4.605999,0.798010,0,1,0,0
35,-122.288589,130.870972,-42.263561,13.909828,-27.614700,0.718424,0,0,0,0
36,-173.398865,112.873932,-50.972672,11.268808,-15.460973,2.818468,1,1,1,0
37,-34.625652,91.754929,-53.547775,48.334373,-27.867573,0.601980,0,0,0,0
38,-224.949677,117.886620,-13.808475,26.308979,8.532324,0.564923,0,0,1,1
39,-91.753197,137.119049,-24.527250,62.985123,5.229815,0.701591,0,0,0,0
40,-109.867935,121.782410,-51.016533,40.323204,-18.025883,1.171418,1,0,0,0
41,-96.307884,109.613548,-39.010017,49.363655,-44.102505,0.583033,0,0,0,0
42,-245.701263,131.944031,-15.605129,20.781189,4.495757,1.134120,0,1,1,0
43,-97.885498,146.071259,-34.684658,52.915321,-1.779383,0.591071,0,0,0,0
44,-163.151154,91.028862,-3.084133,20.643982,-18.163933,1.269711,1,1,1,0
45,-27.167225,96.872948,-49.405304,66.508118,-19.573708,0.439694,0,0,0,0
46,-135.498123,143.244110,-41.912987,46.224579,2.507289,0.798066,0,0,0,1
47,-181.761017,101.723022,-17.221294,29.669224,-32.074757,0.321373,0,0,0,0
48,-276.749451,118.195496,-4.246782,17.499298,7.261378,0.877271,1,0,0,1
49,-81.141373,147.391815,-30.868547,55.183865,-19.570995,0.598405,0,0,0,0
50,-156.253601,117.835541,-0.637576,31.833836,-17.985708,0.553080,0,1,0,0
51,-205.211655,96.978920,-21.564075,36.998253,-12.896915,0.292585,0,0,0,0
52,-176.154373,93.040520,-48.966953,22.613865,-23.571936,1.244038,1,0,1,1
53,-27.526995,84.707550,-51.827129,57.423538,-9.000097,0.551923,0,0,0,0
54,-191.885452,132.253586,-45.475372,21.460939,0.851602,0.538860,1,1,0,0
55,-102.240913,136.850098,-18.990076,36.791740,-6.464812,0.273522,0,0,0,0
56,-149.088074,122.892853,9.238345,23.510225,-27.421219,0.828359,0,0,0,1
57,-102.368637,105.743820,-33.612152,48.512665,-41.340744,0.606670,0,0,0,0
58,-261.830353,132.069931,-8.473196,20.349068,8.355967,0.356042,0,0,1,1
59,-104.404312,150.330032,-13.695492,46.457817,-15.585869,1.160455,0,0,0,0
60,-112.307602,131.305893,-12.224380,27.194168,-20.893974,0.512934,1,1,1,0
61,-14.265007,99.311737,-47.678856,56.130875,-26.250828,0.529805,0,0,0,0
62,-80.516937,88.514679,-20.849014,30.676508,-46.062424,0.518815,1,0,0,0
