subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-477.733063,1.272762,1.062418,0.739131,0.340264,0.000000,0.007649,14.436716,3.089919,3.066888,11.359944,14.048560,7.675985,0.440918,0,0,0,1
1,-123.021690,91.360657,-35.508823,55.141056,-16.306343,2.624220,0.102163,17.825545,9.268327,17.029783,31.877044,23.358521,20.154289,0.104004,0,0,0,0
2,-138.860855,114.540115,-39.201881,52.663872,-23.939362,0.499847,0.114566,14.429582,13.563950,20.813903,21.638600,24.391504,23.578935,0.081055,0,0,0,0
3,-154.423065,125.757996,-28.539738,55.202789,-21.542753,0.661154,0.103917,15.324689,5.792469,18.867822,25.172078,21.330819,23.776342,0.070801,0,0,0,0
4,-158.792130,139.299042,-29.085913,47.099777,-13.922019,0.629023,0.092589,12.297300,8.078639,16.092599,24.860739,21.169248,22.797593,0.077148,0,0,1,0
5,-105.376129,108.245316,-22.937157,60.261360,-27.102955,1.377971,0.095020,12.795277,9.912194,14.402572,17.702726,19.988529,20.801687,0.127441,0,0,0,0
6,-127.350578,123.856415,-41.498573,65.689926,-15.076930,0.555174,0.092446,15.390589,12.810104,12.184928,16.247624,17.531651,20.411135,0.096680,0,0,0,0
7,-145.736938,133.603683,-48.843719,55.336437,-8.991651,0.436427,0.096329,20.749923,13.728477,13.467237,19.511613,20.493594,23.506895,0.066895,0,0,0,0
8,-154.112061,139.503738,-42.772396,49.213638,-1.047996,0.592440,0.101204,13.363247,14.265330,14.077521,19.280070,19.764184,21.175059,0.064941,0,1,0,0
9,-101.856033,115.758141,-16.052603,64.510216,-14.943531,1.196040,0.138650,25.215811,6.267275,10.844940,17.675384,15.448283,17.878479,0.062012,0,0,0,0
10,-118.524826,130.533707,-36.407204,68.642639,-10.511204,0.478411,0.149726,13.683668,8.631107,18.349064,17.045859,16.715906,20.781189,0.037598,0,0,0,0
11,-140.127869,139.793884,-33.694252,64.334167,-1.517039,0.323981,0.158171,15.043666,8.704762,13.699563,23.203295,19.531798,23.992751,0.032715,0,0,0,0
12,-147.135376,134.803558,-21.287582,60.848202,0.467155,0.463752,0.180041,14.623578,6.577545,11.315007,18.670424,22.070011,23.469070,0.021973,0,0,1,0
13,-89.457512,113.027664,-26.863220,57.112503,-17.382828,1.209302,0.210605,13.894830,10.001036,16.332158,20.096398,19.245088,21.457166,0.042969,0,0,0,0
14,-121.949516,129.693573,-32.280991,67.234077,-7.908804,0.813940,0.214285,23.385175,8.001372,15.035611,21.551834,21.067509,24.695184,0.025879,0,0,0,0
15,-142.191605,134.617584,-32.073254,67.875870,1.918356,0.564272,0.219484,21.286021,19.053206,15.816911,18.389388,23.768174,26.343396,0.022949,0,0,0,0
16,-149.715805,151.946915,-26.104599,62.189926,-5.714108,0.432289,0.209715,13.304847,10.854456,16.249176,22.782883,24.241073,27.838974,0.022949,1,0,0,0
17,-96.820747,108.425568,-23.857384,57.544807,-15.895983,2.122689,0.183980,18.649948,12.542962,13.877688,23.008891,18.721366,20.940312,0.062012,0,0,0,0
18,-124.396324,117.177200,-32.722786,57.071747,-14.132371,0.767805,0.133250,14.057572,12.218029,17.824734,25.264389,20.871116,21.870926,0.057129,0,0,0,0
19,-143.124268,137.264908,-38.271851,54.362076,-9.774916,0.465390,0.109665,14.018108,9.308205,14.615289,19.856739,22.897243,24.887034,0.064941,0,0,0,0
20,-154.715668,147.286560,-41.023575,47.014236,-2.939958,0.705785,0.088561,14.972198,9.659748,15.277599,16.069376,27.367800,25.695831,0.076660,0,1,0,0
21,-88.517342,111.857986,-24.993706,59.381405,-14.826078,1.682131,0.130983,16.111519,18.005471,16.454501,16.146210,18.756967,19.194698,0.098145,0,0,0,0
22,-108.844261,133.242340,-44.911812,60.120590,-12.490718,0.579746,0.110164,17.482411,9.028349,13.879698,19.122330,18.963444,24.491401,0.090332,0,0,0,0
23,-132.657806,143.540085,-43.782600,57.298592,-9.699956,0.661328,0.119261,23.472879,7.857507,12.814180,17.790166,23.067488,21.659373,0.072266,0,0,0,0
24,-148.031464,148.306396,-40.122330,60.807129,4.722894,0.337353,0.129887,20.493877,9.924169,17.405680,18.416955,20.866434,21.104947,0.052246,0,0,1,0
25,-86.327225,119.926758,-26.162251,50.690224,-8.756590,1.404988,0.166055,20.872316,14.306868,10.010087,18.649292,23.856100,22.294217,0.067871,0,0,0,0
26,-109.933586,131.524750,-34.544930,62.549080,-5.453271,0.633322,0.184140,18.786385,8.901766,22.982908,18.477346,24.932603,23.316487,0.041992,0,0,0,0
27,-129.621902,139.007202,-34.145874,55.930946,-5.822408,0.456128,0.178435,21.733814,11.483164,13.434962,16.834544,23.672854,27.637150,0.037109,0,0,0,0
28,-141.063766,145.074158,-34.828442,57.232288,5.025800,0.583648,0.208822,18.207382,13.414705,11.811246,19.261387,24.602679,28.010985,0.019531,0,1,0,0
29,-94.590591,119.569992,-28.524143,56.121750,-11.844025,1.329792,0.218060,20.447493,12.955972,17.112983,13.076317,23.177271,24.404705,0.036133,0,0,0,0
30,-105.149117,136.397354,-34.325745,52.331623,-4.996308,0.690028,0.207606,22.185504,8.594296,18.171163,16.863792,23.350704,23.857960,0.025879,0,0,0,0
31,-124.479904,142.631897,-30.561428,52.327122,-0.314599,0.457945,0.213445,20.134863,8.834705,17.124821,18.541479,21.796192,26.850976,0.024902,0,0,0,0
32,-139.630936,153.666138,-30.143833,51.213684,7.065988,0.839075,0.188900,20.808005,9.201107,19.584016,15.820995,28.743403,21.890145,0.023926,0,0,0,1
33,-88.081963,109.879044,-25.322838,59.917572,-21.052067,1.524638,0.158437,26.770920,16.663058,17.784562,20.807486,21.607345,26.530163,0.084961,0,0,0,0
34,-110.611351,120.752853,-39.517845,57.924995,-19.399643,0.703263,0.119963,22.394614,19.199051,18.478714,23.077212,19.218285,21.414737,0.100098,0,0,0,0
