subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-337.718536,114.666626,-1.292569,6.510355,42.339279,0.468446,1,0,0,0
1,-275.906952,157.289139,-6.808455,13.897446,55.756126,0.308234,0,0,0,0
2,-301.867371,144.575455,6.755265,20.461718,54.201782,0.554008,0,0,0,0
3,-397.946381,72.848145,11.805014,13.059677,32.738197,0.091558,1,0,0,0
4,-285.464569,151.273499,-5.520230,12.074721,53.535782,0.319014,0,0,0,0
5,-292.311615,149.768341,2.640609,19.142181,55.827412,0.697196,0,0,0,0
6,-423.486725,54.049904,16.290962,16.728561,29.733906,0.142160,1,0,0,0
7,-312.022614,134.351395,0.401383,12.477892,49.630383,0.368790,0,0,0,0
8,-314.556671,130.590485,-1.468933,15.415634,52.558468,0.429012,0,0,0,1
9,-309.513123,139.589340,2.105374,8.087305,50.602978,0.410972,0,0,0,0
10,-334.246857,130.525970,22.015129,14.554303,39.179684,0.313776,0,0,0,0
11,-379.568726,86.236725,10.326000,16.678209,41.932846,0.459212,0,0,0,1
12,-315.552216,136.673630,5.074314,8.277313,48.550426,0.439168,0,0,0,0
13,-326.969421,136.690247,20.935455,11.514988,39.053452,0.332437,0,0,0,0
14,-415.551239,61.526306,19.397156,20.822636,33.395569,0.259308,0,0,0,1
15,-352.476288,110.845093,11.775112,10.160364,41.224995,0.493955,0,0,0,0
16,-385.535889,93.804626,30.821217,18.925165,30.910553,0.159657,0,1,0,0
17,-289.324310,143.398285,-12.312555,15.647015,59.058899,0.384707,0,0,0,0
18,-314.043274,136.725464,3.556236,10.443974,50.304840,0.435088,0,0,0,0
19,-448.985260,37.601768,25.073647,19.381962,17.831665,0.129432,0,1,0,0
20,-296.654022,138.938171,-11.246218,13.396275,55.660149,0.390285,0,0,0,0
21,-320.984192,131.732361,4.265093,10.216694,48.840145,0.480016,0,0,0,0
22,-446.010712,43.034111,32.245010,25.127373,18.687782,0.399525,0,0,1,0
23,-347.039368,109.120552,5.364187,18.082109,50.730980,0.635924,0,0,0,0
24,-364.093170,102.129150,14.945324,15.335585,39.471817,0.374340,0,0,0,0
25,-457.017334,30.583725,25.012629,20.370625,15.840119,0.278042,0,0,1,0
26,-406.255798,69.413788,20.248341,21.738356,34.509129,0.365526,0,0,0,0
27,-423.639008,58.109421,24.535351,19.749048,24.010195,0.232145,0,0,0,0
28,-475.167236,7.597736,7.312999,6.865623,6.291689,0.286011,0,1,0,0
29,-450.457062,33.630337,19.862007,17.054005,17.226715,0.181290,0,0,0,0
30,-451.816589,36.313267,28.259907,23.233200,18.977551,0.091989,0,0,0,0
31,-470.281158,14.458767,14.024263,13.318449,12.366915,0.126852,0,0,0,0
32,-454.741028,34.554909,30.273760,26.238331,22.064835,0.562069,1,0,0,0
33,-276.081940,155.002380,-6.055451,20.695805,59.264130,0.360140,0,0,0,0
34,-298.661163,146.790726,6.742558,17.934923,50.778870,0.489683,0,0,0,0
35,-428.995819,56.026733,29.628159,25.406590,32.149883,0.089177,1,0,0,0
36,-287.014038,148.634811,-4.990399,17.495102,57.691063,0.645658,0,0,0,0
37,-289.834900,151.516296,4.329020,19.096577,51.889656,0.577078,0,0,0,0
38,-417.963470,65.339203,30.206150,26.832405,38.000694,0.067819,1,0,0,0
39,-317.276123,129.854126,1.699294,17.554691,54.654099,0.667782,0,0,0,0
40,-341.989319,119.685013,15.942266,17.225212,45.228424,0.391375,0,0,0,1
41,-290.751617,148.515961,-4.574107,12.673072,58.563698,0.169984,0,0,0,0
42,-310.938690,139.450256,3.346451,9.613588,54.677536,0.483146,0,0,0,0
43,-431.638458,55.829498,33.061993,25.093899,27.049875,0.183813,0,0,0,1
44,-299.385468,142.291611,-4.417703,11.351106,57.495007,0.282500,0,0,0,0
45,-306.421906,142.695206,2.580628,9.010086,55.092365,0.553722,0,0,0,0
46,-434.893097,52.700005,32.310997,24.860725,26.101349,0.057612,0,0,0,1
47,-327.483948,124.452759,2.284886,12.352322,53.313469,0.344142,0,0,0,0
48,-347.340393,116.538193,13.286854,10.775007,46.828857,0.412619,0,1,0,0
49,-281.575592,156.293976,-5.755762,7.760777,52.366165,0.149174,0,0,0,0
50,-308.666595,141.011429,3.942158,11.714661,53.414917,0.378327,0,0,0,0
51,-434.989990,49.974159,25.661713,18.342487,21.584639,0.179351,0,1,0,0
52,-293.048584,148.757782,-3.998826,7.922669,52.736172,0.493078,0,0,0,0
53,-314.220276,136.308792,3.033254,10.867367,53.515507,0.336118,0,0,0,0
54,-446.680786,39.803574,25.579979,19.544041,18.201771,0.168263,0,0,1,0
55,-339.838989,117.142365,5.705882,9.295841,42.479263,0.419567,0,0,0,0
56,-351.718475,111.773361,13.645872,14.522163,44.758583,0.267616,0,0,0,0
57,-458.933441,28.205524,23.229881,19.174789,15.650185,0.240687,0,0,1,0
58,-400.795837,75.446365,20.722620,15.969660,29.338638,0.316236,0,0,0,0
59,-411.613556,68.861099,25.925701,20.188454,28.140631,0.239488,0,0,0,0
60,-472.618256,11.123735,10.604362,9.771893,8.673592,0.063305,0,1,0,0
61,-449.698700,36.670753,24.852982,19.108772,14.646528,0.175781,0,0,0,0
62,-449.445129,38.791054,28.862452,22.563644,18.462044,0.185519,0,0,0,0
63,-471.448364,12.816725,12.407169,11.739584,10.835662,0.027738,0,0,0,0
64,-395.231781,77.704941,20.232321,23.511023,35.189377,0.172546,1,0,0,0
65,-283.602539,154.069641,1.734564,22.900967,58.393105,0.188700,0,0,0,0
66,-304.268799,146.711670,12.584722,21.002460,54.287392,0.305999,0,0,0,0
67,-428.472534,54.051041,27.917564,29.384521,31.990055,0.228107,1,0,0,0
68,-293.908905,147.148788,3.484671,23.800249,58.747047,0.350866,0,0,1,0
69,-235.800552,163.260101,-32.116699,30.542793,64.467407,0.355430,0,0,0,1
70,-358.905426,82.627045,-15.730684,17.723309,43.469002,0.305251,1,0,0,0
71,-320.511536,129.682297,7.501053,21.472536,53.384003,0.378393,0,1,0,0
72,-266.428986,135.518188,-36.767975,30.594551,61.911514,0.323943,0,0,0,1
73,-272.442566,153.990433,-13.741396,18.038031,58.436268,0.233873,0,0,0,0
74,-309.083771,143.286987,8.592186,13.307798,54.485443,0.270162,0,0,0,0
75,-352.891693,77.249634,-23.678017,29.555977,51.366440,0.434859,0,0,0,1
76,-291.224152,144.140869,-9.360491,13.458586,55.214691,0.378773,1,0,0,0
77,-260.526367,149.920380,-31.342323,17.064745,62.271255,0.317139,0,1,0,0
78,-343.105682,90.496674,-22.799438,22.760778,60.763451,0.235633,0,0,0,1
79,-329.265015,120.137535,-1.468717,12.762049,51.816887,0.251518,0,0,1,0
80,-287.427734,128.146790,-32.207809,16.918287,59.034698,0.477479,0,1,0,0
81,-265.551361,157.476471,-22.052950,8.417974,59.548347,0.150603,0,0,0,0
82,-300.357422,139.690552,-4.575454,15.018539,55.305649,0.414572,0,0,0,0
83,-369.637299,80.228783,-10.291791,15.873635,48.318108,0.240117,0,1,0,0
84,-281.623230,150.073822,-14.519622,7.060433,54.025757,0.516880,0,0,0,0
85,-307.938171,135.529236,-2.965603,13.201509,53.049057,0.464138,0,0,0,0
86,-418.040527,58.924465,18.162609,18.528389,28.404121,0.111721,0,0,1,0
87,-333.208527,118.424004,-1.768322,5.954385,44.987728,0.514133,0,0,0,0
88,-343.736359,112.952530,5.995608,12.344135,43.051205,0.441676,0,0,0,0
89,-453.415466,34.280903,25.925213,19.628181,15.367677,0.054664,0,0,1,0
90,-395.168488,79.703476,18.781460,13.496485,32.291084,0.330623,0,0,0,0
91,-410.678070,69.474121,24.798922,18.124956,27.397606,0.234372,0,0,0,0
92,-471.675568,12.386282,11.665705,10.532190,9.077755,0.009412,0,1,0,0
93,-446.063263,40.633232,25.745377,18.438303,17.155190,0.215832,0,0,0,0
94,-453.348145,34.054676,24.977821,17.917505,12.938284,0.049112,0,0,0,0
95,-478.790863,2.555052,2.507751,2.429998,2.323392,0.000000,0,0,0,0
96,-458.819214,27.299679,21.243269,18.536699,17.152119,0.298223,1,0,0,0
97,-280.977905,164.265228,8.564173,16.845324,57.043777,0.161478,0,0,0,0
