mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-622.773071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000097,0,0,0,1
-318.610260,61.935677,-64.705856,49.076809,-55.915176,0.348542,0.067103,0,0,0,0
-424.388702,89.282303,-37.786766,-9.324839,-39.880390,0.770473,0.014128,0,0,1,0
-317.693665,63.867813,-50.840042,44.353249,-67.968338,0.762108,0.066258,0,0,0,0
-414.794342,92.959244,-23.672680,6.733441,-36.912155,1.073359,0.008300,0,1,0,0
-326.540894,49.447529,-67.422394,40.214554,-65.726639,0.658959,0.074717,0,0,0,0
-425.185883,78.278534,-28.348003,6.103907,-43.778191,1.083837,0.010321,1,0,1,0
-324.386169,71.562691,-62.615074,23.642769,-76.324234,0.605418,0.082544,0,0,0,0
-362.153473,72.219467,-58.839699,6.940654,-64.470932,0.934396,0.041657,0,0,0,0
-387.756439,46.571911,-44.068314,23.118988,-72.619446,0.628522,0.033229,0,0,0,0
-438.907959,58.628754,-37.067135,6.281287,-57.506271,1.167923,0.013316,0,0,0,1
-425.418213,40.738144,-39.929314,19.381435,-70.499428,0.553881,0.032129,0,0,0,0
-476.819916,60.942913,-20.127205,-5.143227,-53.485165,0.532744,0.009937,0,1,0,0
-319.581940,55.604397,-79.134613,38.043503,-63.037098,0.302109,0.069609,0,0,0,0
-420.238464,88.361885,-34.315361,-1.784428,-39.688591,1.147503,0.016677,0,0,1,0
-322.029083,61.059891,-47.445412,49.129173,-69.647934,0.410611,0.064470,0,0,0,0
-417.945160,86.850250,-31.086618,2.168261,-40.448166,1.250812,0.008893,1,0,0,0
-332.365265,44.611351,-65.513512,46.365231,-66.369133,0.420932,0.074814,0,0,0,0
-424.953644,72.550140,-38.885059,-2.741781,-51.364201,1.266418,0.013383,0,1,0,1
-340.722046,56.440567,-65.182236,20.794790,-87.437820,0.484789,0.081397,0,0,0,0
-382.207001,56.837288,-57.974426,4.948896,-77.691544,0.936179,0.042129,0,0,0,0
-396.516418,40.669144,-51.336258,11.502275,-81.372864,0.808909,0.034204,0,0,0,0
-444.464844,43.119568,-57.658775,-5.353284,-58.648991,0.807687,0.013126,0,0,1,0
-439.855194,24.103420,-59.939129,1.166134,-76.932510,0.592858,0.028429,0,0,0,0
-486.057343,45.272644,-43.148029,-26.064186,-58.723061,0.587915,0.009014,1,0,0,0
-304.181946,64.050598,-65.739082,50.564819,-52.178921,0.603994,0.055154,0,0,0,0
-418.249847,86.192467,-22.188032,11.572046,-33.900211,0.797867,0.007722,0,0,0,1
-291.224854,83.506813,-52.052776,60.451874,-58.267231,0.578362,0.073862,0,0,0,0
-393.388947,107.524475,-16.327461,25.716433,-25.141361,0.897739,0.009840,0,1,0,0
-316.454651,60.498199,-53.462654,56.654083,-57.641510,0.589461,0.081080,0,0,0,0
-406.378204,90.161270,-22.309448,11.256889,-48.987091,0.989608,0.009621,1,0,1,0
-320.834229,66.617142,-46.393829,41.438339,-73.157776,0.477438,0.071588,0,0,0,0
-358.407410,75.841843,-50.969040,14.573034,-61.668041,0.972182,0.033361,0,0,0,0
-389.109833,59.195236,-28.594515,25.402737,-64.515701,0.826785,0.064837,0,0,0,0
-444.433350,73.055794,-19.540737,9.062589,-24.851164,1.449097,0.017253,0,1,0,0
-413.019012,40.594444,-32.731560,35.937218,-53.495567,0.577377,0.041306,0,0,0,0
-468.395264,68.521881,-9.274431,8.397053,-39.024864,0.954093,0.004891,0,0,0,1
-296.456451,69.530396,-69.685760,44.014832,-61.631096,0.421906,0.055395,0,0,0,0
-414.955658,87.830719,-36.201958,-3.454234,-38.628689,1.015079,0.008789,1,0,0,0
-299.240723,72.523819,-60.160854,51.796635,-67.063400,0.371694,0.073767,0,0,0,0
-415.591614,90.063950,-28.499990,4.727426,-41.878235,1.032431,0.010248,0,0,1,0
-316.659851,61.124329,-59.265110,50.545609,-69.164200,0.313739,0.082736,0,0,0,0
-418.993134,79.420456,-32.648972,1.896390,-51.329384,1.022919,0.009923,1,1,0,0
-327.894989,50.217224,-69.347549,24.681557,-81.192688,0.474705,0.073767,0,0,0,0
-376.419525,53.803333,-66.608994,2.496537,-76.141899,0.747972,0.036735,0,0,0,0
-386.802429,59.496536,-34.560719,17.424391,-69.461815,0.831843,0.060805,0,0,0,0
-461.261475,57.827148,-16.290880,0.919141,-49.710785,1.178333,0.020082,0,0,1,0
-412.116180,46.408867,-31.814117,31.989044,-51.953609,0.448236,0.039674,0,0,0,0
-487.714203,52.404930,-10.236658,12.217149,-38.397324,0.600486,0.003543,0,1,0,0
-322.932617,57.604202,-65.598053,51.478256,-57.458588,0.430339,0.069857,0,0,0,0
-442.716248,76.715652,-35.943752,-6.052616,-36.419857,1.354000,0.014125,0,0,0,1
-320.150818,60.402870,-53.533493,44.723602,-66.449066,0.651474,0.067659,0,0,0,0
-411.265839,95.593338,-25.267601,3.776354,-36.409084,1.003415,0.008435,1,0,0,0
-323.719391,53.894077,-67.506424,36.859116,-63.533417,1.089420,0.074544,0,0,0,0
-424.484680,75.293701,-31.030865,8.649033,-40.868820,1.433591,0.010275,0,1,1,0
-327.944061,72.139648,-59.033779,22.762884,-78.633934,0.616390,0.081601,0,0,0,0
-360.702301,72.022415,-58.733978,8.697905,-64.971039,0.872454,0.041370,0,0,0,0
-386.723541,46.864983,-44.675377,20.251558,-76.046524,0.567051,0.033088,0,0,0,0
-437.166901,60.066574,-37.444130,5.396481,-56.526413,1.180352,0.013266,0,0,0,1
-423.931580,42.814392,-40.181007,18.109097,-70.086578,0.654262,0.031768,0,0,0,0
-473.132538,64.311249,-19.919685,-6.031183,-55.495705,0.642257,0.009924,0,0,1,0
