subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-303.713562,22.214674,-78.974640,20.527924,-28.498405,1.208678,0,0,1,1
1,-197.137238,147.281372,-7.551474,49.541359,1.339265,0.770129,0,0,0,0
2,-196.409958,143.931335,0.383331,58.841911,-7.489928,1.023560,1,0,0,0
3,-175.216248,165.372864,-11.969881,46.550892,-6.453709,1.037298,0,0,0,0
4,-171.665878,154.386810,-8.753705,43.890289,-15.322763,0.775132,0,1,0,0
5,-174.319351,166.505783,-14.556211,37.697769,-10.615820,0.779289,0,0,0,0
6,-182.956253,158.213013,-14.374945,41.923489,-10.338929,0.716747,0,0,0,1
7,-177.216339,164.624039,-9.625658,40.170952,-10.312434,0.641935,0,0,0,0
8,-179.365662,152.708313,-15.167952,47.750969,-10.370204,0.441261,0,0,1,0
9,-181.366516,154.582336,-19.472046,47.251068,-10.806337,0.636051,0,0,0,0
10,-185.297104,156.572083,-13.898128,39.389496,-9.965126,0.665285,1,0,0,0
11,-180.633667,159.893219,-11.802958,37.093304,-9.827229,0.537845,0,0,0,0
12,-185.156967,149.082138,-3.599137,51.289604,-6.078842,0.815352,0,0,1,0
13,-176.501389,164.264862,-9.942680,45.272339,-11.902292,0.867541,0,0,0,0
14,-183.631165,148.282715,-8.963953,42.948658,-15.183516,0.744113,0,0,0,1
15,-184.675171,154.668884,-16.524132,37.311420,-13.666166,0.633563,0,0,0,0
16,-181.228516,136.808716,-12.190559,45.650211,-24.366184,0.620327,1,0,0,0
17,-191.229691,153.381165,-6.220867,47.406990,-8.849461,0.530156,0,1,0,0
18,-172.593445,167.482239,-15.057268,42.002991,-18.078773,0.987259,0,0,0,0
19,-179.889084,163.683716,-9.507066,36.567093,-28.437628,0.657243,0,0,0,0
20,-192.610596,154.879333,-13.091618,43.810463,-18.103058,0.498936,0,0,0,0
21,-197.439240,145.827423,-7.665264,51.385063,-22.909714,1.124191,0,0,0,0
22,-205.918549,128.760864,-14.308345,49.356964,-21.790352,0.884878,0,0,0,0
23,-201.823959,133.613342,-5.403404,54.617111,-15.490036,0.870510,0,0,0,0
24,-210.120239,124.727463,-5.580131,57.336105,-1.114557,0.958039,0,0,0,0
25,-220.413925,137.042404,6.447522,58.056816,-1.882262,0.776478,0,0,0,0
26,-216.339325,119.205429,-0.006099,63.561234,-11.110970,0.953789,0,0,0,0
27,-221.079803,129.107010,1.169254,62.603554,-7.900199,0.682852,0,0,0,0
28,-224.887939,132.822174,6.004720,61.450165,-5.238625,0.998140,0,0,0,0
29,-228.187027,129.844650,7.246243,67.658279,-2.597566,1.057290,0,0,0,0
30,-236.553375,135.830231,13.728394,66.146400,0.569568,0.852971,0,0,0,0
31,-236.599792,136.822052,3.674111,63.342804,-0.803014,1.076599,0,0,0,0
32,-238.592316,120.907120,-1.528828,60.159039,-15.309356,1.027801,0,0,1,1
33,-186.219788,157.739273,-8.747546,50.936596,-11.637265,0.530914,0,0,0,0
34,-184.742996,138.304504,-0.934630,52.542610,-13.596872,0.747028,0,1,0,0
35,-165.269974,161.903442,-7.978683,39.690331,-10.971534,0.735357,0,0,0,0
36,-175.740997,170.005707,-4.818033,46.606499,-10.211773,0.641508,0,0,0,1
37,-164.269806,174.935165,-6.832665,42.537018,-7.529422,0.682740,0,0,0,0
38,-174.965210,167.759521,-5.077691,46.251076,-14.843203,0.725050,1,0,0,0
39,-171.202011,170.371857,-3.788295,39.127922,-10.770290,0.498017,0,0,0,0
40,-175.442429,164.108002,-4.971864,38.966393,-16.062107,0.971659,0,0,1,0
41,-185.975342,160.062469,-1.751642,39.687794,-11.156446,0.665906,0,0,0,0
42,-185.969986,155.461624,-8.557272,45.953888,-15.124296,0.894461,0,1,0,0
43,-171.121658,159.797821,-7.243155,40.218014,-17.903839,0.851092,0,0,0,0
44,-179.890289,143.618591,-6.421998,45.335052,-15.415236,0.887795,1,0,0,0
45,-175.964218,146.736389,-9.814922,47.755322,-13.589852,0.936502,0,0,0,0
46,-182.608597,144.234497,-8.201619,53.332230,-17.403496,0.896162,0,0,0,1
47,-174.713943,152.511673,-20.021099,50.288620,-16.069801,0.982897,0,0,0,0
48,-181.934891,139.725189,-2.127132,57.260376,-18.691021,0.849531,1,0,0,0
49,-190.225754,157.252274,1.447862,49.139381,-14.896722,0.895541,0,1,0,0
50,-179.315048,163.923538,-11.887715,38.923515,-15.863728,0.718312,1,0,0,0
51,-175.346344,165.432861,-14.932831,37.125786,-18.868347,0.636739,0,0,0,0
52,-186.123352,159.742737,-10.573156,40.305824,-14.528849,0.878648,0,0,0,0
53,-192.717865,154.105469,-3.386264,49.541122,-12.096696,0.841034,0,0,0,0
54,-201.358688,140.011505,-4.292219,52.986313,-6.382666,0.783545,0,0,0,0
55,-198.452682,132.675140,-5.317571,62.074966,-11.849519,1.005962,0,0,0,0
56,-212.105698,139.627228,0.767663,58.740547,-4.926169,0.945043,0,0,0,1
57,-199.177261,171.635651,-8.441550,38.874615,4.592574,0.409075,0,0,0,0
58,-197.832581,154.003723,-10.468570,41.126160,-0.965365,1.034049,0,0,0,0
59,-196.317978,153.877472,-0.795715,52.897720,-4.971790,0.967893,0,0,0,0
60,-197.789993,140.135040,2.568993,61.965885,-6.402993,0.785932,0,1,0,0
61,-195.369446,160.571075,-9.184778,41.902508,0.661084,0.639766,0,0,0,0
62,-183.558426,152.983932,-3.753078,37.895332,-14.085875,0.826296,0,0,0,0
63,-191.686569,141.237976,-3.347009,51.645821,-13.664225,0.686682,0,0,0,0
