subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
72,-64.404022,128.117889,-48.509995,11.110188,-35.858425,0.661373,0,1,0,0
73,-84.507286,152.796600,-56.815025,6.582063,-39.719612,0.617702,0,0,0,0
74,-92.734451,145.591156,-57.213627,11.271207,-42.544502,1.191102,0,0,1,0
75,-72.741051,144.839661,-67.851639,12.381050,-43.879246,0.715847,0,0,0,0
76,-73.944733,129.884888,-68.459793,8.629082,-39.690361,1.011587,1,0,0,1
77,-62.103291,159.594666,-51.768677,23.733961,-29.913292,0.632033,0,0,0,0
78,-75.292763,148.325623,-59.488373,24.839256,-29.653610,0.777848,0,0,1,0
79,-72.116440,155.217377,-56.119537,15.697435,-41.798767,0.668086,0,0,0,0
80,-66.596565,148.955933,-54.000263,8.868637,-39.663033,1.548976,0,1,0,0
81,-105.353798,162.732178,-60.376366,16.085855,-27.506220,0.473807,0,0,0,0
82,-112.271652,156.758423,-63.015991,13.875292,-27.120987,0.671107,1,0,0,1
83,-82.346359,177.522186,-52.563278,11.515015,-32.802917,0.589241,0,0,1,0
84,-83.028412,166.386612,-55.170616,10.212835,-29.693359,0.767762,1,0,0,0
85,-65.402374,148.971985,-54.293243,13.445744,-33.263897,0.557435,0,0,0,0
86,-75.597069,144.971115,-53.575371,11.386143,-28.725925,1.181817,0,0,1,0
87,-78.969994,142.089661,-62.082005,15.489805,-35.360489,0.585703,0,0,0,0
88,-72.208878,128.150955,-53.899841,11.118751,-33.857983,1.343190,1,0,0,1
89,-71.510841,150.135818,-44.478622,10.644556,-28.059402,0.212949,0,0,0,0
90,-77.567093,151.701599,-53.900101,17.357037,-32.927929,0.989329,0,1,0,0
91,-86.370026,140.359436,-57.368015,17.377581,-28.739201,0.869138,0,0,0,0
92,-76.598740,127.132843,-60.007915,5.611221,-31.550898,1.618135,1,0,0,0
93,-77.122597,136.735229,-69.881927,12.243123,-35.148865,0.527460,0,0,0,0
