subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-68.249428,105.035439,-28.994987,12.688046,-45.612572,1.433363,0.176081,14.387470,7.212861,8.737568,14.615628,15.019027,11.969683,0.121582,0,0,1,1
1,-0.307350,105.403503,-33.683105,68.727661,-36.946030,0.970004,0.363901,13.474294,12.564757,9.923984,17.600422,15.643838,11.498380,0.098633,0,0,0,0
2,-18.585096,111.611732,-39.499283,51.488899,-33.061882,0.978541,0.259084,11.268033,9.034674,15.349157,8.584603,11.678895,16.488171,0.092285,0,0,0,1
3,-15.804518,111.872757,-35.088676,39.477417,-30.669849,0.739267,0.224679,16.350419,9.962087,13.199517,21.952287,11.731461,15.725702,0.106445,0,0,1,0
4,-28.519445,115.873672,-32.380535,30.035564,-28.234884,0.755329,0.178198,13.297891,8.906891,13.403670,8.949643,12.951459,12.967637,0.125977,0,1,0,0
5,-38.563046,122.828613,-32.692963,29.331606,-27.082790,0.919093,0.170586,6.999848,11.288732,16.570260,16.381687,11.540185,20.121533,0.112305,0,0,0,0
6,-62.799343,115.895248,-24.287367,32.334259,-30.142891,1.077264,0.130858,12.981837,9.362348,12.992712,14.561419,10.688722,18.334494,0.113281,1,0,0,0
7,-54.532425,133.890778,-8.971033,35.390152,-28.002476,0.598755,0.223993,14.764306,10.994262,11.327629,12.222807,16.247541,14.256785,0.055664,0,0,0,0
8,-68.822403,127.487976,-18.751478,31.106842,-26.454475,0.729846,0.141777,14.577923,6.732590,16.040804,12.193018,10.165984,13.146507,0.099609,0,1,0,0
9,-63.630314,117.982040,-15.011276,33.258354,-29.422153,0.742448,0.117802,5.673995,5.507965,13.664176,11.363592,11.766933,14.916034,0.118652,0,0,0,0
10,-67.011719,131.215576,-21.181913,31.924435,-20.826653,0.773063,0.143636,14.655393,7.392088,7.715157,16.283769,15.428808,16.624171,0.083984,0,0,1,0
11,-69.227669,123.142548,-19.968658,27.231850,-20.848797,1.069551,0.128364,9.760090,7.952124,9.840600,37.669643,11.501112,19.907817,0.105957,0,0,0,0
12,-68.597374,104.364441,-32.595860,22.835621,-15.980495,1.048678,0.105288,28.395969,6.345066,12.535639,12.438307,15.186354,18.665218,0.156250,1,0,0,0
13,-53.895615,114.212646,-27.906418,32.859138,-17.739227,0.626879,0.134228,12.345780,7.774653,9.273863,14.960689,13.767086,14.301595,0.116211,0,0,0,0
14,-87.976387,135.232971,-29.836967,42.174671,-11.604425,0.735025,0.122284,12.285588,12.555427,12.336582,13.501063,14.474996,16.080634,0.093262,0,0,0,1
