subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-478.962585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.497434,6.497434,6.497434,6.497434,6.497434,6.497434,0.043945,1,0,0,1
1,-216.178772,184.419266,-13.675768,-5.279601,0.400748,0.859874,0.124998,13.768942,16.891249,18.711206,25.993120,23.967306,30.889784,0.033203,0,0,0,0
2,-254.763931,175.712357,-2.632006,-11.900662,7.823706,0.716539,0.080630,4.688170,16.339992,19.930481,25.578063,22.157302,27.083192,0.029785,0,0,0,0
3,-272.597137,176.823517,10.217375,-19.193171,4.497063,0.746241,0.073576,4.797845,18.995200,18.688391,19.141666,24.077256,31.475302,0.021973,0,0,0,0
4,-287.360229,166.633682,11.104120,-19.864286,3.020674,0.685790,0.064803,11.801996,16.365231,18.562915,17.954061,19.885563,26.761845,0.024414,0,1,0,0
5,-264.398651,169.645020,0.717926,-8.206297,6.786500,0.457389,0.059560,11.889733,15.969672,18.050247,18.371184,25.604844,23.462031,0.045410,0,0,0,0
6,-288.158508,159.409454,7.946055,-12.185444,4.457315,0.539101,0.070050,7.007030,15.608498,27.601674,24.550447,18.631581,30.105978,0.032227,0,0,0,0
7,-309.159973,146.387054,11.556046,-13.653379,2.649165,0.525973,0.037628,8.515091,20.082437,21.917961,28.032176,19.942685,31.885328,0.026367,0,0,0,0
8,-329.881958,138.458755,22.057316,-10.643268,7.977429,0.395636,0.033076,12.299883,17.869460,22.961761,19.993796,22.510398,24.643199,0.026855,0,0,0,1
9,-248.998779,160.034454,-10.234308,-8.395954,-9.694590,0.725846,0.100272,16.631044,13.949695,17.045846,27.145212,27.963372,23.414216,0.051270,0,0,0,0
10,-297.311981,136.982971,-8.375883,-17.103424,-0.285562,0.469378,0.045361,12.478746,16.876224,16.018834,26.386715,20.663570,29.221813,0.044434,0,0,1,0
11,-273.451660,150.905823,-13.179850,-6.214587,9.006781,0.427525,0.053954,19.468526,11.515501,15.143999,23.246661,28.435739,29.761845,0.047363,0,0,0,0
12,-299.765167,144.775665,0.978031,-12.293980,3.209845,0.432536,0.054272,14.765987,12.542097,23.291375,24.470126,24.823978,27.899638,0.035645,0,1,0,0
13,-270.121429,157.663239,-10.424188,-8.054585,4.900252,0.466726,0.083021,8.327382,12.697799,20.404680,18.317552,25.263346,30.272241,0.037109,0,0,0,0
14,-296.293884,144.269943,-9.788965,-20.144224,4.069506,0.823532,0.054262,12.203490,12.792791,23.845588,22.333796,18.214502,28.727729,0.033691,1,0,0,0
15,-262.684235,164.783569,-11.444118,-8.967478,10.263216,0.513709,0.094655,6.853419,11.578571,22.095977,31.185536,25.960655,29.726194,0.030762,0,0,0,0
16,-302.129669,137.368774,-8.658394,-10.705645,6.884280,0.538293,0.037078,10.625938,15.226447,16.560709,26.319077,21.793145,29.691100,0.042480,0,0,1,0
17,-245.824219,195.074707,-0.653916,-26.109207,16.594395,0.514621,0.081159,24.225365,13.298038,17.780241,20.561020,22.614335,30.114783,0.035156,0,0,0,0
18,-261.778015,188.093369,4.859047,-35.793091,0.269412,0.458801,0.066972,10.218561,10.970643,20.074918,21.471924,21.756002,27.329896,0.032715,0,1,0,0
19,-236.388855,180.056702,-17.506870,-17.435097,5.738104,0.505155,0.097909,10.051682,10.952400,18.855894,15.789482,25.728057,27.385633,0.041504,0,0,0,0
20,-259.456329,172.735336,-10.072822,-26.185606,-3.695897,0.580183,0.076939,13.110964,13.742608,21.112125,22.795690,24.597099,34.085099,0.035156,0,0,0,0
21,-285.413666,163.268555,0.753769,-28.082720,-0.441752,0.478080,0.057643,9.029733,15.197160,23.436320,17.582520,27.260776,30.245422,0.034668,0,0,0,0
22,-306.699371,155.081787,14.386896,-24.631687,-1.921622,0.285072,0.033857,4.876537,15.283021,22.634537,20.970469,27.249366,35.520499,0.038086,0,0,1,0
