subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
2165,45.564819,61.167500,-41.343391,47.308582,-28.462929,0.632977,0.477743,23.311468,8.987498,18.165397,10.754846,12.014666,15.768066,0.129395,0,0,0,0
2166,41.983551,63.201347,-37.726963,33.821404,-35.750961,0.724438,0.473429,20.154057,9.980486,22.304126,10.574961,13.678166,9.337864,0.139648,0,0,1,1
2167,33.611687,64.891174,-41.651867,57.052292,-29.246437,0.634630,0.363664,17.615248,8.857802,9.665571,18.532024,13.413329,15.566617,0.199219,0,1,0,0
2168,49.977955,64.325058,-38.115547,46.732452,-32.285156,0.418638,0.358635,17.816036,2.945843,17.630551,7.437499,10.437869,11.650377,0.182617,1,0,0,1
2169,2.821646,85.533356,-38.759094,56.051498,-13.229088,0.556857,0.479102,18.316346,4.897747,15.068713,19.082355,10.769600,15.917289,0.047852,0,0,1,0
2170,0.849050,63.714394,-22.821903,56.173824,-21.513512,0.419851,0.482502,18.083833,6.815677,16.118272,20.507190,17.665758,14.005012,0.106445,1,1,0,0
2171,47.142323,75.462929,-36.204262,61.506790,-23.275280,0.817508,0.524732,16.752837,11.023935,13.069277,17.103657,15.336936,13.493926,0.137207,0,0,0,1
2172,47.488712,59.117279,-49.658257,52.911896,-31.269020,1.120898,0.403860,18.382653,6.004435,13.839939,16.876976,12.829021,13.291444,0.195312,1,1,1,0
2173,34.766506,69.875122,-30.803493,36.914909,-23.474388,1.079784,0.480893,30.470254,6.217994,16.196364,12.846482,18.415379,11.143322,0.088867,0,0,0,1
2174,32.094105,71.018410,-34.332779,30.410557,-29.788162,0.561257,0.498106,25.046212,7.998667,17.219903,13.556250,16.566927,12.676755,0.133301,1,1,0,0
2175,51.832039,68.278824,-29.252308,57.813347,-22.803501,0.541033,0.515783,16.157579,7.329208,14.782929,15.301387,13.589994,14.627999,0.163574,0,0,1,0
2176,26.881786,59.762497,-36.831497,58.483253,-31.448402,0.546496,0.378131,17.608308,9.619878,15.597796,14.292922,17.093410,14.105744,0.200684,1,0,0,1
2177,32.649918,39.437668,-16.622639,58.280819,-25.591232,0.807070,0.481910,31.113556,9.728317,10.022607,15.750772,16.271166,15.420921,0.170410,0,1,0,0
2178,59.783333,51.406498,-21.169880,54.491367,-34.721504,0.718887,0.495076,25.167169,9.747555,10.569165,14.826565,10.485070,16.062266,0.183594,0,0,1,1
2179,48.621799,58.045143,-18.638489,66.410393,-27.350922,0.759398,0.405517,18.067022,14.590597,16.477502,24.933412,10.656162,12.018856,0.225098,1,0,0,0
2180,73.716293,61.197262,-33.254044,45.596252,-35.455868,0.492566,0.429054,15.427635,5.697494,11.491657,10.938299,11.139677,15.027956,0.223633,0,1,1,1
2181,48.095673,45.078388,-37.859192,51.027328,-27.453430,0.807570,0.492974,21.922354,10.476780,14.223355,15.804698,11.423223,18.687242,0.150879,0,0,0,0
2182,48.402557,56.569725,-33.983971,45.405853,-35.206482,0.721065,0.482696,18.458639,13.479963,12.162391,10.135229,13.452271,12.584140,0.169922,0,1,0,1
2183,43.041344,69.751427,-36.466839,62.656895,-36.358589,0.583592,0.398719,16.096834,10.932263,11.617554,11.650229,17.012369,15.450595,0.215820,1,0,0,0
2184,55.050278,61.994858,-34.032265,51.057617,-31.581810,0.714174,0.389965,13.308211,6.965565,11.044182,10.802384,10.435325,14.017181,0.212402,0,1,1,0
