subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-313.266083,80.435516,-54.215443,-17.107710,-7.786837,0.693820,0,0,0,1
1,-240.306870,112.223816,-65.947876,-3.309409,-16.768270,0.350722,0,0,0,0
2,-278.869537,106.018379,-52.772507,-19.445215,-10.560785,0.750464,0,0,0,0
3,-291.550385,109.965958,-40.635353,-22.411182,-8.662100,0.597715,0,0,0,0
4,-250.898178,103.433556,-71.813492,3.226355,4.345566,0.603874,1,0,0,0
5,-226.730133,107.643486,-84.781296,-6.513254,-10.962989,0.801777,0,0,0,0
6,-259.224274,105.653557,-65.874283,-8.837971,-6.755076,1.013345,1,0,0,0
7,-217.170074,106.094330,-80.979065,7.397616,-12.748090,1.687865,0,0,0,0
8,-240.743134,121.119583,-67.542847,-7.083844,5.627782,0.999881,0,0,0,0
9,-256.702423,107.227966,-72.153351,-17.768627,1.031285,0.976738,0,0,0,0
10,-249.973404,107.343643,-71.441650,-17.987331,-10.412302,0.853696,0,0,1,0
11,-228.662125,106.638329,-92.976906,-15.155387,-8.976982,0.700509,0,0,0,0
12,-225.073441,124.052170,-87.190750,-18.796604,7.364330,0.595000,0,0,1,0
13,-190.530960,128.844971,-102.832382,-20.473257,-6.999460,1.112370,0,0,0,0
14,-211.225571,124.363274,-91.893494,-22.499119,-4.885175,1.106556,0,1,0,0
15,-163.708298,133.679932,-94.354233,-9.550108,-30.090570,1.005652,0,0,1,0
16,-162.378632,118.231491,-87.820824,26.377497,-20.419170,1.281669,0,0,0,1
17,-162.564117,142.166229,-106.706131,-0.915047,4.677354,0.483890,0,0,0,0
18,-183.708191,131.918457,-106.390411,-15.372123,-5.351343,0.845329,0,0,0,0
19,-161.122482,144.856110,-109.085190,-9.593924,-4.315184,1.134352,0,0,0,0
20,-167.085205,136.232178,-99.405571,9.347261,0.605362,1.572408,1,0,0,0
21,-162.550217,155.727417,-96.027794,-8.802402,-0.166180,0.468642,0,0,0,0
22,-150.411224,120.484619,-96.051529,15.946592,-24.641684,1.412921,1,0,0,0
23,-157.301880,146.181549,-105.448898,-8.327709,-3.399237,0.699152,0,0,0,0
24,-184.807343,139.840973,-87.671616,1.132331,7.257390,0.841862,0,0,0,0
25,-181.541168,139.402847,-91.685333,-0.848177,3.690206,0.547413,0,0,0,0
26,-162.286346,139.332306,-90.681740,3.248889,-16.652235,0.673313,0,1,0,0
27,-152.891418,144.203461,-102.000809,-0.529608,-12.187241,0.775907,0,0,0,0
28,-186.818909,148.508575,-81.945236,-12.512416,-7.192941,0.602782,0,1,0,0
29,-141.812546,141.293671,-111.148499,14.330038,-7.730608,0.702969,0,0,0,0
30,-152.650620,138.845322,-99.626503,13.844090,-11.568422,1.004205,0,0,0,1
31,-125.835411,150.170593,-99.073410,15.153457,-17.156456,0.936495,0,0,1,0
32,-162.344711,149.798950,-77.698029,10.106369,-16.608803,0.981965,0,1,0,0
33,-156.301300,153.086212,-89.251968,7.842513,-0.333550,1.406234,0,0,0,0
34,-186.016663,147.876434,-83.511528,-0.634080,8.013700,1.074857,0,0,0,0
35,-195.587585,142.168488,-80.972977,-2.244142,4.219275,0.902989,0,0,0,0
36,-180.204056,126.158905,-81.239502,13.957335,-20.827835,0.698711,1,0,0,0
37,-186.955231,142.722900,-82.119568,-4.491930,-6.606294,0.859791,0,0,0,0
38,-210.624771,135.394775,-77.805450,-9.174992,1.283696,0.690309,1,0,0,0
39,-186.238235,134.831818,-84.908043,0.161434,-15.371494,1.082730,0,0,0,0
40,-209.797623,141.465851,-70.480789,-4.877025,4.233910,0.463729,0,0,0,0
41,-209.798111,143.449905,-73.089180,-22.163670,-8.970003,0.813742,0,0,0,0
42,-209.012070,127.990814,-79.998718,-14.391594,-14.032305,0.960415,0,0,1,0
43,-216.683533,128.211014,-79.922226,-15.793352,-5.009932,0.701016,0,0,0,0
44,-229.475800,133.413483,-64.466316,-12.662302,-0.934323,0.586823,0,0,1,0
45,-171.605118,152.942963,-82.710602,-15.740653,-17.452402,0.688650,0,0,0,0
46,-211.067093,139.888306,-84.311066,-33.887291,-3.746257,0.615457,1,0,0,0
47,-154.600998,134.968643,-91.467331,2.139240,-33.962280,0.829511,0,1,0,0
48,-192.367401,136.911789,-74.470306,-3.763140,-15.642719,0.465999,0,0,1,0
49,-153.358398,153.170074,-93.040665,-5.432679,-21.866470,0.993768,0,0,0,0
50,-172.520844,139.527786,-101.613823,-9.006055,-13.845324,0.662654,0,0,0,0
51,-172.858932,143.380554,-97.175911,-6.010234,-14.607322,0.917419,0,0,0,0
52,-198.029907,140.047485,-72.889404,-1.253298,-8.550035,0.792345,0,0,0,1
53,-157.168976,160.637939,-88.765419,-6.882667,-5.377777,0.898396,0,0,0,0
54,-194.276657,147.685120,-72.835915,-5.609149,-0.395344,0.663195,0,0,0,1
55,-161.374023,135.410645,-108.134834,9.059393,0.335703,0.697397,0,0,0,0
56,-184.252029,128.277786,-106.102943,3.327586,15.371328,0.782509,0,0,0,0
57,-169.014038,147.471741,-95.677994,0.281611,11.576763,1.394601,0,0,0,0
58,-188.552002,140.564728,-82.769249,1.403518,1.554884,0.634541,0,1,0,0
59,-153.110870,125.823601,-116.277481,12.599666,-0.914619,1.018411,0,0,0,0
60,-192.935410,127.918129,-86.405205,-1.056925,-1.462476,0.742485,0,1,0,0
61,-151.861633,141.160843,-101.949203,6.683887,1.467052,1.392005,0,0,0,0
62,-131.803894,139.927979,-75.342545,17.045689,2.391679,1.333539,0,0,1,1
63,-49.871857,94.052002,-37.411217,56.855225,-12.564949,2.006105,0,0,0,0
64,4.443046,73.275192,-20.558170,56.916260,-28.663383,1.655876,1,1,1,1
65,19.205626,109.741325,-20.520233,42.558811,-22.923428,1.241904,0,0,0,0
66,27.823383,101.497025,-22.456860,52.892120,-12.319176,1.226315,1,1,1,1
67,27.267389,102.276428,-18.724239,47.520363,-14.523882,0.910764,0,0,0,0
68,38.039650,105.136192,-18.517475,59.430214,-4.782554,1.314704,1,1,1,1
69,0.307633,114.305908,-1.171474,51.931587,-13.904733,0.410476,0,0,0,0
70,34.368668,90.082970,-11.919289,61.237495,-13.760162,1.710416,1,0,0,1
71,47.187073,103.036392,-20.379654,44.982296,-11.056596,1.397438,0,0,0,0
72,29.434662,118.993530,-10.967386,45.228119,-14.412611,0.566459,1,1,1,1
73,1.549619,109.918396,3.617531,46.340569,-7.618474,0.408462,0,0,0,0
74,13.840987,116.785034,-8.825618,45.517899,-8.483559,1.083494,0,1,1,0
75,51.609463,110.498047,-23.273495,39.985954,-16.258345,1.337604,0,0,0,0
76,26.469744,118.718246,-12.145952,45.333366,-13.402239,0.743523,1,1,1,1
77,10.888310,111.354324,-18.864128,47.411968,-14.200481,0.563008,0,0,0,0
78,35.117855,118.529892,-18.181351,58.284019,-8.451370,0.711298,0,0,1,1
79,38.816040,106.293671,-19.960733,52.579666,-11.027123,1.045679,0,0,0,0
80,38.386063,111.719666,-12.359167,37.445255,-22.420383,1.079155,1,1,1,1
81,4.049014,124.844780,-13.923313,35.654823,-20.898266,0.433569,0,0,0,0
