mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-3.757408,-2.859751,0.917733,-1.848286,0.437556,-1.088582,-1.616198,1,1,0,0
0.981217,-0.241641,0.430041,-0.306796,-0.965631,0.387348,-0.257152,0,0,0,0
0.700782,-0.245537,0.093489,-0.556144,-1.213735,0.137720,-0.654024,0,0,0,0
0.860080,-0.238208,0.655511,-0.204114,-1.072474,0.505632,-0.391125,0,0,0,0
0.740338,-0.155593,0.123425,-0.959347,-1.148425,0.107739,-0.578690,0,0,0,0
0.705480,-0.248376,0.073191,-0.657105,-1.142807,0.405396,-0.796345,0,0,0,0
0.702004,0.004978,0.382278,-0.534080,-1.498914,-0.299096,-0.431362,0,1,1,0
0.919876,0.167620,-0.147299,-0.828767,-0.672325,0.495859,0.199918,0,0,0,0
0.625155,-0.031265,-0.503332,-0.896262,-1.380618,0.920717,-0.771187,0,0,0,0
0.443309,-0.008385,-0.027408,-0.525583,-0.799228,-0.347720,-0.670444,0,0,0,0
0.413720,0.003542,-0.106498,-0.649528,-1.259949,-0.644273,-0.474562,0,0,0,0
0.395257,-0.223244,-0.245673,-0.415707,-1.142881,-0.302306,-0.797278,0,0,0,0
0.356722,0.058217,-0.093274,-0.173596,-0.775514,0.662998,-0.648796,0,0,0,1
0.494794,0.229060,-0.551461,-0.295490,-0.805519,0.158171,-0.517580,0,0,0,0
0.405444,0.343952,-0.068616,-0.483734,-0.598189,-0.194073,-0.559737,1,1,0,0
0.858640,0.659216,-0.313440,-0.462207,-0.385675,-0.142433,-0.215022,0,0,0,0
0.559365,0.595427,-0.427110,-0.738867,-0.787957,0.426874,-0.395764,0,0,0,1
0.531141,0.736227,-0.017174,-0.599743,-0.708238,-0.270939,-0.250849,0,0,0,0
0.506126,0.578449,-0.293600,-0.473322,-0.425799,0.438438,-0.535301,0,0,0,0
0.480542,0.668261,-0.299054,-0.376841,-0.749529,-0.286357,-0.469974,0,0,0,0
0.478500,0.782149,-0.319490,-0.913623,-0.867020,0.281187,-0.562439,0,0,0,0
0.395368,0.598277,-0.485423,-0.666610,-0.752200,-0.141785,-0.634380,0,0,0,0
0.378612,0.729181,-0.035763,-0.155459,-0.558023,0.289426,-0.496759,0,0,1,0
0.429782,0.937214,-0.764675,-0.763514,-0.546700,-0.037816,-0.308861,0,0,0,0
0.393616,0.915142,-0.796840,-0.772075,-0.275556,0.750050,-0.431145,0,0,0,0
0.345553,0.802226,-0.881611,-0.589711,-0.284852,0.171266,-0.588603,0,0,0,0
