mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-97.163651,56.428322,-64.656433,20.925606,-43.495068,2.200056,0.122374,0,0,1,1
-35.594688,90.906784,-13.633461,67.174004,-7.714296,0.724859,0.311062,0,0,0,0
-47.004421,106.429626,-6.839789,53.495979,-19.281864,1.111644,0.232558,0,1,0,0
-61.756966,104.550034,-1.043220,61.133408,-24.078346,0.885331,0.248241,0,0,0,0
-44.988403,98.420273,-29.834610,51.776337,-8.470009,1.155113,0.184954,0,0,0,1
-73.717827,111.910263,-0.437643,50.523438,-22.435799,0.960346,0.326561,0,0,0,0
-92.676109,105.648438,-2.858821,50.935234,-29.013046,0.934772,0.321067,0,0,0,0
-116.724297,117.073944,6.512527,51.230263,-28.571232,0.789122,0.166734,0,0,0,0
-92.658691,101.704330,6.848192,53.932934,-28.635067,1.048035,0.191188,0,0,1,0
-107.440567,150.625732,-23.320078,50.719234,-16.812864,1.307286,0.182998,0,0,0,0
-105.639458,153.854996,-15.850971,39.751862,-19.106255,0.750707,0.215127,0,0,0,0
-120.586884,153.969421,2.232067,37.555038,-24.938177,0.790471,0.263284,0,0,0,0
-129.018204,174.263519,4.948456,39.976097,-6.345206,0.823775,0.220937,0,0,0,0
-150.949692,161.988892,-17.544621,42.066708,-2.837830,0.645447,0.116637,0,0,0,0
-177.038574,183.896301,-0.584217,33.755882,-8.287268,0.901994,0.121785,0,0,0,0
-181.597092,185.803848,5.162874,31.203747,-6.788284,0.378282,0.185416,0,0,0,0
-195.747971,189.394196,17.603174,35.253960,-3.694911,0.720066,0.155344,0,0,0,0
-175.459167,186.158203,-3.146457,36.748287,-0.304895,0.774447,0.161853,0,0,0,0
-151.665298,169.002975,-3.794028,50.342072,1.035641,1.250646,0.182622,0,0,0,0
-194.995316,201.642334,24.994247,19.673710,-3.600711,0.601430,0.182486,0,0,0,0
-60.837746,72.031418,12.780598,89.809456,-35.809895,1.806654,0.215566,1,0,0,0
-125.498322,161.966614,-12.978647,56.955978,-1.726582,0.698269,0.160850,0,0,0,0
-139.740402,159.674896,-6.580298,39.691189,-6.014225,0.663413,0.199431,0,0,0,0
-150.777039,170.622894,-4.034306,34.891449,-3.121863,0.999914,0.203846,0,0,0,0
-143.282104,165.857391,-7.749167,55.623596,-13.325838,0.979622,0.199281,0,0,1,0
-123.427246,160.580765,-21.603977,50.395897,-7.970375,0.676260,0.254026,0,0,0,0
-111.968552,146.096252,-35.075932,58.872925,-3.701673,0.778060,0.257535,0,0,0,0
-91.821571,134.294861,-26.484385,62.235397,3.353172,0.866513,0.257080,0,0,0,0
-34.259327,109.266090,-50.212547,67.807007,10.265484,3.570113,0.263393,0,0,0,0
-121.378922,134.657028,-28.208710,63.990993,13.812258,0.354573,0.174241,0,0,0,0
-129.494598,137.527664,-27.113905,58.297970,24.035530,1.158810,0.155758,0,0,0,0
-176.905762,195.897552,-20.075823,41.565151,19.260345,0.316521,0.171456,0,0,0,0
-93.234436,133.880035,-40.295647,79.241997,11.175161,0.948544,0.216184,0,0,0,1
-74.315163,155.633774,-39.852310,40.439369,-11.967775,1.035579,0.203999,0,0,0,0
-149.551224,178.218292,-5.018210,19.579506,14.259974,0.918654,0.184531,0,1,0,0
-95.160820,130.767548,-26.622427,58.440041,-6.754828,0.662444,0.262822,0,0,0,0
-133.121933,163.326141,-6.492250,31.541931,11.268515,0.623402,0.258239,0,0,0,1
-115.612450,148.319916,-20.373928,49.703213,-10.468388,1.475720,0.322801,0,0,0,0
-130.733902,139.849121,-7.660841,42.919724,-2.573141,0.631726,0.166849,1,0,0,0
-176.954483,185.495605,-5.991864,34.296341,8.837178,0.337328,0.166986,0,0,0,0
-171.536743,169.020599,-10.760841,41.446278,7.278871,0.767136,0.182054,0,0,1,0
-106.581444,149.312347,-27.280319,46.854176,11.696365,1.114600,0.188154,0,0,0,0
-119.856972,137.717346,-28.409756,81.682564,8.963444,1.167087,0.243646,0,0,0,0
