subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-245.673676,123.991699,-71.534897,7.499192,-0.889687,0.000000,0.060179,11.900684,6.778848,15.419046,25.781194,17.547300,21.575764,0.188965,1,0,0,0
1,-95.049736,106.508202,-64.805367,29.479004,-6.064180,1.494750,0.241296,18.934001,9.464476,16.143516,25.060218,21.370751,25.798204,0.094727,0,0,0,0
2,-117.285210,134.862778,-44.339561,35.072269,-1.474362,0.677220,0.146539,15.900619,11.250846,21.550234,30.872829,16.561791,25.694268,0.073730,0,0,0,0
3,-114.837448,123.464951,-32.979424,37.388695,13.843897,0.799056,0.118175,12.986672,23.329915,14.996613,20.478225,19.899426,23.165647,0.082031,0,0,0,0
4,-103.926674,143.262543,-45.906502,34.033630,5.567875,1.341715,0.133376,8.831399,19.723418,14.200774,16.361620,18.850469,23.315917,0.088867,0,0,0,1
5,-56.606220,108.938576,-65.712189,40.471268,-15.105261,1.744535,0.205232,11.685090,15.914200,17.346322,24.038729,25.803179,26.264974,0.111328,0,0,0,0
6,-104.117599,115.784309,-54.577255,40.352573,4.408667,0.542207,0.199351,12.045429,11.762170,26.662586,23.965102,26.630883,30.151230,0.112793,0,0,0,0
7,-97.578033,89.682022,-40.858826,25.738777,-1.012357,1.179843,0.155280,9.716925,9.869533,26.218805,18.776263,22.305025,29.494524,0.150391,0,0,0,0
8,-100.866791,94.781540,-47.197151,24.141556,-3.087004,0.740075,0.175476,9.371542,7.128494,14.510375,23.392394,24.511669,30.616056,0.166504,0,0,0,0
9,-75.993439,123.604889,-48.998875,37.883896,-8.430884,1.224165,0.190138,9.686214,10.395304,18.627633,20.105062,17.213211,26.011921,0.104492,0,0,0,0
10,-92.143990,130.158035,-53.753941,39.617111,4.071592,1.034175,0.175854,9.666861,15.643618,15.544812,20.399765,25.499042,28.471570,0.107422,0,0,0,0
11,-99.504517,127.034019,-23.994608,31.544687,4.110923,0.535176,0.133617,12.978079,16.477930,13.140222,16.924834,19.198791,22.262100,0.078613,0,0,0,0
12,-122.178802,130.994858,-34.335060,31.291313,7.354267,0.674470,0.103241,9.981696,12.025932,17.182773,21.841459,21.817094,24.219011,0.088379,0,1,0,0
13,-60.425983,108.127472,-44.617783,35.376381,-2.881257,0.849665,0.172036,15.337329,11.844252,15.617903,19.034553,20.607081,23.274048,0.110840,0,0,0,0
14,-108.937927,126.020035,-58.884987,28.784534,-3.793639,0.597733,0.190826,13.964184,8.300152,15.575453,23.561504,27.641328,29.129418,0.094238,0,0,0,0
15,-111.108757,106.269516,-24.279530,25.727009,7.406840,0.990714,0.100080,12.945895,8.453828,13.321659,25.607147,20.344680,25.336776,0.109375,0,0,0,0
16,-136.763748,124.782341,-43.982071,30.279228,1.642193,0.836183,0.098882,12.709741,8.578015,15.906951,21.256721,19.835116,24.777667,0.088379,1,0,0,0
17,-58.279156,132.017609,-61.284889,30.491310,-9.826043,2.176832,0.216128,16.966538,8.862150,18.781981,20.881631,18.646294,27.280965,0.078125,0,0,0,0
18,-89.816422,146.787231,-55.855141,28.955505,-2.090356,0.528237,0.197853,12.808768,8.083875,19.117192,19.161305,25.203319,19.039399,0.070801,0,0,0,0
19,-90.369453,133.720840,-32.904690,18.561094,1.478425,0.967808,0.153534,8.717199,12.564952,13.566470,20.491530,18.953793,19.791528,0.066406,0,0,0,0
20,-109.983482,136.028046,-39.921997,27.308163,-5.172212,0.456054,0.102872,5.228956,9.459832,17.993872,17.200348,19.796981,22.434998,0.086914,0,0,1,0
21,-76.631454,112.297409,-46.500568,24.443525,-9.744134,1.611745,0.166588,8.738919,8.007184,11.880393,20.359166,19.798253,24.278118,0.113281,0,0,0,0
22,-81.660072,113.168633,-59.825630,29.783764,-9.378275,1.298272,0.206023,8.956640,6.967868,10.170604,20.999555,20.342834,26.020381,0.124512,0,0,0,0
23,-89.028114,100.616348,-43.015907,23.181087,-8.201994,1.092611,0.181209,12.253587,8.562294,11.565265,20.867759,27.007443,24.234032,0.126465,0,0,0,0
24,-105.586655,111.034462,-47.092644,23.553688,-1.831862,0.650928,0.186706,8.204599,7.758703,11.832119,19.241583,24.896512,24.215589,0.122070,0,0,0,0
25,-72.701050,133.914246,-54.134247,36.317501,-9.679494,1.715773,0.205377,16.019019,12.699230,19.927471,32.921860,19.243046,18.525484,0.079102,0,0,0,0
