subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-25.382605,92.199219,-25.725525,56.297905,-7.319335,1.297638,1,0,1,1
1,-15.072562,100.417534,-29.665970,47.651070,-9.195091,1.191517,0,0,0,0
2,-24.537384,112.280136,-27.299900,54.945023,-16.724352,0.675398,0,1,0,0
3,-34.758068,114.342735,-22.250389,50.863831,-17.008348,0.738063,0,0,0,0
4,-49.138161,118.983810,-33.536278,50.869400,-10.700144,0.825948,0,0,1,0
5,-44.662971,120.339485,-27.103306,41.319969,-7.283496,0.931821,0,0,0,0
6,-60.822231,126.204628,-35.508976,54.523262,-7.664012,0.859489,1,1,0,1
7,-23.624107,113.947372,-28.038315,54.641083,-12.983588,0.853866,0,0,0,0
8,-33.152725,109.650063,-21.463329,59.169006,-14.660963,0.719002,0,0,0,0
9,-39.416737,113.627167,-19.621704,56.516487,-5.206888,0.838674,0,0,0,0
10,-52.372189,117.419464,-30.798998,43.199833,-2.026821,0.803692,0,0,1,1
11,-62.069584,143.597580,-32.078655,43.208317,1.724632,0.668903,0,0,0,0
12,-72.953865,155.126129,-33.843033,47.226768,-0.545976,0.915361,1,1,0,0
13,-90.223228,160.847687,-32.432629,50.017578,1.319289,0.565498,0,0,0,0
14,-69.908127,147.930115,-31.826675,41.662212,2.116436,1.290128,1,0,1,1
15,-29.027258,106.240662,-26.534740,48.295971,-8.276367,0.901237,0,0,0,0
16,-34.226994,109.454422,-26.085358,43.257267,-9.588996,0.670957,0,0,0,0
17,-36.698803,125.742340,-26.737740,38.966743,-17.668339,0.838895,0,0,0,0
18,-62.182808,137.556091,-28.174513,36.308594,-9.837984,0.815154,0,0,1,0
19,-49.672287,134.088379,-21.990009,30.061163,-4.609176,1.037852,0,0,0,0
20,-56.437897,145.891159,-19.782711,34.422573,6.718684,0.875634,0,1,0,0
21,-49.005276,131.947266,-33.500118,27.567667,4.008734,0.702672,0,0,0,0
22,-66.122627,144.830688,-25.954056,20.187691,7.086868,1.407310,0,0,1,1
23,-32.891644,126.864441,-29.075371,39.317200,-12.630127,0.677051,0,0,0,0
24,-55.250031,136.121185,-12.033669,28.330830,2.381498,0.646972,0,0,1,1
25,-29.619413,132.741272,-27.799500,45.736954,-9.358307,0.714642,0,0,0,0
26,-60.531246,157.018280,-23.808519,37.432255,2.187337,0.804762,1,1,0,0
27,-59.400902,151.287918,-23.083651,33.834358,11.633269,0.794221,0,0,0,0
28,-67.746368,152.904495,-30.091408,24.962378,3.813740,0.815723,1,0,0,1
29,-58.853535,154.433411,-14.237310,31.087814,12.063648,0.722511,0,0,1,0
30,-104.934723,172.387695,-38.131760,43.108994,-1.439523,0.829965,0,1,0,0
31,-80.462746,140.147232,-24.686342,40.782166,6.541405,0.663755,0,0,1,0
32,-57.272739,132.086838,-20.307171,31.413397,-3.936118,0.896970,1,1,0,1
33,-5.429111,83.642593,-11.245922,38.161579,-0.352964,0.988328,0,0,0,0
34,-25.019249,88.803772,-11.468439,40.352093,6.469983,0.598226,1,0,1,0
35,-41.474171,124.498070,-26.780142,43.642227,-15.349646,0.755739,0,0,0,0
36,-56.561398,138.431793,-34.180458,45.330070,-17.734310,0.799172,0,1,0,1
37,-61.556664,141.851715,-15.721165,35.688469,3.988057,0.485446,0,0,0,0
38,-80.085213,146.152527,-37.332806,40.068687,1.556965,0.938942,0,0,1,1
39,-30.149641,135.464539,-25.312378,47.049911,-9.998649,0.793646,0,0,0,0
40,-71.411827,154.205688,-22.871883,46.431030,9.843314,0.393926,0,0,1,1
41,-20.957804,131.231049,-21.886192,43.341385,-10.002079,0.806426,0,0,0,0
42,-68.713455,139.906342,-18.207443,39.426704,9.994186,0.607688,1,1,0,0
43,-90.980026,166.738190,-27.087524,39.056755,18.141298,0.758866,0,0,0,0
44,-97.801086,180.629395,-29.384235,40.948463,10.957140,0.734424,0,1,0,0
45,-112.722687,179.480896,-34.026642,26.061913,10.951514,0.851395,0,0,0,0
46,-110.074486,176.308304,-28.550713,39.606361,14.980642,0.769843,1,0,1,1
47,-29.252394,110.027313,-16.208084,56.893116,-13.399389,1.028908,0,0,0,0
48,-36.824841,116.004608,-16.384144,47.474297,-15.396358,1.085155,0,0,0,0
49,-50.133698,122.850166,-24.354729,41.096138,-10.419518,0.883553,0,0,0,0
50,-59.805435,142.660812,-26.407455,35.761177,-7.280522,0.591684,1,1,0,0
51,-60.183693,136.050873,-15.802935,34.272041,5.341960,0.841414,0,0,0,0
52,-74.811241,153.606781,-22.987968,29.082264,-0.680773,0.714008,0,0,1,1
53,-29.510740,113.160797,-17.510162,39.132946,1.437530,0.624936,0,0,0,0
54,-50.892796,119.785446,-8.819771,28.563656,-0.860803,0.763410,1,1,0,1
55,-17.383532,112.051376,-19.312336,54.834877,-3.012042,1.104614,0,0,0,0
56,-27.336853,106.466705,-17.940599,53.901993,-3.430968,0.818034,1,0,0,0
57,-38.285538,123.949051,-25.898497,42.821789,-6.865576,0.906847,0,1,0,0
58,-45.844345,137.777100,-27.620392,39.617722,-6.291471,0.843544,0,0,1,0
59,-45.107697,135.502579,-21.314743,44.373619,2.791107,0.666974,0,0,0,1
60,-45.609985,128.773026,-14.658787,52.872620,0.845549,0.819445,1,1,0,0
61,-43.352531,119.854065,-20.675091,52.261189,-5.302335,0.729750,0,0,1,0
62,-67.948822,131.873505,-16.286489,34.532875,5.296910,0.954266,0,1,0,0
63,-71.181686,138.492981,-23.749392,26.702377,12.414030,0.768024,0,0,0,1
64,-75.121368,140.146179,-20.022564,30.118017,15.310146,0.910483,1,1,1,0
65,-26.023865,119.497154,-21.275106,50.497032,-12.114494,0.888290,0,0,0,0
66,-48.983238,120.445602,-22.976934,54.435692,-2.375114,0.581623,0,0,0,0
67,-47.813511,130.747498,-24.678307,39.478752,-9.053070,0.589748,0,0,1,0
68,-54.517727,121.518784,-24.198368,34.347187,3.584278,0.489472,1,1,0,0
69,-14.950764,97.922577,-10.853961,36.324688,0.162767,1.227980,0,0,0,0
70,-53.055599,123.628716,-23.423588,34.891777,-0.380225,0.822077,0,0,1,0
71,-52.439224,105.326439,-12.022148,23.190418,13.699013,0.726029,0,0,0,0
72,-63.223618,123.095512,-2.953010,36.009022,9.845548,0.755139,1,0,0,1
73,-14.959938,103.798355,-6.857574,32.869965,-2.191494,0.665751,0,0,0,0
74,-48.524448,124.110031,-16.409195,28.461765,11.998970,0.753625,1,0,1,0
75,-62.366371,138.879562,-18.384445,40.651833,7.881322,1.059241,0,0,0,0
76,-54.052254,142.518219,-18.838919,30.848923,7.921775,0.912129,0,1,1,0
77,-21.398954,98.943634,-11.548332,41.388344,-0.420658,0.377923,0,0,0,0
78,-68.884285,130.175690,-21.376476,39.135368,2.816029,1.014702,1,0,0,1
79,-61.567017,123.278992,1.517075,36.385719,22.493746,0.793311,0,0,1,0
80,-52.829247,118.551132,-11.588232,12.842836,8.028004,0.854739,1,1,0,0
81,-14.498096,98.969284,-17.042116,33.118156,3.496834,0.935345,0,0,0,0
82,-54.689575,118.002312,-14.064989,37.544395,11.062830,0.681938,0,0,0,0
83,-52.652340,133.240662,-15.246380,30.494516,6.621948,0.580950,0,1,0,0
84,-50.960930,118.404724,-9.983644,17.686756,10.314463,0.762816,0,0,1,1
85,-14.609012,112.134254,-17.874313,36.100155,-1.230023,0.760768,0,0,0,0
86,-50.006893,127.101349,-18.849564,42.298279,5.778592,0.879093,0,1,1,0
87,-52.464924,120.610023,-2.637136,22.121334,10.319088,0.835732,0,0,0,0
88,-61.451954,122.652405,-5.493845,22.176876,8.229449,1.060754,1,0,0,1
89,-13.763107,94.317116,-3.446783,36.465157,7.824254,0.665783,0,0,0,0
90,-56.473015,117.089447,-19.087507,38.755077,10.859611,0.883168,1,1,0,0
91,-54.714928,132.836823,-12.167058,35.615738,10.708250,1.012503,0,0,0,0
92,-60.613937,128.010101,-8.591654,34.198669,11.873292,0.638652,0,0,1,1
93,-14.260432,101.328552,-8.075864,35.235504,-0.491547,0.753692,0,0,0,0
94,-55.445831,128.039352,-13.461506,34.254326,3.601616,0.968084,1,1,0,0
95,-37.019089,138.415710,-17.193050,41.425476,-7.825631,1.160185,0,0,1,0
96,-50.873882,127.109497,-18.993727,47.719891,-6.249642,0.640010,1,0,0,1
97,-18.981838,94.320221,6.809642,41.269733,5.331691,1.044403,0,0,0,0
98,-73.451439,111.949928,-4.430052,46.812851,5.848135,0.610022,0,0,1,0
99,-63.817520,117.793633,2.022662,30.671774,14.100376,0.457801,0,0,0,0
100,-73.788567,110.683258,5.581951,36.833160,11.453700,0.497278,0,1,0,1
101,-30.615114,82.697639,-7.765760,37.373413,3.305122,0.699261,0,0,0,0
102,-62.907631,121.045883,0.453700,37.412239,8.025993,0.630059,1,0,0,0
103,-62.639351,122.834122,-3.219966,29.832270,12.133188,0.702764,0,0,0,0
104,-62.876980,126.000259,-13.218718,23.995094,9.869568,0.859850,0,0,1,1
105,-13.407561,101.423523,-1.833905,38.417664,6.335898,0.630840,0,0,0,0
106,-49.735767,135.047791,-8.504505,30.775356,2.686365,0.739044,0,1,1,0
107,-65.880264,137.375580,-11.068462,33.229588,2.422402,1.158292,0,0,0,0
108,-76.410797,141.921692,-16.113722,38.031479,8.985548,0.671976,1,1,0,0
109,-18.735188,105.391602,-2.955278,38.279068,-2.567754,0.547799,0,0,0,0
110,-55.931297,128.684952,-4.675184,39.129292,-0.285307,0.996474,1,0,1,1
111,-28.253580,110.178833,-14.295492,59.938820,-9.800110,0.721700,0,0,0,0
112,-12.195550,103.366051,-12.317511,41.126175,-7.687963,0.778546,0,0,0,0
113,-43.406639,116.234451,-22.156414,49.319275,-9.251787,0.614398,0,0,0,0
114,-45.755676,129.431122,-14.275919,43.300591,-8.086420,1.157302,0,1,0,1
115,-42.193676,130.520401,-6.985454,46.002071,3.641360,0.927316,0,0,0,0
116,-61.830757,138.270660,-19.710783,33.042709,0.891965,0.641563,1,0,1,0
117,-34.112171,118.646317,-26.128174,39.918213,-16.543842,0.604455,0,0,0,0
118,-69.869156,143.402039,-23.889843,44.439774,0.933675,0.812341,1,1,0,1
119,-33.070549,116.457970,-24.484739,60.327927,-6.774724,0.954713,0,0,0,0
120,-35.288628,119.759430,-13.554039,60.423904,-13.864456,0.908000,0,0,0,1
