mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-4.172255,-5.027258,0.780227,-2.103993,0.293668,-1.122163,-1.885432,0,1,0,0
-1.551414,1.110250,0.239515,-2.802272,2.079946,-0.315771,-1.230689,0,0,0,1
-2.000520,0.491627,0.948507,-3.082631,1.147528,2.300221,-1.582694,1,0,0,0
-2.020924,-0.060544,0.750136,-2.692740,1.278903,-0.618401,-1.614956,0,0,1,0
-1.416701,-0.105278,-0.997844,-1.249867,1.477751,-0.928114,-1.453309,1,0,0,0
-1.502772,0.898355,-0.478368,-3.543130,0.951069,0.086120,-1.433299,0,0,0,1
-1.677352,-0.296420,0.778414,-1.798004,0.581672,-0.186822,-1.517853,0,1,0,0
-1.445990,-0.326205,-0.648995,-0.774246,0.430158,-0.652874,-1.332269,0,0,0,1
-1.655782,0.222112,-0.585257,-2.678249,1.352201,0.367944,-1.368971,1,0,0,0
-1.773029,0.662469,1.053132,-1.836236,1.936378,0.691297,-1.472740,0,0,0,1
-1.246095,-0.229730,-0.631615,-0.917486,0.737860,-0.149084,-1.415377,1,0,0,0
-1.094001,-0.850992,1.192373,-1.517479,1.003356,0.200837,-1.274702,0,0,1,0
-1.347752,-0.275036,-0.658804,-0.540528,1.163149,-0.671557,-1.448955,1,0,0,0
-1.421021,0.470114,-0.551753,-3.218437,0.042029,-0.524963,-1.443744,0,0,0,1
-0.980084,-1.131195,1.421251,-1.124517,-0.185752,-0.165367,-1.175986,0,1,0,0
-1.501638,0.050566,-0.175112,-1.256893,0.340112,-0.302877,-1.397897,0,0,0,1
-1.316034,-0.349981,-0.177170,-2.434135,-0.130637,-0.457324,-1.384877,1,0,0,0
-1.818765,0.876983,1.239500,-2.093685,1.382011,0.585423,-1.151372,0,0,1,0
-1.241371,-0.033247,-0.681319,-1.034948,0.568426,0.208374,-1.304612,1,0,0,0
-1.217517,-0.290635,0.732326,-1.306855,1.483730,-0.581406,-1.208062,0,0,0,1
-1.225775,0.279911,-0.450643,-0.293701,1.047498,-0.711160,-1.124125,0,1,0,0
-1.591633,0.748615,0.634911,-2.744574,-0.556215,-0.518792,-1.308305,0,0,1,0
-0.976378,-1.065697,0.683852,-0.582702,0.152728,-0.493005,-1.351560,1,0,0,0
-1.253509,0.456201,-0.381501,-0.964879,1.134110,-0.613550,-1.212234,0,0,1,0
-1.745772,0.244680,0.074439,-2.436539,0.794143,1.320503,-1.486999,0,1,0,0
-1.874115,0.273021,1.290073,-1.045924,1.835827,-0.398280,-1.477145,0,0,0,1
-0.998087,-0.448082,-0.278789,-1.426939,-0.127924,-0.586517,-1.285111,0,1,0,0
-1.127341,-0.302032,0.581155,-1.150328,0.564797,-0.465948,-1.259752,0,0,1,0
-1.067474,0.119218,-0.923926,-0.685226,0.257219,-0.650146,-1.140895,1,0,0,0
-1.305614,0.254883,-0.383099,-2.402860,0.121189,0.086782,-1.370697,0,0,0,1
-1.108770,-0.394309,0.878121,-1.277525,0.619452,-0.399067,-1.196914,0,1,0,0
-1.098677,0.140620,-0.405777,-0.066958,1.357527,-0.316389,-1.028110,0,0,0,0
-0.773185,0.117460,0.810446,-1.110256,1.310282,0.110281,-0.576748,1,0,1,0
-0.526138,-0.434771,1.534479,-0.329138,-1.711059,0.149081,-0.674331,0,0,0,0
-1.122684,-3.919228,1.984120,2.270970,-0.942447,8.494832,-1.345091,1,0,0,0
-0.826618,-2.466231,0.882860,3.364555,2.049732,-0.257148,-0.481943,0,0,0,0
-0.406465,-3.254708,2.206386,-0.009891,-0.374820,4.197078,-0.941893,0,1,0,1
-0.164384,-0.472645,0.970785,1.390095,-0.363728,0.087497,-0.420599,0,0,0,0
-0.498634,-1.043396,1.771097,-0.609612,-0.353414,-0.225270,-0.888338,1,0,0,0
-0.870549,0.114457,0.473401,0.695454,0.719117,0.282878,-0.782546,0,0,0,1
0.144423,-1.622005,1.198137,0.341550,0.219231,1.744026,-0.653566,0,0,1,0
-0.447839,-1.356064,-0.146621,1.628724,0.443556,-0.075023,-0.600362,0,0,0,0
-1.211142,-2.848082,1.398723,0.435660,-0.600739,-0.468162,-1.487086,0,0,1,0
-0.492043,-1.243565,0.098913,1.938724,0.559689,0.088070,-0.608818,0,0,0,0
-1.025896,-3.454087,1.049798,1.223566,-1.245616,6.813177,-1.445090,1,1,0,0
0.051796,0.584516,0.102423,0.295193,-1.039246,0.045147,-0.165101,0,0,0,0
-0.343453,0.416599,0.564810,0.011178,-0.022896,-0.413244,-0.276657,0,0,1,0
-2.018674,0.423859,2.006488,-0.287485,2.702580,-0.335060,-0.887230,0,0,0,1
-0.419808,-0.105413,0.973792,-0.141709,-1.336019,-0.232306,-0.661455,1,0,0,0
-1.033600,-0.415074,1.083292,0.253883,-1.759460,-0.116040,-0.982799,0,0,1,0
-1.237759,-0.642011,1.150550,-0.141122,-2.005313,0.190932,-1.209577,0,1,0,0
-1.210725,-0.093282,1.623825,0.221514,-0.849204,-0.138389,-1.140401,0,0,0,0
-1.365323,-0.609957,0.866349,-0.122875,-0.941947,0.167193,-1.284004,0,1,0,1
-0.521272,1.157488,0.166311,-0.411051,0.552795,-0.249072,-0.562202,0,0,0,0
-1.148840,1.349132,0.829796,-0.300462,1.906813,-0.685617,-0.587248,0,0,1,0
-1.428847,1.664111,1.304908,-1.488368,1.517445,-0.345489,-0.736279,0,1,0,0
-0.604034,-0.237756,1.023036,-0.512075,1.440635,-0.547566,-0.960683,0,0,0,1
-2.614867,-0.573954,2.955976,-0.601724,1.599141,-0.111362,-1.556343,0,1,0,0
-1.269791,-2.121207,2.109693,-0.791427,-0.222054,-0.784475,-1.340119,0,0,1,0
-2.617412,0.147024,3.312629,-1.401839,1.489241,-0.858739,-1.355043,0,0,0,0
-2.242032,-1.400701,2.694001,-0.981635,-0.216210,-0.690492,-1.510864,1,0,1,0
-0.779959,1.972052,0.399738,-0.841210,1.693831,-0.485094,-0.613975,0,0,0,0
-1.335196,1.674588,0.931112,-1.279846,2.456874,-0.813705,-0.960667,0,0,0,1
-1.533765,0.089893,0.907123,-0.951615,0.974328,-0.363411,-1.474411,0,1,0,0
-0.713725,-0.509121,0.552479,0.048309,0.706321,-0.212868,-0.910408,0,0,1,0
-0.879083,-0.879596,0.012046,0.195881,1.111455,-0.023960,-0.812913,1,0,0,0
-1.078616,-1.380105,0.033490,-2.782050,-1.074225,-0.565872,-1.369343,0,0,1,0
-0.403695,-1.008698,0.975690,0.335653,-2.136957,-0.425443,-0.311282,0,0,0,0
-0.699048,-3.516966,0.475748,1.208828,-0.351563,14.177021,-1.274886,0,1,1,0
0.319577,-0.134625,0.164677,0.828342,-0.688478,-0.451600,-0.005267,0,0,0,0
-0.425097,0.301510,0.043050,0.466746,0.582588,-0.343516,-0.498160,0,0,0,1
-1.142862,-0.241219,1.203052,-0.436954,0.720419,-0.626977,-1.232780,1,0,0,0
-0.026646,-0.819282,0.118718,-0.285474,-2.329947,0.210900,-0.585750,0,0,1,0
-0.280770,-0.901089,-0.390490,-0.018503,-0.819811,0.220386,-0.424312,0,0,0,1
-0.981243,-4.506478,-0.015401,1.338126,-1.641674,0.021552,-1.447289,0,1,0,0
-1.376661,-0.090988,0.981707,-1.372080,0.558761,0.156555,-0.397664,0,0,0,0
-1.369024,-0.049842,0.388010,-1.206477,0.864655,-0.118696,-0.103599,0,1,0,1
0.148097,0.466393,0.400077,-1.423443,-0.715210,0.054789,-0.331896,0,0,0,0
-0.581984,1.058303,0.239947,-0.800132,1.073250,-0.689972,-0.423574,0,0,1,0
-0.399119,-1.373585,-0.278652,-1.616456,-0.192664,0.098606,-1.292880,1,0,0,0
-0.267826,-0.939231,0.967249,-0.374548,-0.991884,-0.464897,-0.398691,0,1,0,0
-0.484723,-1.378282,0.425642,0.562180,0.013596,-0.632336,0.178471,0,0,1,0
-0.576568,-1.865712,0.599851,0.118277,-0.318764,-0.022855,-0.293426,0,0,0,1
-0.450326,-1.764440,0.189538,-0.406036,-0.796852,0.649566,-0.847701,0,0,0,0
-2.851702,-0.949800,2.653524,-1.148011,0.807466,-0.645826,-1.534937,0,0,1,1
-0.361756,0.973156,-0.147076,-0.054450,0.559109,-0.205919,-0.733574,0,0,0,0
-0.805697,1.348396,0.213699,-0.415207,1.493739,-0.658068,-0.866665,1,0,0,0
-1.078161,1.713460,0.444944,-1.598660,1.864279,-0.127098,-0.938381,0,1,0,0
-0.483140,-0.189081,0.437122,1.030522,0.994122,-0.266510,-0.476274,0,0,1,0
-0.694204,-0.819975,1.297414,-1.126425,-2.603639,-0.277768,-0.066627,1,0,0,0
-0.609632,-2.019568,0.196887,2.484395,0.571409,0.125184,-0.188284,0,1,0,0
-1.395620,-0.284520,0.086109,-0.133899,2.665553,0.066358,-0.461579,0,0,0,1
-0.488102,-1.285908,0.099099,-0.489944,-0.993768,-0.221250,-0.336912,1,1,0,0
-0.298244,0.747669,0.576124,0.421995,-0.255459,-0.147092,-0.515602,0,0,1,0
-0.141140,-0.953931,1.512167,0.034148,0.036246,-0.275164,-0.577245,0,0,0,1
-0.078579,-0.145509,-0.269269,0.090869,-1.092665,-0.406941,-0.376654,0,1,0,0
-0.188647,-1.230341,0.047639,0.051293,-1.307175,-0.295205,-0.325929,1,0,0,0
-0.479427,-1.413516,-0.423078,0.319874,-1.457593,0.166785,-0.473103,0,0,1,0
-0.803942,-1.859131,-0.212492,0.218142,-1.557598,0.103990,-0.921961,0,1,0,0
-2.488819,-0.135403,2.796635,-0.053718,2.949986,-0.746810,-1.132041,0,0,0,0
-3.122436,-1.257482,3.543912,0.288442,2.701343,-0.519339,-1.479200,0,1,1,0
-0.252537,-0.019531,0.844243,0.122628,0.816862,-0.054331,-0.575242,0,0,0,0
-0.943598,1.472421,0.666961,-0.649297,1.484955,-0.257728,-0.657030,1,0,0,0
-0.859466,0.572823,1.403575,-0.252790,0.239186,-0.137734,-1.001158,0,0,0,1
-0.440954,0.304592,0.632495,0.078703,0.866817,-0.013663,-0.440923,0,1,0,0
-0.220549,-1.542759,0.113659,-1.052244,-1.686759,0.811338,-0.202494,0,0,0,1
-0.558724,-2.223546,1.084240,1.560293,-0.150760,3.928617,-0.687555,0,0,1,0
-0.868194,-0.808875,1.333256,0.978054,-0.216370,-0.086699,-0.570369,0,1,0,0
-0.919925,-1.524884,0.403486,3.333869,2.130982,-0.229490,-0.279147,1,0,0,1
-0.484118,0.072643,0.644574,0.191732,1.047602,-0.252933,-0.689139,0,0,1,0
-0.711631,1.141179,1.194641,-0.178305,1.405084,0.241079,-0.229319,0,0,0,1
-1.190749,0.425395,2.003847,-0.631036,-0.281986,-0.268559,-0.696013,0,1,0,0
-1.074050,-0.772931,2.304132,-0.371803,-1.010184,-0.372291,-0.664864,1,0,0,0
-1.523914,-0.621831,2.305843,-0.487048,-0.782736,0.325366,-0.567323,0,0,1,0
-0.909274,-0.746655,1.426000,-1.326870,-2.334022,1.435667,-0.603362,1,0,0,0
-1.193299,-0.114725,1.818986,0.390726,-1.742679,0.303662,-0.308609,0,0,0,0
-1.198398,-0.746962,1.690467,-0.002711,-2.660489,-0.214932,-0.676044,0,1,1,0
-0.475698,0.772500,0.595663,0.110414,1.465053,-0.058839,-0.319786,0,0,0,0
-0.961109,1.043980,0.558453,0.512312,1.433540,-0.401483,-0.496537,0,0,0,1
-1.291480,1.237285,1.029168,-0.668104,1.757156,-0.278518,-0.537764,0,0,1,0
-0.194981,0.356049,0.574349,0.219698,0.343209,-0.028817,-0.702744,1,0,0,0
-0.632610,0.048511,0.220864,-1.154285,-1.080154,0.406521,-0.652840,0,1,0,0
-0.518010,-0.917458,0.229452,-1.594127,-1.878200,0.209883,-0.445125,0,0,1,0
-1.269139,-3.465088,2.574056,2.416973,-3.070732,1.792335,-1.089795,0,1,0,0
-0.548491,-2.425014,0.288426,1.424852,2.275277,-0.204637,-0.529916,1,0,0,1
-0.037583,-0.073454,0.268534,0.214023,1.110091,-0.087175,-0.039646,0,0,0,0
-0.658058,-0.463418,1.241122,0.672525,0.888698,-0.517237,-0.237086,0,0,1,0
-0.873244,-0.134536,0.835003,-0.441788,0.868651,0.012872,0.051238,1,0,0,0
