subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-205.574738,174.841568,-58.539574,30.998468,50.887489,7.748560,1,0,0,1
1,-82.685455,134.132675,-62.421211,62.123024,37.101192,1.054254,0,0,0,0
2,-142.579422,174.441223,-77.562576,56.396507,47.323956,0.493119,0,1,0,0
3,-142.490036,164.034454,-58.019142,52.655411,48.228542,0.502492,0,0,1,0
4,-192.622375,185.619156,-45.579735,50.679974,61.834629,1.109707,1,0,0,1
5,-96.992012,125.700562,-43.100632,55.000736,36.525936,0.924556,0,0,0,0
6,-144.167740,170.125946,-58.821358,64.830673,53.086983,0.822025,0,1,0,0
7,-132.362396,157.649353,-65.882233,58.332436,40.724075,1.443103,0,0,0,0
8,-149.655502,156.269775,-102.980850,43.088768,42.830448,1.025382,0,0,1,1
9,-100.010498,122.158981,-53.828354,48.131844,29.220234,1.217854,0,0,0,0
10,-143.964508,165.698837,-71.136185,45.938164,49.000954,0.825051,1,0,0,0
11,-133.264145,160.873657,-81.019005,56.265976,47.861286,0.916532,0,0,0,0
12,-153.614258,163.018417,-94.121742,51.623138,59.707283,0.538769,0,1,0,1
13,-94.716484,109.521912,-29.131680,64.623566,44.290260,0.788876,0,0,0,0
14,-141.248810,169.936768,-60.126190,52.835464,45.934296,0.511816,0,0,1,0
15,-125.865631,159.547028,-77.460899,47.223969,44.501392,1.105078,0,0,0,0
16,-141.505722,167.668213,-95.751907,47.506767,50.254768,0.633467,1,1,0,0
17,-91.724747,117.253067,-47.805279,50.516319,26.950813,0.886805,0,0,0,0
18,-145.579346,170.935211,-62.587151,54.125618,44.965706,1.085418,0,0,1,0
19,-145.830093,165.876709,-55.529472,51.615555,50.922417,0.548282,0,0,0,0
20,-207.016556,121.957298,3.509478,62.134247,30.973837,0.550068,1,0,0,1
21,-125.062370,151.954056,-71.373734,52.304588,46.169197,1.385243,0,0,0,0
22,-156.433777,160.623810,-97.522247,48.988304,59.049244,0.810337,0,1,0,0
23,-143.793655,159.890411,-63.574150,44.269779,45.960178,0.773786,0,0,0,0
24,-284.900513,172.806061,11.595789,27.181534,61.119980,0.425211,1,0,1,0
25,-97.122223,121.864990,-21.052227,56.293480,33.072876,1.372202,0,0,0,0
26,-217.458481,144.256683,-24.729868,60.654297,59.756439,0.487012,0,0,0,1
27,-76.748024,87.675621,-67.350731,61.125206,9.383646,1.776598,0,0,0,0
28,-97.891022,83.479935,-64.115852,61.182587,1.581146,0.842083,1,1,0,0
29,-53.025322,122.191933,-51.815956,84.090088,10.816183,0.437372,0,0,0,0
30,-103.778809,137.175690,-69.253830,83.204941,23.811825,0.705473,0,0,1,0
31,-110.278572,149.177063,-81.615112,67.159592,28.566353,1.014159,0,0,0,0
32,-135.355270,157.086609,-85.791733,56.591362,34.688141,0.959923,1,0,0,1
33,-65.149109,132.493561,-61.961517,87.834862,12.510151,0.708456,0,0,0,0
34,-102.267029,143.096130,-66.557648,83.495819,22.282803,1.025278,0,0,1,0
35,-112.297348,147.588867,-61.793434,75.291473,19.030693,0.779387,0,1,0,0
36,-138.959213,135.354065,-53.210358,76.650848,18.330070,0.870821,0,0,1,1
37,-67.933296,136.356812,-51.436176,94.705833,5.526964,0.770916,0,0,0,0
38,-96.873993,141.652084,-63.709503,82.103088,18.680321,1.020579,1,0,0,0
39,-103.276840,139.246674,-79.294891,72.494438,22.564571,1.070065,0,0,1,0
40,-106.141022,137.685211,-83.492599,65.934296,21.455297,0.572812,1,1,0,0
41,-86.252350,135.327682,-65.489944,79.132751,19.185839,0.714113,0,0,0,0
42,-111.614845,144.607300,-67.507736,72.119270,17.797171,0.848403,0,0,0,1
43,-108.298294,137.707489,-79.784325,70.224228,20.007030,0.853402,0,0,1,0
44,-112.966751,132.296814,-84.270432,66.455109,13.053490,0.778387,1,1,0,0
45,-69.592346,98.617905,-43.241379,61.047848,3.621992,0.522875,0,0,0,0
46,-75.964119,104.386856,-37.562290,58.660522,4.400893,1.093271,1,0,0,1
47,-15.693770,106.442017,-67.941185,72.541550,9.205231,0.747964,0,0,0,0
48,-45.099590,108.650238,-65.947975,75.038803,-5.350116,0.800766,0,0,0,0
49,-97.061615,148.305237,-71.453705,71.049583,22.042553,0.564161,0,0,0,0
50,-126.147156,165.866684,-69.162231,64.722473,24.761662,0.792097,0,0,1,0
51,-149.471085,170.373566,-73.233383,61.365784,49.259197,0.854216,0,0,0,0
52,-199.208176,179.887360,-41.144413,44.739017,53.581612,0.465557,0,1,0,0
53,-140.975586,165.191620,-99.171890,54.155346,55.678780,1.314340,0,0,0,0
