subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-149.414032,145.903656,9.160092,49.836590,-14.262859,1.279909,0.183078,14.658859,12.858377,9.182711,17.889012,20.605208,15.581091,0.025391,1,1,1,0
1,-34.313461,149.582977,-62.216881,74.226334,5.536076,1.327786,0.308948,15.021389,12.585460,14.051763,19.008679,19.883945,14.494761,0.067383,0,0,0,0
2,-29.821270,158.686813,-55.544346,74.411789,-3.356024,0.733472,0.332009,19.018380,6.119091,11.876968,21.031796,20.957067,17.373250,0.063477,0,0,0,1
3,-10.069624,146.277756,-48.082199,71.862854,-6.595525,0.841400,0.361045,26.212133,6.191610,14.952977,19.370106,15.551372,17.691711,0.061035,0,0,0,0
4,-35.379368,163.703934,-46.766174,71.136429,-8.286426,0.482091,0.359505,14.120138,7.922722,15.152929,11.766039,20.606559,12.623657,0.039062,1,1,1,0
5,-66.838417,173.191406,-61.191025,52.786949,-5.195478,0.564724,0.269334,12.177348,9.530845,13.774047,12.076430,19.360237,16.454729,0.052246,0,0,0,0
6,-77.871094,195.129547,-50.807693,54.396732,13.493731,0.769267,0.334428,13.555129,9.457367,15.852395,21.127269,21.356951,13.625238,0.035156,1,0,0,0
7,-28.227491,147.217331,-51.760033,59.347069,-8.329311,0.813648,0.296693,17.784774,10.302358,14.853570,16.300888,21.801653,14.630499,0.071289,0,0,0,1
8,-46.664665,154.168091,-41.495289,48.019096,0.072614,0.870399,0.310738,20.490043,9.263616,17.421069,17.508767,16.341153,12.512848,0.041016,0,1,0,0
9,-102.827095,204.680206,-47.894516,46.965321,20.008850,0.825545,0.320805,12.812426,13.917572,21.575275,15.524412,13.452669,17.459383,0.026367,0,0,1,1
10,-85.417221,178.095642,-51.868198,49.714668,0.098164,0.813252,0.286341,22.351305,9.713970,19.673009,16.543179,16.042864,15.378190,0.033203,0,1,0,0
11,-28.165138,146.178513,-49.426079,62.062019,-0.783004,0.918829,0.318474,17.360770,13.389902,21.171336,16.723513,23.562516,18.443449,0.055176,0,0,0,0
12,-51.200977,167.003510,-45.374001,48.398491,-6.615834,1.262764,0.318956,22.640860,15.319001,19.034544,14.716899,17.546372,16.243957,0.038086,1,0,1,1
13,-81.016602,180.648804,-54.603031,48.336052,5.665195,0.638753,0.283613,13.421403,10.538783,19.919989,11.863480,18.149077,13.935047,0.037598,0,0,0,0
14,-121.604744,206.742706,-51.193775,29.671270,36.635880,0.554372,0.274139,15.202952,10.383516,18.101192,18.269641,14.694518,20.737416,0.035645,0,0,1,0
15,-39.236137,135.070129,-30.326546,62.441360,-6.060274,0.828468,0.323935,14.635615,11.701071,21.427225,17.020070,16.710864,16.327374,0.044922,0,0,0,0
16,-57.601360,163.775635,-35.741821,56.406311,-5.791789,0.698034,0.294974,15.868017,8.045566,10.774212,15.370728,14.914922,18.993666,0.035645,1,0,0,1
17,-78.923592,190.071381,-61.516083,38.130386,19.117302,0.838256,0.278451,15.960619,14.518599,20.578635,13.233512,19.461961,20.020403,0.048828,0,0,0,0
18,-115.097656,205.513306,-58.666157,31.584045,33.633503,0.508694,0.276825,23.607996,14.873306,15.975059,16.227020,18.797395,20.271855,0.040039,0,0,1,0
19,-28.594957,141.857620,-51.099861,63.402687,-12.002604,0.705068,0.331918,19.308631,6.700759,19.484476,18.009964,20.855557,15.666314,0.072754,0,0,0,0
20,-23.733080,146.039551,-38.756046,56.906433,-3.256941,0.866296,0.326170,20.204866,6.286577,16.214188,14.922833,17.604436,19.348780,0.058594,1,1,0,1
21,-70.697731,174.648590,-52.839394,68.487762,4.571322,0.860828,0.312889,12.351178,10.026736,13.346849,16.467035,16.967181,15.511549,0.037598,0,0,0,0
22,-117.500969,209.830475,-47.008049,35.198158,32.725735,0.570239,0.279425,15.524696,11.098785,19.372613,14.832201,16.121856,19.080489,0.029297,1,0,0,0
23,-37.564793,142.989838,-59.106758,56.212341,-8.708914,0.614775,0.319492,16.528326,9.894017,22.343675,18.168165,21.399414,16.958381,0.060547,0,0,0,1
24,-44.449711,170.972290,-42.835842,50.481079,-3.246110,0.754622,0.345877,20.589725,9.084557,20.532239,15.459802,18.470637,20.243249,0.047852,0,1,0,0
25,-128.317810,226.351044,-45.962090,15.563440,41.345333,0.651240,0.272455,14.593809,8.808391,17.280427,11.261433,17.321712,23.417166,0.031738,0,0,1,1
26,-83.624657,183.700073,-37.444305,44.562294,2.701562,0.549349,0.279620,22.024594,11.382047,15.865858,15.860560,20.309173,18.163901,0.041504,0,1,0,0
27,-29.720396,142.724274,-57.531837,53.873947,2.707754,0.621340,0.329952,12.928279,12.970368,17.891640,18.204377,19.049015,20.480322,0.058594,0,0,0,0
28,-76.631584,164.397186,-50.710243,40.584145,2.565968,0.503281,0.310238,14.858312,14.801490,21.924408,15.065694,17.934187,16.839800,0.033691,1,0,1,1
29,-82.416748,172.333008,-52.307083,53.895500,3.670125,0.667322,0.266001,13.732139,14.862595,17.136128,11.696557,21.698657,14.830396,0.036621,0,0,0,0
30,-124.274986,205.948578,-43.552284,19.830456,20.428627,0.945759,0.269572,16.964018,20.077382,18.458649,14.956315,19.213867,17.249018,0.033203,0,0,1,0
31,-45.536674,136.363525,-37.628620,47.874619,-14.292969,0.957835,0.288297,14.866121,11.435312,20.095351,14.255596,14.059796,17.272311,0.062500,0,0,0,0
32,-74.989433,168.913452,-40.116539,47.889870,-10.124716,0.898351,0.261932,13.605448,15.664359,10.946702,15.337722,18.794528,17.568779,0.039551,1,0,0,1
33,-84.997551,187.056305,-49.830627,35.965321,11.709475,1.008363,0.268623,15.680359,9.732846,15.619634,13.655649,20.582838,23.319652,0.043457,0,0,0,0
34,-108.653999,220.680359,-44.760445,20.529778,25.616287,0.631478,0.314981,23.176828,7.975067,16.924063,18.969897,29.953473,23.932820,0.036133,0,0,1,0
35,-27.087269,144.426666,-47.688774,61.794296,-8.347351,0.756541,0.298216,19.360952,15.243153,11.558428,22.532687,21.982027,20.440675,0.079590,0,0,0,0
36,-54.575939,164.844406,-46.183052,50.460419,-10.326821,0.761095,0.287193,17.869114,6.673923,17.682862,19.217332,21.905455,15.149487,0.059082,1,1,0,1
37,-84.336693,172.472244,-50.059395,60.277687,4.321959,0.634838,0.269929,21.186946,8.464791,18.184394,13.873993,20.254402,14.815793,0.047852,0,0,0,0
38,-117.757874,222.541229,-53.198891,10.858635,31.160192,0.703015,0.262419,16.001304,8.057516,16.872725,11.850631,20.409347,20.902534,0.039062,1,0,0,0
39,-22.509073,133.298569,-41.973251,63.543175,-5.937140,0.808253,0.336412,18.451394,9.602468,17.625379,20.054639,17.904206,17.129548,0.062012,0,0,0,1
40,-60.906776,158.289001,-41.589905,57.947495,-2.970559,0.772113,0.253173,24.668254,10.973908,15.520861,17.136233,20.944284,14.644800,0.048828,0,1,0,0
41,-112.576691,221.899109,-38.352364,28.324619,27.965187,0.934694,0.379779,12.518027,12.168923,12.132114,12.810732,19.694503,19.688100,0.023926,0,0,1,1
42,-102.565178,193.797882,-47.055489,34.154312,4.647298,0.901158,0.272363,15.807386,10.930878,17.080639,19.518082,16.168503,15.893405,0.035645,0,1,0,0
43,-25.855480,131.795700,-49.914482,56.716312,-12.626364,0.887469,0.272103,17.777877,6.878928,19.650193,14.248327,13.402387,20.218041,0.082031,0,0,0,0
44,-61.761250,168.398132,-49.792568,54.683723,2.240997,0.812860,0.286217,15.247312,5.007965,15.022635,18.148028,23.421697,17.878359,0.052246,1,0,1,1
45,-76.688255,176.720840,-52.277817,47.361954,-7.744294,0.786739,0.285013,18.574149,13.566758,26.147008,13.597117,17.215697,16.915324,0.032715,0,0,0,0
46,-121.235008,212.240265,-51.918381,12.272270,25.663427,0.542412,0.223585,12.258106,10.647625,17.317818,12.442644,20.109554,22.325631,0.034668,0,0,1,0
47,-44.127312,140.542419,-38.492176,52.221714,-24.714100,0.648919,0.272855,25.750790,10.516274,16.047684,16.257450,12.234886,15.640514,0.056641,0,0,0,0
48,-61.782024,170.259369,-39.499588,42.445114,-5.742021,0.824767,0.265356,13.260376,10.417996,18.210296,15.808776,16.864839,12.766649,0.045410,1,0,0,1
49,-102.477760,195.301361,-57.470188,43.852566,31.641953,0.771201,0.247748,12.561978,10.700023,18.412272,18.562800,21.581330,21.586603,0.052734,0,0,0,0
50,-115.379982,216.378632,-53.799164,31.078594,37.778805,0.827331,0.270007,16.696928,8.685363,18.867209,18.539538,28.212100,20.892601,0.048828,0,0,1,0
51,-23.804504,141.041748,-56.209221,66.237656,-13.874701,1.013078,0.286820,12.845764,7.204228,13.925212,13.320987,34.011178,19.723522,0.094238,0,0,0,0
52,-45.060677,159.835907,-42.352146,45.050949,-8.853874,0.703412,0.298277,18.916684,3.990601,15.945654,15.381994,20.118504,16.270940,0.050781,1,1,0,1
53,-81.473541,176.239975,-49.220932,52.961990,-3.767567,0.630086,0.230424,12.344940,12.341924,19.227932,15.852830,23.264007,14.957344,0.046387,0,0,0,0
54,-123.384087,210.873077,-49.478783,22.660530,31.567724,0.858732,0.237566,13.493571,10.907862,17.702207,18.023275,20.440555,21.828517,0.037109,0,0,0,1
55,-24.488441,121.423553,-47.375175,60.292976,-10.693718,0.915728,0.287931,19.552751,9.229790,12.475265,18.292384,22.334541,21.126113,0.098633,1,0,0,0
56,-60.182484,147.222534,-65.489113,63.959534,-1.002382,0.740569,0.302291,13.017478,11.023170,17.940683,19.277469,18.236841,26.001047,0.086426,0,1,0,0
57,-115.969391,206.390686,-61.557182,29.581917,35.304176,0.660743,0.235648,10.395410,10.507958,12.938964,14.581533,18.302958,27.649358,0.074219,1,0,1,0
58,-86.291374,172.617432,-61.821270,45.360352,-0.299941,0.685763,0.207743,21.533875,13.453881,12.395562,21.494878,18.664707,19.038864,0.074707,0,1,0,0
59,-25.465458,126.823288,-53.692074,63.568268,-10.838886,1.384662,0.304265,19.121328,10.445003,9.808251,14.653387,19.145975,22.808226,0.094238,0,0,0,0
60,-27.458096,121.887268,-55.353867,51.894043,-1.104058,0.889718,0.309229,14.074000,9.186114,14.395490,17.330666,21.427997,26.970799,0.082520,1,0,1,1
61,-39.783211,153.032837,-63.562984,61.910847,-4.539824,0.904983,0.294802,10.839742,10.684044,14.899953,25.862042,17.139491,18.120702,0.081543,0,0,0,0
62,-47.363449,148.886414,-75.362640,62.594810,-7.305842,0.865352,0.285701,17.621451,15.558532,15.516161,18.679142,17.298693,20.729100,0.082031,1,1,0,0
63,-47.246010,159.380280,-59.711151,55.970627,-6.031295,0.773048,0.277957,18.719555,8.052880,15.896167,18.967650,19.326320,12.697777,0.063477,0,0,1,1
64,-63.591007,160.964233,-46.104221,57.816811,-6.727371,0.765790,0.274066,21.242225,8.661392,16.959377,12.367606,18.281093,16.225517,0.052246,1,1,0,0
65,-42.422302,150.056824,-55.712311,76.824280,-9.606833,0.956451,0.316864,26.283171,10.007868,16.498128,14.808309,19.400348,18.393758,0.065918,0,0,0,0
66,-28.326609,145.986115,-49.466599,63.191437,-20.003029,0.767286,0.306655,13.112854,14.604490,16.051288,17.439039,21.273676,16.939226,0.071289,0,0,0,1
67,-20.139017,131.678635,-58.391388,58.443813,-21.575806,0.754737,0.303177,15.748251,7.976780,15.801644,16.364667,28.273905,15.428152,0.087891,0,0,0,0
68,-35.194782,150.244629,-61.390133,63.809525,-9.646783,0.688723,0.271470,25.039128,8.608943,17.577255,16.173128,17.922547,16.328128,0.074707,1,1,1,0
69,-73.493530,166.666809,-45.236565,65.904404,-2.533960,0.899143,0.307011,10.323214,9.930625,18.098913,16.349406,16.221779,15.686762,0.038086,0,0,0,0
70,-82.965385,194.570129,-45.962044,42.211807,4.786448,0.834468,0.279511,12.925629,6.124716,13.151453,16.622692,13.987216,20.524196,0.038086,1,0,0,0
71,-35.682877,156.187439,-58.510761,52.240223,-3.637384,0.834262,0.327096,17.530690,17.789430,16.211452,24.270984,18.091653,19.078345,0.054199,0,0,0,1
72,-63.279381,157.208054,-45.060146,44.545959,0.323958,0.650268,0.303551,26.617608,11.955010,17.563076,28.536401,16.728558,18.157322,0.047852,0,0,1,0
73,-117.636551,209.394424,-52.565788,25.411869,27.873741,0.587087,0.261648,16.482675,8.937691,16.628059,18.795935,19.350900,17.586351,0.034668,0,1,0,1
74,-98.626297,186.841492,-51.628998,38.396061,3.548057,0.393845,0.224547,16.146631,10.906788,12.420589,15.019240,17.522153,14.909234,0.030762,0,0,1,0
