mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-142.125351,119.523209,7.003135,40.054810,-27.499485,3.376335,0.191020,1,0,0,1
-106.569138,146.743454,-39.785061,23.033337,-21.994675,2.004696,0.221840,0,1,0,0
-223.365295,190.646912,26.560890,12.513775,-10.635914,0.831592,0.204585,0,0,1,0
-138.713333,152.737198,-17.785210,33.807701,-5.079350,0.756570,0.217856,1,1,0,0
-164.282150,102.203094,-34.864983,55.993599,2.001277,1.292476,0.157035,0,0,0,0
-188.243393,79.357666,-24.670681,70.164719,11.123644,0.708948,0.149238,0,0,0,0
-187.147125,121.970253,18.652449,26.568127,-46.711246,0.664317,0.138571,0,0,0,1
-143.807022,36.004578,-16.459997,61.431618,-32.062527,0.658923,0.051961,0,1,0,0
-214.211578,109.187637,-4.826982,16.348072,-67.201462,1.191540,0.243622,0,0,1,1
-167.303635,168.409576,7.905722,28.603483,-35.732475,0.571812,0.230862,1,0,0,0
-283.428406,221.747238,28.185858,-11.616997,20.040897,0.360444,0.114242,0,0,1,0
-163.051666,155.915619,23.323948,41.634705,-40.663086,0.700736,0.203284,1,0,0,1
-184.420883,148.020081,27.122631,37.506882,-45.703854,0.556093,0.193701,0,0,0,0
-275.692505,138.625275,43.870262,29.387243,-34.896751,0.986975,0.150637,0,0,0,0
-192.608398,71.254669,-42.669788,37.172375,-30.140755,6.395356,0.025986,0,0,0,0
-356.781036,112.072952,27.560732,24.885632,-29.390678,0.332053,0.007847,0,1,0,0
-294.777985,88.218567,44.627544,45.239941,-13.166251,1.767737,0.044406,0,0,1,1
-145.841141,171.321808,-5.585626,29.590124,-40.336708,1.156027,0.219782,0,1,0,0
-153.566589,173.981689,2.514352,25.038580,-27.595924,1.047469,0.205609,1,0,0,0
-172.826767,135.311966,13.386123,36.884155,-23.374826,0.587377,0.111206,0,1,1,0
-140.170609,144.470001,-34.091614,47.093609,-6.998529,1.059363,0.164116,0,0,0,0
-152.215851,110.977112,-38.783100,49.548374,-16.965851,0.504018,0.215334,0,0,0,0
-243.357925,82.634285,0.668211,65.207245,3.149555,0.667598,0.151219,0,0,0,1
-224.727737,84.975555,22.292355,-8.532164,-42.863476,0.710241,0.023908,0,1,0,0
-244.603226,92.615555,-3.028193,24.381374,-51.948025,1.330412,0.123664,1,0,0,1
-179.153137,152.014160,16.186430,17.363865,-26.577724,0.694299,0.164506,0,0,1,0
-289.678772,219.660538,23.385822,-35.183990,-2.933475,0.298472,0.075667,0,0,0,1
-137.737976,141.449615,-24.829109,24.807922,-37.942085,0.555792,0.210035,1,1,0,0
-134.225403,126.312340,-39.442253,50.439377,-17.283897,0.511542,0.139680,0,0,0,0
-254.762207,124.003242,-17.259554,54.630623,6.576817,0.868553,0.070035,0,0,0,0
-187.190704,62.588154,-41.102928,43.152424,-4.434081,6.791149,0.029740,0,0,0,0
-339.887848,119.018021,21.851873,39.920738,-0.789315,0.727690,0.076854,0,1,0,0
-262.455566,146.623444,33.173927,33.905231,-15.549085,0.581211,0.235817,1,0,1,0
-188.892670,161.006332,21.380909,29.452047,-37.236961,0.692072,0.191360,0,1,0,0
-124.535530,117.706528,-8.636268,27.362268,-0.491704,0.453140,0.109733,0,0,0,1
-117.991623,153.179901,-38.599274,28.635815,-21.227432,0.865676,0.218589,1,1,0,0
-144.160141,70.640266,-22.304680,51.082123,-8.679196,2.107983,0.049341,0,0,1,0
-172.606812,107.769577,-50.211380,33.271374,-14.502719,1.467563,0.198722,0,0,0,0
-274.574097,131.059265,-14.734191,15.561224,-3.856138,0.437291,0.095928,0,1,0,0
-227.760666,127.587601,-12.487379,13.043375,-49.357330,0.398856,0.217538,0,0,0,0
-250.031647,111.877716,-35.203423,13.452312,-58.068348,0.831469,0.232425,0,0,1,1
-200.549667,180.635162,16.079840,23.223145,-19.057823,1.131009,0.164107,1,0,0,0
-280.761047,210.683029,34.081818,3.070084,18.704254,0.682288,0.180097,0,0,1,0
-151.636185,119.873123,4.986410,23.384094,-7.324259,0.462896,0.090868,1,0,0,1
-165.704224,165.921814,-12.053149,35.029747,-2.736693,1.294584,0.147824,0,0,0,0
-325.995880,142.561401,28.882675,29.406773,10.177227,0.631305,0.061903,0,0,0,0
-172.556091,50.627377,-45.409412,57.345192,-10.797206,1.496343,0.037983,0,0,0,0
-160.129013,38.329460,-5.616602,57.911369,-19.376087,4.313042,0.064468,0,0,1,0
-179.638977,88.049469,11.964211,36.295021,-33.686378,2.622081,0.162210,1,0,0,1
-193.536469,159.336212,19.258541,37.161236,-35.948418,0.822748,0.190175,0,1,0,0
-218.632538,166.470169,24.159067,41.050453,-20.814329,1.836015,0.164940,1,0,0,0
-203.166702,136.004761,19.646524,30.945932,-21.743631,0.875693,0.079619,0,1,1,0
-149.869339,174.684906,-41.829880,26.354652,-15.997934,0.636810,0.199131,0,0,0,0
-175.577393,-24.461224,29.944317,58.179321,-64.505157,1.384803,0.120141,0,0,1,0
-241.073685,107.496956,-9.973831,32.597076,-18.160717,1.347739,0.167838,0,0,0,1
-216.352829,112.315842,-13.233301,3.177718,-72.725098,0.761938,0.207530,0,0,0,0
-236.326355,86.620132,-22.185806,-2.449478,-70.397911,0.575759,0.237431,1,0,1,0
-199.460129,157.896332,9.805165,20.189243,-45.732834,0.561231,0.231147,0,1,0,0
-178.492584,157.945892,5.591467,18.743931,-38.545738,0.789428,0.227279,1,0,0,0
-174.098511,159.921692,-15.531612,7.372819,-38.657108,1.104470,0.261469,0,0,1,0
-274.604309,199.602173,-4.649062,-30.432302,-7.619725,0.507846,0.311614,0,1,0,0
-287.634094,157.098572,-23.207001,-12.799116,10.779783,0.697619,0.260038,0,0,1,1
-156.826385,97.941513,-47.159309,19.929258,-23.317244,0.734978,0.326375,0,0,0,0
-262.679077,130.446411,-19.403931,-9.104847,-12.207535,1.295210,0.296514,0,0,0,1
-244.788589,135.588501,-56.571125,-15.834350,-3.646856,0.954023,0.168386,1,1,0,0
-94.805939,153.680817,-55.141106,35.370026,-12.906651,1.105478,0.287299,0,0,0,1
-170.288849,200.806381,-22.789799,5.573852,-5.387339,0.509190,0.261456,0,1,1,0
-44.675129,87.855713,-17.453863,49.999718,-30.011795,1.681773,0.259005,1,0,0,1
-122.490936,150.342712,-37.465401,39.600773,-13.153034,0.569341,0.256699,0,1,1,0
-116.719727,148.620422,-59.334396,32.912651,-19.011623,0.795684,0.253316,1,0,0,0
-103.662285,124.471359,-34.213451,14.722034,-41.477806,1.160159,0.164562,0,0,1,1
-109.851707,163.320557,-43.839596,9.879712,-29.322506,0.894166,0.229570,1,1,0,0
-88.369774,128.490723,-71.108925,48.313221,-6.421535,0.698307,0.209989,0,0,0,1
-91.474937,157.291016,-39.538326,34.293777,0.249404,0.643176,0.192512,1,0,0,0
-72.668015,138.698441,-20.313763,27.940189,-7.132429,0.719969,0.189477,0,1,1,0
-97.615044,151.595291,-22.727226,17.906754,-2.002368,0.827859,0.246871,1,0,0,0
-71.409943,144.629608,-44.485382,36.170280,-28.738270,1.359756,0.201236,0,0,1,1
-126.951332,177.329620,-43.696918,15.425838,-17.537800,0.922995,0.189921,0,1,0,0
