mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-4.442614,-5.041485,0.828788,-2.084958,0.696347,-1.603337,-2.427225,1,0,0,0
-2.751877,-2.542588,0.737552,0.780238,1.580253,-0.995241,-2.004720,0,0,0,0
-3.959570,-3.234365,2.367980,-0.371564,2.331161,-0.421868,-2.380705,1,0,0,0
-3.815112,-3.610367,1.611772,-0.138122,1.693951,-1.546465,-2.401296,0,0,0,0
-4.222100,-4.092245,1.934710,-0.613833,2.185713,-1.248280,-2.388427,0,0,1,1
-1.262055,-2.851426,-1.164656,1.378018,0.115073,-1.169730,-2.146556,0,0,0,0
-2.780247,-2.987628,-0.192844,0.270968,1.376411,-0.412537,-2.327353,0,0,0,1
-2.657633,-2.422545,0.682570,0.678208,1.893387,-0.945495,-2.187903,0,0,0,0
-3.964909,-3.274157,2.304221,-0.359765,2.480025,-0.914558,-2.381622,1,0,0,0
-2.744684,-2.516098,1.054994,1.149027,1.694653,-0.902302,-1.931294,0,0,0,0
-3.959995,-3.321037,2.239404,-0.418818,2.101568,-0.412268,-2.377428,1,0,0,0
-3.794620,-3.645233,1.539071,-0.104306,2.105488,-1.305936,-2.399335,0,0,0,0
-4.239544,-4.157530,1.862147,-0.728058,2.092348,-1.200587,-2.406151,0,0,1,1
-1.260527,-2.555244,-0.740251,1.492351,-0.263741,-1.096390,-1.999141,0,0,0,0
-2.641773,-2.724934,-0.188767,-0.093919,1.209996,0.345698,-2.304606,0,0,0,1
-3.506905,-3.320843,1.175680,-0.551281,1.419572,-0.988586,-2.392814,0,0,0,0
-4.232377,-4.170422,1.785097,-0.853020,1.839073,-0.954838,-2.415799,1,0,0,0
-2.713391,-2.642288,1.257727,1.600018,1.720530,-1.032991,-1.917966,0,0,0,0
-4.029365,-3.420137,2.313204,-0.455840,2.337273,-0.657031,-2.373026,1,0,0,0
-3.865165,-3.654299,1.615074,-0.021930,1.905159,-1.250036,-2.397659,0,0,0,0
-3.933753,-3.493466,1.768217,-0.629836,1.826323,-1.307260,-1.949691,0,0,1,1
-1.366998,-2.367168,-0.992646,1.361452,0.391881,-1.155764,-2.045395,0,0,0,0
-2.674615,-2.473936,0.043285,0.109656,1.277397,-0.991441,-2.254932,0,0,0,1
-2.879088,-2.468417,0.874219,0.649573,2.002898,-1.070645,-2.286445,0,0,0,0
-4.044041,-3.520329,2.157650,-0.618539,2.194599,-0.966152,-2.333758,1,0,0,0
-2.983900,-2.652203,1.341971,1.221009,1.882658,-0.935611,-2.215390,0,0,0,0
-3.973495,-3.313525,2.306110,-0.318154,2.399245,-1.206860,-2.389069,1,0,0,0
-3.325326,-3.329016,0.747536,0.266105,1.576159,-1.027162,-2.390751,0,0,0,0
-3.804329,-2.866673,2.395841,-0.449975,1.700365,-0.954715,-2.187211,0,0,1,1
-1.350435,-2.491701,-0.755569,1.454848,0.611384,-1.035643,-2.153712,0,0,0,0
-2.793265,-2.856117,0.085867,0.386777,1.557958,-0.603426,-2.316806,0,0,1,1
-1.678777,-2.965412,-0.715237,1.384541,0.590101,-1.151115,-2.121598,0,0,0,0
-2.568084,-2.054379,0.638318,0.994308,2.323531,1.888896,-2.166595,1,1,0,0
-1.542024,1.132461,1.350022,-0.245627,1.713145,-0.972266,-1.255709,0,0,0,0
-3.048468,-0.116279,3.823908,-0.666523,1.489067,-1.108714,-2.020060,0,0,0,1
-2.274672,0.973549,2.207672,-1.949922,1.298212,-0.763742,-2.052478,0,0,0,0
