subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-315.935852,118.278183,-44.581432,-24.022293,-1.526410,0.432270,0.033736,7.650091,6.190071,10.171197,9.717118,17.359531,16.133226,0.058594,0,1,0,0
1,-211.460358,108.940025,-79.136414,2.486293,-25.442625,0.787109,0.045549,7.772823,9.501835,20.080570,18.052205,19.016485,18.528852,0.095215,0,0,0,0
2,-196.688599,139.088409,-85.416641,-8.239376,-26.307756,0.468211,0.052983,8.435819,20.639579,14.056907,17.484463,17.627087,17.119521,0.086426,0,0,0,0
3,-91.908195,68.925385,-97.085419,8.218401,-53.839703,2.315399,0.116416,14.830611,17.169563,14.331298,14.168513,17.069821,20.228969,0.111816,0,0,0,0
4,-201.580566,149.422623,-85.964890,-16.734049,-19.672901,1.037096,0.056243,12.799689,8.153607,17.391215,14.506998,12.662265,19.772649,0.075684,1,0,0,1
5,-92.333946,96.314468,-70.345230,5.309159,-45.355057,0.791370,0.165700,9.653886,14.483272,25.460253,19.184997,18.900681,26.952304,0.083496,0,0,0,0
6,-85.640930,94.923233,-71.718948,-9.998758,-42.327217,0.998038,0.159372,9.923217,11.645789,25.621142,29.637495,21.832715,27.278643,0.096191,0,0,0,0
7,-83.647232,107.892715,-60.236805,-13.275059,-44.740734,0.925833,0.209791,10.231390,10.845800,26.058707,18.267778,21.669501,26.226852,0.086914,0,0,0,0
8,-93.894363,99.889252,-68.922447,-11.613983,-46.626175,0.565332,0.182655,7.502886,9.745574,16.400306,20.221844,22.582971,27.343281,0.081543,0,1,0,0
9,-54.823067,96.649033,-76.045662,3.718825,-47.397507,1.249107,0.201861,8.979038,17.173897,16.717598,17.621013,21.128485,22.588847,0.097656,0,0,0,0
10,-65.406265,117.461258,-76.000427,5.117237,-50.504494,0.865567,0.185385,7.530164,12.106855,15.442085,15.484854,22.075144,26.894281,0.094238,0,0,0,0
11,-92.235809,131.174377,-69.476097,4.445374,-47.924244,0.692104,0.164155,9.036200,22.226982,14.759331,15.920741,20.792674,26.844663,0.074707,0,0,0,0
12,-118.692116,154.523712,-87.802116,9.850883,-30.752338,0.578598,0.146775,9.444567,12.318632,15.759676,26.764208,18.976601,22.622317,0.070801,0,1,0,0
13,-128.640289,175.068298,-86.892883,1.850554,-25.404600,1.089231,0.145113,11.534808,16.361349,15.363749,13.211386,19.384832,17.938135,0.061523,0,0,0,0
14,-48.242397,104.928795,-63.995918,6.430405,-47.867714,1.449411,0.200131,12.768917,16.017396,22.472262,19.996185,18.936230,25.138820,0.083008,0,0,0,0
15,-47.276550,85.110504,-66.826065,6.466229,-44.546257,4.335801,0.165358,20.025018,13.738348,17.183900,17.306974,15.220986,20.728559,0.099121,0,0,0,0
16,-111.823151,129.436859,-52.327923,-2.651315,-23.729216,1.264306,0.113703,6.407378,8.357397,11.330158,12.700881,18.667998,19.507085,0.091797,1,0,0,1
17,8.104728,99.668106,-37.787560,47.130020,-31.568485,0.878245,0.236655,22.686345,5.332518,13.679836,18.009457,16.647129,16.397126,0.139648,0,0,0,0
18,-8.221058,120.982819,-42.796684,37.776146,-29.667986,0.741269,0.212195,16.531217,5.022841,9.394362,10.562827,18.617110,21.139454,0.109375,0,0,0,0
19,-62.342609,118.680008,-56.927868,28.533369,-30.973568,0.637993,0.128788,10.730967,12.394617,12.323492,10.874684,19.625251,17.905015,0.124023,0,0,0,0
20,-64.954140,106.231827,-43.890110,32.030952,-24.577652,0.856994,0.125575,11.490189,8.908846,9.161282,11.762254,14.786526,18.263869,0.122070,0,1,0,1
21,-18.698742,123.667755,-39.947304,38.510345,-22.245003,0.882898,0.223838,14.898502,13.725042,13.877415,14.957036,14.245954,16.794917,0.096191,0,0,0,0
22,-35.721577,118.046928,-44.050858,32.667633,-26.328960,0.773485,0.165200,14.276977,8.410282,11.445040,15.588159,16.723846,20.855456,0.130371,0,0,0,0
23,-84.675850,136.875793,-67.733780,18.960524,-27.982914,0.609298,0.136537,24.645369,14.058593,16.435558,19.916811,14.625261,19.004423,0.085938,0,0,0,0
24,-99.925606,158.232132,-53.993053,25.450710,-15.925623,0.855938,0.143773,14.768894,13.251438,15.306432,13.589969,12.646100,12.995745,0.058105,1,0,1,0
25,-55.600533,160.333649,-52.275993,32.710770,-13.568419,0.610800,0.186710,18.524119,6.326499,13.911329,15.203684,12.247194,16.797433,0.054688,0,0,0,0
26,-27.155291,119.697296,-42.314201,31.263508,-8.170612,0.812088,0.193596,8.507195,9.603739,14.718179,16.016846,14.643248,22.467398,0.090820,0,0,0,0
27,-27.351435,107.500603,-40.679329,29.687208,-23.035484,2.799510,0.173391,16.310798,13.321015,9.001656,11.416659,19.225409,19.470528,0.111816,0,0,0,0
28,-59.304058,132.434418,-24.009169,29.401699,-7.514225,0.699600,0.189894,24.578891,7.970504,17.011904,13.171697,12.278814,14.712084,0.065430,1,1,0,0
29,-26.644663,139.712555,-37.121357,34.662811,-12.939844,0.732732,0.225429,10.792751,6.424706,12.758617,8.814487,15.355181,20.120030,0.081055,0,0,0,0
30,-52.367603,170.503113,-46.951424,29.111828,-7.913218,0.733006,0.219583,17.238380,8.131476,10.373690,14.692021,11.791986,16.672351,0.058594,0,0,0,0
31,-61.785126,174.847137,-75.914413,30.304619,-11.722765,1.280077,0.220165,27.270282,7.543893,13.314923,8.460371,11.348056,19.842262,0.068848,0,0,0,0
32,-79.202972,179.901993,-71.724686,29.912506,4.075708,0.627654,0.188911,13.266285,11.100250,10.864600,11.168033,11.457198,16.165047,0.056152,0,0,0,1
33,-26.180794,125.214508,-66.396866,34.024899,-23.971111,1.190232,0.212967,14.281889,8.511342,13.978301,18.627113,13.064955,17.741090,0.093750,0,0,0,0
34,-30.205639,129.556168,-55.124931,30.415077,-14.138536,1.034134,0.213170,16.674794,7.242091,14.669674,19.361014,17.736416,21.066897,0.095703,0,0,0,0
35,-51.505074,136.389587,-62.117302,37.647018,-14.624569,1.321952,0.187983,12.428076,11.287950,10.209162,16.984090,14.973988,22.511803,0.095215,0,0,0,0
36,-56.577900,137.591141,-45.294209,34.343025,-3.506363,1.065495,0.218381,14.128729,4.961876,9.485002,24.944384,13.278181,20.833775,0.074219,0,0,1,0
37,-37.446892,144.901199,-64.464584,45.380089,-13.085751,1.364636,0.247486,17.719639,9.054545,8.515635,15.196831,14.899279,17.145281,0.074707,0,0,0,0
38,-59.984215,153.052826,-53.761715,42.409378,-10.992347,0.956516,0.193515,10.400361,13.133059,14.638922,14.142413,15.497193,17.466872,0.061523,0,0,0,0
39,-71.562653,165.952347,-58.841843,37.304596,-12.147528,0.892027,0.178750,16.641843,8.191155,12.050293,13.644018,16.756300,15.960645,0.065918,0,0,0,0
40,-101.938545,173.443085,-56.540710,36.869644,-4.133912,0.928697,0.199132,20.014246,6.865980,12.390638,14.458907,13.071023,18.742802,0.034180,0,1,0,0
41,-55.636726,161.153671,-41.826847,31.605171,-7.308294,1.423615,0.217367,12.898126,8.751711,16.803090,14.616935,13.146741,15.838456,0.047363,0,0,0,0
42,-32.578854,144.718994,-54.184441,32.266171,-19.801626,0.798351,0.225551,19.172083,10.358723,13.934549,14.185336,14.357323,19.502352,0.073730,0,0,0,0
43,-21.053289,115.131058,-39.176003,43.524460,-18.811783,2.287879,0.245651,12.820730,12.890135,12.818444,16.341177,13.665541,20.128530,0.069824,0,0,0,0
44,-109.851585,171.401672,-39.543365,30.395332,-4.000790,1.269501,0.189879,17.731529,4.518070,13.140145,15.479743,14.532322,19.001959,0.038574,0,1,0,1
45,-32.466728,137.669846,-44.341599,43.767296,-28.365034,0.526468,0.255291,12.653522,19.770086,10.546619,16.754731,16.879188,18.946081,0.071777,0,0,0,0
46,-73.432564,165.897156,-61.449089,29.857838,-16.279259,0.584960,0.166877,14.207682,7.287960,13.053240,12.275161,14.464717,14.552132,0.057617,0,0,1,0
47,-66.350594,145.876892,-62.774727,35.021156,-18.732792,0.632787,0.174060,13.564792,10.551017,7.891800,15.043813,15.995545,18.678732,0.076660,0,0,0,0
48,-111.391594,150.341248,-41.098763,14.924456,4.720522,0.456159,0.119912,10.264379,11.049342,10.471000,16.493002,13.977670,16.881181,0.067871,1,1,0,0
