subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-495.320435,4.164116,4.148142,4.121597,4.084599,0.000000,1,0,1,1
1,-17.111589,114.214172,-32.598156,45.636276,-10.928492,0.772927,0,1,0,0
2,-65.943115,146.748047,-65.112556,26.562529,1.916719,0.538404,0,1,0,0
3,-70.170395,142.017914,-47.039249,18.463787,-24.227118,0.678023,1,0,0,0
4,-81.670944,143.430725,-46.403881,21.352150,-19.427555,1.297890,0,0,1,0
5,-87.737839,147.237732,-57.445160,20.696756,-6.491352,0.867678,0,0,1,0
6,-21.537729,58.519928,-27.430992,52.766754,-54.755302,1.287958,1,0,0,0
7,-71.757469,158.951294,-48.482826,16.558964,-32.847641,1.011275,1,0,1,1
8,6.089920,128.502762,-22.120201,40.579933,-13.771276,0.993262,0,1,1,1
9,-14.045825,121.560860,-31.896645,33.848648,-13.644947,1.039040,1,0,0,0
10,-66.624298,148.564056,-56.061935,40.184380,-10.068071,0.515867,1,0,0,0
11,-74.818176,156.243774,-45.246319,23.410683,-15.254984,1.098442,0,0,1,0
12,-20.986639,81.105164,-39.848343,26.158165,-22.002710,1.499889,0,1,0,0
13,-81.911987,158.658661,-57.312748,18.682833,-27.368818,0.947921,0,1,0,0
14,-45.792038,147.746338,-46.918198,8.297787,-20.365381,1.197824,0,0,1,1
15,-64.835304,160.256470,-70.695068,14.247839,-31.994713,1.159014,0,0,0,0
16,-65.974075,116.858185,-59.743286,15.631750,-31.480446,0.900531,1,1,1,0
17,3.951311,125.759743,-34.336201,43.038574,-16.973364,0.744888,0,0,0,1
18,-14.414414,135.246216,-51.902016,45.548019,-15.418207,0.822993,0,0,0,1
19,-9.038601,142.912933,-50.147381,38.284180,-1.820100,0.911472,0,1,0,0
20,-1.358477,131.801483,-43.637970,40.371735,-18.847263,1.552970,0,0,1,0
21,-45.161083,166.105087,-66.912720,40.976070,-6.105187,0.547141,0,0,1,0
22,-31.335932,156.750366,-48.483589,35.047413,5.720572,0.817718,0,1,0,0
23,-53.697651,167.660965,-62.116890,44.876076,9.032236,0.753171,0,1,0,0
24,11.548407,110.350838,-34.438305,53.979698,-37.708450,1.405525,0,1,1,1
25,-1.299073,146.306747,-51.225990,32.594028,-21.961958,1.131404,0,0,0,0
26,2.823709,146.666199,-45.655754,41.787315,-16.439539,1.699173,0,0,0,0
27,-14.591921,140.549561,-48.298431,39.407898,-6.836750,0.888725,1,1,0,1
28,-18.333517,123.647751,-53.173111,35.788300,-11.728589,0.959623,1,1,1,0
29,-1.447022,138.275879,-52.123581,28.740295,-15.011265,0.801367,0,0,0,0
30,-27.008078,148.019333,-49.022530,43.429367,-11.719884,0.844792,0,1,1,1
31,5.639107,120.164780,-38.625854,38.942001,-2.711797,0.822118,0,0,0,0
32,-28.150898,130.404938,-41.648491,47.294243,-4.848977,0.672304,1,1,0,1
33,-11.891343,110.646164,-31.034420,30.572441,-10.599073,0.852519,0,0,1,0
34,-57.125671,153.503159,-71.070786,29.525686,3.616507,0.532305,0,0,1,0
35,-84.422569,149.893921,-55.522404,17.837612,-13.571133,0.702505,1,0,0,0
36,-104.388214,160.447205,-59.809410,25.850485,-5.114096,1.077090,0,0,0,1
37,-74.437767,124.574333,-57.037346,37.898956,-27.650379,0.661748,0,0,0,1
38,-73.922089,152.679520,-64.832443,30.072311,-12.744820,0.882831,0,1,0,0
39,-67.003998,160.347992,-53.408001,12.955767,-24.417458,0.746849,0,1,1,1
40,5.659915,138.378937,-15.471114,38.493103,-16.576881,0.935001,1,0,1,1
41,-16.682465,113.009521,-31.120346,34.323307,-8.201172,0.706707,0,1,0,0
42,-64.700768,160.281342,-61.483093,32.429680,-19.105429,0.934694,0,1,0,0
43,-79.985603,140.500275,-52.268387,26.832535,-16.156536,0.539490,1,0,0,0
44,-76.362068,129.862350,-43.392719,32.647514,-29.239277,1.000589,0,0,0,1
45,-61.270378,141.055664,-51.626045,-1.354864,-19.569691,1.004970,0,0,0,1
46,-23.526646,87.519447,-42.943939,40.000748,-48.972389,1.139080,0,1,0,0
47,-62.989689,152.005127,-80.051941,5.140522,-30.962444,1.002317,0,0,0,0
48,-38.309147,77.119995,-41.265244,36.467941,-62.246021,1.046588,1,0,1,1
49,-10.153210,107.740234,-38.395668,31.145840,-9.747076,1.209376,0,1,0,0
50,-20.937490,133.635254,-48.325729,51.194366,-10.198296,0.783053,0,1,0,0
51,-33.889393,152.786255,-52.314636,48.147976,-5.065682,1.084648,0,0,1,0
52,-0.514574,119.802277,-38.050713,47.479057,-10.646228,1.841982,1,0,0,0
53,-31.154995,172.865326,-62.445740,35.406960,-13.620388,1.197741,1,0,0,0
54,-35.966694,168.232513,-50.561707,43.018974,3.630483,0.785912,0,0,1,0
55,-14.434175,111.183418,-29.854834,53.650749,-21.324554,1.199906,0,0,1,0
56,19.127447,99.264633,-26.758974,54.013153,-46.931408,1.172292,1,1,1,0
57,-4.379010,144.707062,-57.251060,39.040161,-19.356834,0.795598,0,0,0,0
58,1.186418,135.638062,-52.519661,30.709850,-13.289806,1.379346,0,0,0,0
59,-10.138504,133.046082,-42.447357,44.760918,-5.738801,0.871467,1,0,1,1
60,-2.968287,135.442627,-46.553276,34.002766,-13.444873,0.912446,0,1,1,1
61,-10.321969,128.120300,-48.959076,33.493477,-19.977747,0.900435,0,0,0,0
62,-15.145268,141.639313,-52.687393,40.519341,-7.311618,0.747347,1,1,1,0
63,1.059508,110.600548,-48.539589,30.901213,-10.022168,0.934374,0,0,0,0
64,-12.008068,136.613861,-39.005993,35.673286,-14.076563,0.862246,1,0,1,1
65,23.417315,99.942253,-17.220276,29.233549,-0.718353,0.970358,0,0,1,0
66,-10.518935,146.924896,-40.632427,29.360970,-12.881182,0.787568,1,1,0,0
67,-23.569647,130.787903,-50.679893,47.695213,-8.780039,0.969468,0,1,0,1
68,-14.800406,151.765839,-47.450779,47.852676,-5.329959,0.835185,0,0,1,1
69,-7.431864,133.758728,-43.211273,40.725449,-5.701969,0.778588,1,0,0,1
70,-17.183519,151.002838,-57.617485,47.739983,-11.847254,1.092901,1,1,0,0
71,-6.021418,151.787628,-42.793686,50.768333,-9.981477,0.823572,1,0,1,0
72,2.690922,139.694473,-44.958359,33.875233,-6.944234,1.042024,1,0,1,1
73,-1.971602,135.910461,-40.031826,34.276302,-17.422880,0.816731,0,0,0,1
74,-52.114063,153.563812,-55.824417,53.342812,-4.157366,0.679472,0,1,1,0
75,-31.936325,137.050812,-52.255241,59.322327,-5.957914,0.567679,1,1,0,0
76,-43.728550,141.490067,-58.432621,56.700554,2.161155,1.022982,1,0,0,1
77,-32.058384,120.632530,-42.399803,43.490074,-8.185116,1.070820,0,0,1,1
78,-45.968498,138.375183,-52.361671,52.238007,-0.496504,0.675097,1,0,0,1
79,-33.397736,123.823898,-46.281273,53.097221,-2.031473,0.728550,0,1,0,0
80,-49.237057,140.047485,-52.981586,60.341705,-4.294828,0.760485,0,1,1,1
81,-23.453114,112.884232,-46.320686,37.252644,-9.662026,0.674852,0,0,0,1
82,-59.673286,150.660400,-62.296883,54.412174,2.765841,0.711486,1,1,0,0
83,-28.741806,132.688263,-53.581390,51.810158,-7.906330,0.924719,0,1,0,1
84,-36.888348,149.203461,-56.780785,49.754730,-9.974973,0.947732,0,0,1,1
