subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
73,-48.099735,169.687363,-34.674587,49.474293,-4.382760,0.771344,1,0,0,0
74,-76.727577,194.320190,-49.143364,50.102005,6.017348,0.749553,0,1,1,1
75,-41.038643,156.229324,-44.060173,62.544037,-17.299255,0.536649,1,0,0,0
76,-31.618048,144.517441,-23.612598,64.016724,-17.071964,0.647087,0,1,0,0
77,-45.176338,152.445007,-24.619663,62.087200,-9.277178,0.952659,1,0,0,1
78,-80.755371,197.711670,-55.452049,48.225292,8.043958,0.738094,0,0,1,0
79,-59.072994,151.848160,-37.934231,55.116570,-2.971220,0.744776,1,1,0,0
80,-70.593002,192.171707,-53.490334,51.720791,6.870081,0.827456,0,0,0,1
81,-40.196667,151.157547,-44.047981,54.867249,-2.881167,0.815728,0,1,1,0
82,-64.395515,197.672897,-58.880882,53.668365,2.314142,0.886720,1,1,0,1
83,-26.960867,153.864441,-47.081829,63.126205,-17.479397,1.026350,0,0,1,1
84,-32.917950,145.389801,-26.649517,63.731037,-18.056353,0.955382,0,1,0,0
85,-45.298538,161.737625,-27.648998,55.216873,-10.420404,0.750879,0,0,1,1
86,-67.679489,186.460327,-56.883240,57.144440,6.820429,0.737335,1,0,1,1
87,8.025568,112.376984,-16.387119,56.850555,-25.940430,1.072561,0,0,0,0
88,-16.193319,124.707550,-24.574303,67.944366,-31.715145,0.745722,0,1,0,1
89,-29.430178,162.161591,-33.885345,57.620243,-15.011766,0.633908,0,0,1,0
90,-46.183331,184.838531,-49.729614,52.479065,3.399226,0.784288,1,1,0,1
91,-19.223101,160.173752,-39.122482,60.146713,-25.113342,0.766785,0,0,1,0
92,-21.721674,146.431091,-29.903494,59.046188,-17.024424,0.465827,0,1,0,0
93,-38.304195,172.583618,-41.409111,54.781040,-4.850142,0.728807,0,0,1,1
94,-67.456604,196.809296,-56.990341,54.066582,5.360129,0.663724,1,0,0,0
95,-35.639866,161.858322,-38.630108,53.136711,-10.771831,0.857620,0,1,0,1
96,-60.690079,190.793701,-55.210068,60.570492,10.205087,0.695224,0,0,1,0
97,-41.048717,166.946747,-35.055969,58.165585,-3.048956,0.466433,1,1,0,0
98,-52.330822,193.871063,-55.576492,51.066750,1.153612,1.014308,1,0,1,1
99,-26.118374,151.397095,-47.244263,66.735672,-16.382797,0.459860,0,1,1,0
100,-36.797180,141.898010,-33.824085,60.083267,-9.699457,0.866125,1,0,0,0
101,-33.465317,154.792480,-36.447411,50.555470,-14.680880,1.045045,0,1,1,0
102,-69.351379,196.169708,-56.288292,51.233879,7.562700,1.051388,1,0,1,1
103,3.759810,116.440819,-23.832573,60.050655,-32.414333,0.994151,0,0,0,0
104,-10.383295,125.345139,-29.445248,68.151886,-31.538027,0.854066,1,0,1,1
105,-4.221091,101.165092,-25.315145,74.150681,-5.194109,1.061221,0,1,0,0
106,-11.146174,119.553070,-36.028275,83.010925,-19.816170,0.977773,1,0,1,1
107,-7.602320,121.390106,-33.864632,72.769882,-19.229334,1.006772,0,1,0,0
108,-22.507286,128.974625,-33.324944,87.325584,-21.069107,1.027056,0,0,1,0
109,-29.866629,138.877014,-42.586617,80.754059,-21.139572,1.054021,1,1,0,0
110,-38.569324,156.018661,-51.971581,76.681671,-18.626453,0.944798,0,0,1,0
111,-29.153303,143.760864,-34.663437,73.368019,-15.714705,0.984048,1,0,0,1
