mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
0.579015,0.893002,0.189465,0.012220,1.719052,3.641151,0.672075,1,0,1,1
-0.562587,-3.017761,2.341466,2.780303,0.390854,0.538241,0.789753,0,0,0,0
-0.979974,-2.323009,1.928161,2.729304,0.439321,-0.833424,0.693794,0,0,0,0
-0.950864,-1.803796,3.174522,1.848531,0.133004,0.230037,0.536969,0,0,0,0
-1.113310,-2.125376,3.341470,2.285600,1.575492,0.374811,0.967591,1,0,0,0
-1.423873,-2.794571,3.077840,2.044847,0.420834,1.325007,-0.896407,0,0,0,0
-1.331487,-0.983363,4.045305,2.368525,0.789835,1.275748,2.024552,0,0,0,0
-1.161089,-1.938811,3.261081,1.644175,-0.752691,0.970048,-1.250633,0,0,0,0
-1.960021,-3.106088,1.819163,1.468913,0.414697,-0.939069,-1.390296,0,0,0,1
-1.575768,-1.520025,3.893133,1.689375,0.251734,0.476407,0.652029,0,0,0,0
-1.830705,-2.089723,3.004537,1.879332,1.041074,-0.840618,0.571898,0,0,0,0
-1.380565,-1.833558,1.925934,1.991228,-0.672085,0.212393,0.532573,0,0,0,0
-2.231852,-2.845072,2.123873,1.764327,0.856494,0.464666,0.209766,1,0,0,0
-1.736612,-2.353683,2.729415,1.338130,0.833283,0.400878,-0.107625,0,0,0,0
-2.049368,-2.976082,2.208200,0.950822,0.249743,-0.588769,-0.753004,0,0,0,0
-1.694365,-2.738871,2.032237,1.848906,-0.194455,-0.477945,-1.135715,0,0,0,0
-2.343585,-3.408841,0.937173,0.377013,-0.811216,0.497111,-2.752718,1,0,0,0
-2.372053,-3.304365,0.577958,0.058293,-0.940807,-0.319681,-2.800311,0,0,1,0
-2.284929,-2.823098,0.753748,0.524986,0.354243,-0.320912,-2.814334,0,0,0,1
-2.394989,-3.044084,0.487258,0.258619,-1.164333,-0.773477,-2.908867,0,1,0,0
-2.096103,-2.906764,1.161656,0.699679,-1.015533,0.527205,-2.677146,0,0,1,0
-2.471174,-2.560967,0.977734,0.327312,-0.998033,0.122462,-2.965168,1,0,0,0
-1.712078,-2.017901,0.977319,0.198324,-1.038132,0.182468,-2.704002,0,0,0,1
-1.704858,-2.216087,0.965203,0.737755,-1.462935,0.459061,-2.694750,0,1,0,0
-1.503447,-1.623179,0.436116,0.263317,-0.601131,0.120353,-2.569480,0,0,1,0
-1.045943,-1.477300,0.890060,0.604914,-2.697272,0.549944,-1.940995,0,0,0,1
-0.737209,-1.838440,0.260694,-0.048018,-1.971475,0.860371,-1.865047,0,1,0,0
-0.939317,-1.090755,-0.316803,0.449171,-1.451463,-0.777797,-1.818668,1,0,0,0
-0.915565,-1.546184,0.923043,0.592713,-0.700435,0.202107,-2.259319,0,0,0,1
-0.246540,-1.799261,0.451160,1.490648,-1.572229,0.559220,-1.895253,0,0,1,0
-0.195662,-2.701403,-0.401832,1.211532,-2.247089,0.700830,-1.831439,0,1,0,0
-0.605158,-2.457015,0.187172,2.243755,-0.665903,1.130386,-1.183193,1,0,0,0
0.434728,-0.809053,-0.850125,1.177220,0.511934,1.134819,0.089709,0,1,1,1
0.477792,-1.790328,-0.045100,1.518278,-0.415017,-0.161772,0.576313,1,0,0,0
0.389259,-0.931274,0.901124,1.442748,-1.156046,-0.316199,0.666945,0,0,0,1
0.727187,-0.163676,1.080452,0.290934,-2.019319,0.142924,0.468766,0,1,0,0
-0.025245,-1.013398,0.542737,0.706813,-0.561469,-0.381628,0.255549,1,0,1,0
0.207201,-1.149557,0.038612,0.138644,-1.630630,-0.170030,-1.352969,0,0,0,1
0.311128,-0.215575,0.675752,0.103955,-1.912466,-0.044775,-1.165389,0,1,0,0
0.750481,0.109278,1.150693,-0.020177,-0.813858,-0.308796,-0.372003,1,0,0,0
-0.349876,-1.075656,0.250131,0.123681,0.013155,-1.214123,-1.077767,0,0,1,1
-0.576043,-0.577354,0.462322,-0.916886,-0.342315,0.121282,-1.503831,0,1,0,0
-0.117526,0.656749,0.457938,-0.952757,-0.516826,-0.548446,-1.299297,0,0,0,1
0.649035,0.889830,0.627985,-1.202705,-0.741794,0.168609,-0.587857,0,0,1,0
-0.801686,-1.156037,-0.207317,-0.628941,-1.078914,-1.317567,-1.789668,1,1,0,0
-0.917078,0.242496,0.572857,-0.729630,-0.626973,-1.234529,-1.630977,0,0,1,0
-0.263380,0.898094,1.063947,-0.427094,-0.457272,-0.372071,-1.462312,0,0,0,1
0.481279,0.853027,0.421740,-1.310551,-1.461595,-0.015479,-0.773494,0,1,0,0
-1.085714,-1.112814,-0.853525,-0.162960,-0.307469,-1.228888,-2.066448,1,0,1,0
-1.073163,0.397769,-0.397340,-1.376246,0.607956,-0.541367,-1.701734,0,0,0,1
-1.133476,0.191257,-0.512284,-1.934564,-0.421486,-0.924826,-1.488977,0,1,0,0
0.359317,0.702027,0.807408,-1.185621,0.027619,-0.706494,-0.896934,1,0,0,0
-1.081042,-0.974510,-0.487192,-0.347595,0.201313,-1.772252,-1.533779,0,0,1,1
-1.572551,-0.113575,0.349107,-1.154443,0.440990,-1.598257,-1.609414,1,0,0,0
-1.142022,0.740438,0.345600,-0.695551,0.701233,-0.087662,-1.329539,0,1,0,0
0.278090,0.618833,0.417575,-0.638721,0.352983,-0.127788,-0.630636,0,0,1,0
-1.106514,-1.307681,-1.103619,-0.064349,0.590399,-0.395959,-1.619314,1,0,0,1
-1.137528,-0.027335,0.909531,-1.025670,-0.252776,-1.408443,-2.025083,0,1,0,0
-0.694521,0.212325,-0.087334,-1.384907,-0.153283,0.271693,-1.367637,0,0,0,1
0.304202,0.760884,0.092453,-1.202777,-0.235944,-0.176372,-0.612161,0,0,1,0
-1.111472,-1.452471,-0.785979,0.042673,0.310889,-0.868004,-1.604450,1,1,0,0
-1.549568,0.015524,0.024694,-0.904420,0.260304,-1.480178,-1.906533,0,0,1,0
-1.022010,0.486395,-0.583292,-2.279139,-0.263255,-0.926664,-1.428765,0,0,0,1
0.268812,0.642973,0.587071,-0.738544,-0.838315,-0.058027,-0.829829,0,1,0,0
-1.452170,-0.426422,-0.395501,-0.095469,-1.119527,-1.504461,-1.786655,1,0,1,0
-1.650867,0.160293,0.356690,-1.247582,-0.332312,-1.007264,-1.887083,0,0,0,1
-1.222839,1.491247,0.581622,-1.039847,0.666563,-1.138334,-1.487359,1,0,0,0
0.266955,0.943717,0.746383,-0.989043,-0.890458,-0.771771,-0.861039,0,1,0,0
-1.405560,-1.416103,-0.533440,0.044772,-0.406147,-1.017956,-1.853139,0,0,1,1
-1.709679,-0.011793,1.478595,-0.764559,-1.284505,-1.371597,-1.431850,0,1,0,0
-0.828410,0.939534,1.202616,-0.977100,-0.019584,-0.138507,-1.346844,1,0,0,0
0.309165,0.673008,0.203349,-1.611241,-2.029794,-0.299834,-0.971121,0,0,1,0
-1.254034,-1.691254,-0.514916,0.099652,-0.141757,-0.769695,-2.253022,0,1,0,1
-1.709353,0.387167,0.994593,-1.420968,-0.070503,-1.267681,-2.092922,1,0,0,0
-1.193639,0.837599,0.664502,-1.555708,0.253939,-1.175427,-1.911979,0,0,0,1
0.194095,0.650483,0.028101,-1.543676,-0.671789,0.657946,-0.932245,0,0,1,0
-1.433650,-1.609201,-0.371386,0.037114,0.461122,-1.985334,-1.628819,1,1,0,0
-1.494962,0.646858,1.380274,-0.755675,0.139589,-1.519488,-1.435909,0,0,1,0
-1.363922,1.187655,0.746887,-0.760181,-0.118808,-0.753588,-1.564943,0,0,0,1
0.412486,0.797550,-0.007501,-1.441238,-0.970928,-0.642820,-0.554552,0,1,0,0
-1.430224,-0.876857,-0.898890,0.067939,0.120685,-1.428208,-1.998764,1,0,1,0
-1.388437,0.505995,1.299907,-0.856385,0.612873,-1.236641,-1.375816,0,0,0,1
-0.753097,0.712920,0.248670,-1.788644,-0.597273,-0.276689,-1.270810,1,0,0,0
0.443133,0.992922,0.141001,-1.602941,-0.474178,-0.703090,-0.648619,0,1,0,0
-1.103765,-1.338986,0.140715,0.052954,0.330124,-1.175376,-2.092381,0,0,1,1
-1.664222,0.528507,1.215546,-0.482153,2.274104,-1.457541,-1.386117,0,1,0,0
-1.277852,1.236842,0.474378,-1.877840,0.233947,-0.675419,-1.377291,1,0,0,0
0.446739,0.662890,0.088860,-1.595649,-0.278213,-0.153636,-0.765783,0,0,1,0
-1.232825,-1.111098,-0.371192,-0.073388,0.947271,-1.002295,-1.655124,0,1,0,1
-1.680082,0.446655,1.892087,-0.132759,1.902197,-1.457713,-1.457668,1,0,0,0
-1.466200,0.686062,0.128512,-1.871551,-0.037896,-0.554145,-1.807359,0,0,0,1
0.275785,0.828001,0.384400,-1.140639,0.091289,-0.304426,-0.717841,0,0,1,0
-1.265003,-1.271217,-0.068293,0.096876,0.116889,-0.838219,-1.998869,1,1,0,0
-1.191298,0.209312,1.291452,-0.320787,2.002976,-0.684225,-1.452221,0,0,1,0
-0.858684,0.901541,0.919320,-1.113406,0.351516,-0.585854,-1.595553,0,0,0,1
0.332988,1.048590,1.186919,-0.970027,-0.591437,-0.882403,-0.838966,0,1,0,0
-1.210759,-1.074085,-1.673556,-0.614681,-0.498796,-1.664401,-1.855196,1,0,1,0
-1.574853,0.791231,0.837277,-0.879303,1.367198,-1.546008,-1.805285,0,0,0,1
-1.184501,1.064975,0.473958,-1.812757,-0.580219,0.644558,-1.377800,1,0,0,0
0.146968,1.110771,1.027778,-1.153793,-1.042902,0.148482,-0.388805,0,1,0,0
-1.326842,-1.100493,-0.374402,0.069964,0.387973,-0.867479,-1.046854,0,0,1,1
-1.411117,0.994393,1.962232,0.246970,1.040958,-1.103412,-0.740378,0,1,0,0
