mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-1.955279,0.800346,2.464826,-1.181558,1.612023,1.298122,-1.050656,1,0,1,1
-0.153109,1.786242,-0.217333,-0.497659,1.421316,0.182059,0.609297,0,0,0,0
0.134357,1.388239,-1.270050,0.072622,1.452026,-0.205947,0.995994,0,1,0,0
0.200705,0.994531,-1.617342,0.470497,1.072087,0.275200,0.325753,0,0,0,0
0.110404,1.113708,-1.022449,0.703813,1.318830,-0.259013,0.093646,0,0,1,0
0.038951,1.060827,-1.413654,0.119161,1.282149,-0.068312,0.078036,0,0,0,0
0.005650,0.846936,-1.304279,0.265798,1.528645,-0.092342,0.465967,1,0,0,1
0.308312,0.554203,-0.753837,0.708442,0.296138,0.485720,-0.228299,0,0,0,0
0.303591,0.128682,-0.617681,0.610440,-0.263487,-0.370175,-0.305666,0,1,1,0
-0.037064,0.240681,-0.684751,0.407659,0.674174,-0.610626,-0.530272,0,0,0,0
-0.126634,0.129074,-0.594953,0.415026,0.389494,-0.913654,-0.848781,0,0,0,0
0.014147,0.232538,-0.911139,0.205045,0.190961,-0.093236,-0.644096,0,0,0,0
-0.149198,-0.120897,-0.331593,0.400649,-0.051427,-0.196577,-0.592259,0,1,1,0
-0.018516,0.884939,-0.381697,-0.167545,0.167961,-0.215554,-0.448331,0,0,0,0
-0.034638,0.597782,-0.631180,-0.270017,0.541020,0.012369,-0.388174,0,0,0,0
-0.075127,0.735244,-0.404397,-0.370175,0.579372,-0.637942,0.163130,0,0,0,0
-0.371644,0.948688,-0.083771,-0.112401,0.418937,-0.556291,-0.423032,1,0,0,1
-0.563246,1.345894,0.002861,-1.028677,0.637006,-0.826753,-0.309645,0,0,0,0
-0.513375,1.286071,0.182544,-0.632042,0.828632,-0.446551,0.048806,0,0,0,0
-0.440855,1.327217,0.130756,-0.567868,0.606584,0.044892,-0.091950,0,0,0,0
-0.432070,1.211340,-0.019649,-0.679605,0.581454,-0.095261,0.020623,0,0,1,0
-0.280282,0.890453,-0.262286,-1.023574,-0.184719,-0.083436,0.151556,0,0,0,0
-0.237371,0.482351,-0.317681,-0.379790,-0.298855,-0.103118,0.388797,0,1,0,0
-0.135237,0.480780,-0.559698,-0.700010,-0.338042,0.125188,-0.214671,0,0,0,0
-0.182216,0.113066,-0.542239,-0.175973,-0.287527,-0.302077,-0.936440,0,0,1,0
-0.337380,1.411336,-0.322187,-0.878945,0.778241,0.215700,-0.735031,0,0,0,0
-0.321069,1.325833,-0.229127,-0.373076,0.814930,-0.313952,-0.450521,0,0,0,0
-0.260881,1.071992,-0.774936,-0.528202,0.859798,-0.819882,-0.514363,0,0,0,0
-0.111199,1.227874,-1.021691,-0.269014,1.035255,-0.045472,-0.231174,1,0,0,0
-0.076153,1.172281,-1.134084,-0.652309,0.619892,-0.320239,-0.658997,0,0,0,0
-0.122001,1.188389,-0.621414,0.291712,1.020483,-0.718394,-0.452793,0,0,0,0
-0.100748,1.463248,-0.876069,-0.349434,1.061891,0.016577,-0.407904,0,0,0,0
-0.263841,1.201317,-1.090217,-0.354731,1.418029,0.219132,-0.665149,0,1,1,1
-0.118228,2.067496,-0.157978,-0.679299,1.499022,0.014068,0.754569,0,0,0,0
0.187624,1.490209,-1.102437,0.223768,1.792601,0.398022,0.515880,1,0,0,0
0.222976,1.098029,-1.172873,1.186355,1.518130,-0.371833,0.154814,0,0,0,0
0.198768,1.261566,-1.018541,0.380034,1.006953,-0.635553,0.177626,0,1,0,0
0.089139,0.734101,-1.403636,0.383907,1.286744,-0.298921,-0.493801,0,0,0,0
-0.020656,0.189719,-1.718627,0.078081,1.164658,0.412655,-0.830703,0,0,1,1
0.146209,0.642092,-0.933108,0.138013,0.760328,-0.386168,-0.173777,0,0,0,0
0.117718,0.500788,-0.487646,0.343601,-0.000245,-0.761181,-0.054264,1,1,0,0
0.176055,0.355427,-0.802841,0.234532,0.539273,0.443428,-0.385489,0,0,0,0
0.270733,0.029546,-0.683265,0.267506,-0.337151,0.124077,-0.511190,0,0,0,0
0.388043,0.279069,-0.444028,0.270242,0.108940,0.187566,0.341755,0,0,0,0
0.317319,0.257274,-0.432233,0.424580,-0.023155,-0.491515,-0.044037,1,1,0,0
-0.027793,0.153012,-0.882642,0.139213,0.558689,-0.231746,-0.718676,0,0,0,0
0.084523,0.347778,-0.669826,-0.321921,-0.020235,-0.202368,-0.524256,0,0,0,0
0.030365,0.347010,-0.527223,-0.450433,-0.483756,-0.056649,-0.353959,0,0,0,0
