subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-478.911194,37.337006,-0.087455,-14.953371,-12.179886,1.176142,1,0,0,1
1,-334.536743,158.829254,32.190090,-0.942816,-4.875666,0.427534,0,0,0,0
2,-346.624268,157.882294,39.665413,14.024613,10.376514,0.491282,0,0,0,0
3,-345.152679,158.233582,27.337936,-0.663442,6.494360,0.622378,0,0,0,0
4,-335.660126,167.032471,27.725113,-2.985386,8.533407,0.777661,0,0,1,0
5,-299.806305,187.881134,22.648527,-0.348512,15.090736,0.559741,0,0,0,0
6,-315.314087,175.984268,23.904484,1.447304,12.309858,0.396328,0,0,0,0
7,-322.197632,171.171295,20.184055,-1.418307,15.844694,0.786378,0,0,0,0
8,-324.781555,179.350769,34.472645,1.490286,13.862939,0.748697,0,1,0,1
9,-284.107025,187.739258,9.632697,-5.496388,6.976159,0.461621,0,0,0,0
10,-305.720490,179.171326,25.151222,7.511992,10.454470,0.666541,0,0,0,0
11,-318.467621,180.442657,26.754560,-3.214769,13.951382,0.539631,0,0,0,0
12,-306.101349,186.043610,24.750626,3.536440,16.719385,0.943363,0,0,1,0
13,-301.384766,185.109619,19.027859,-6.169551,7.320534,0.437584,0,0,0,0
14,-313.207733,184.206451,29.150665,0.660731,13.989113,0.876808,0,0,0,0
15,-320.091888,183.771774,34.353912,-3.230627,6.696298,0.764874,0,0,0,0
16,-335.529694,173.550552,35.460625,-1.854268,9.971300,0.592922,1,0,1,0
17,-262.112274,196.011871,1.843973,-8.709820,5.374379,0.510905,0,0,0,0
18,-279.086304,196.958359,5.882802,-10.817105,0.414086,0.628535,0,0,0,0
19,-288.072327,196.864685,19.253345,-6.203119,-1.351367,0.751429,0,0,0,0
20,-300.444427,192.361084,22.048687,-13.192867,-7.154789,0.893546,0,1,0,0
21,-288.915985,187.990326,22.188725,-3.435869,-1.915328,0.477292,0,0,0,0
22,-297.371246,189.518784,19.332470,-8.865664,-2.248212,1.044436,0,0,1,0
23,-289.202606,197.019806,17.271280,-17.229038,-0.467845,0.508631,0,0,0,0
24,-305.725006,189.624817,29.601952,-9.883572,2.231210,0.650480,1,0,0,1
25,-273.543243,192.935974,10.876797,-20.787491,1.147884,0.523169,0,0,0,0
26,-279.871735,190.571533,2.660244,-10.761166,4.100405,0.802437,0,0,0,0
27,-283.328400,198.980286,8.573213,-15.609747,7.119878,0.558070,0,0,0,0
28,-299.113495,190.373047,17.643526,-11.048218,-2.321869,0.660030,0,0,0,0
29,-287.752777,197.163483,14.941078,-10.505922,0.335665,0.640115,0,0,0,0
30,-301.110748,195.157501,23.697819,-15.208847,-1.871572,0.859400,0,0,0,0
31,-303.627228,199.580231,36.510185,-5.956123,2.233364,0.688456,0,0,0,0
32,-309.279388,193.702576,30.752415,-12.065928,3.281276,0.852477,0,1,0,1
33,-258.076447,203.881866,5.250920,-3.475071,4.977861,0.551583,0,0,0,0
34,-276.479553,194.031403,9.924088,-1.786390,5.633645,0.539681,0,0,0,0
35,-286.554626,198.933197,20.253235,-4.388772,10.690303,0.948309,0,0,0,0
36,-282.344818,197.901733,12.354422,-2.375586,18.463306,0.765234,0,0,1,0
37,-276.902832,196.079559,15.128263,4.800560,13.826130,0.608068,0,0,0,0
38,-294.174103,194.097443,18.599926,-1.183135,16.469316,0.496259,0,0,0,0
