subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-70.053398,112.295792,-42.836273,45.477158,-19.227360,1.799072,0.188994,21.868025,9.506943,15.178952,20.557931,12.295888,12.034249,0.072266,0,0,0,1
1,-67.620087,99.933182,-84.827049,27.251404,-25.015751,1.056678,0.182954,19.406289,13.983687,17.411679,25.803965,16.652097,16.385805,0.121582,0,0,0,0
2,-99.060806,111.714661,-83.300568,33.961109,-20.158665,0.804101,0.185498,35.640691,21.157302,17.511401,20.363941,23.092344,25.683067,0.096680,0,0,0,0
3,-89.394844,125.385635,-79.330978,28.566181,-25.160141,1.346139,0.220475,29.143900,18.096310,14.721307,25.166999,22.302454,19.558500,0.078613,0,0,0,0
4,-88.432175,132.646271,-78.069977,38.685555,-15.973461,0.741076,0.214797,24.751377,14.006385,13.483302,22.124940,20.685479,30.048454,0.079590,0,0,0,0
5,-66.689537,98.028809,-66.411285,32.397655,-27.488026,1.132965,0.136933,20.151847,10.225103,8.420827,17.204571,14.282681,18.323323,0.152344,0,0,0,0
6,-81.812668,66.059700,-28.693026,47.282455,-24.321918,0.884169,0.103441,26.545354,10.671272,12.640861,13.572777,15.360023,17.404154,0.156738,0,0,1,0
7,-107.128067,56.196220,-70.731537,39.774010,-9.032683,0.662460,0.160509,14.700299,21.807572,17.951496,19.253567,24.005360,27.065731,0.132324,0,0,0,0
8,-98.813057,81.904968,-51.716141,43.210213,-5.966150,1.959483,0.130696,12.097596,13.878460,16.017620,12.273034,16.066227,21.119109,0.147461,0,1,0,0
9,-77.381004,120.829689,-58.895302,32.969360,-28.931599,2.518683,0.180235,22.478666,9.504162,16.663908,22.429620,16.404515,22.015580,0.083984,0,0,0,0
10,-156.810379,84.100586,-72.080437,30.283438,-24.927639,0.988571,0.142491,16.980961,19.900693,28.574245,26.409069,25.491837,30.128974,0.095215,0,0,0,0
11,-90.349098,117.587540,-75.398056,31.616133,-19.054810,1.746791,0.174988,27.636014,15.083853,17.567196,26.193445,19.837254,21.350527,0.087891,0,0,0,0
12,-108.137199,122.745010,-83.730560,34.062946,-16.557201,0.722131,0.158450,26.898239,9.452427,21.956518,23.137638,17.625891,30.820701,0.106445,0,0,0,0
13,-115.807419,100.864975,-78.547806,20.045925,-30.828190,1.059743,0.151527,12.935528,27.205961,18.478221,26.204447,17.273724,26.886880,0.083496,0,0,0,0
14,-105.281464,100.082985,-82.966415,4.147425,-32.639332,1.572720,0.150040,28.677210,24.309567,25.180497,20.748273,16.363216,24.044510,0.088867,0,0,0,1
15,-70.129105,121.306061,-65.860123,33.403145,-17.980270,1.042349,0.172286,20.077282,13.249207,16.976904,16.860101,12.704034,19.256304,0.087402,0,0,0,0
16,-136.781876,150.722717,-71.988068,33.639503,12.598680,0.562220,0.082722,18.627024,9.443434,14.821608,16.898388,15.695368,20.287215,0.093262,1,0,0,0
17,-76.208511,137.027313,-58.735863,27.879826,-11.450335,1.273060,0.219908,24.176534,14.679852,19.098424,18.241820,17.501602,23.192478,0.073242,0,0,0,0
18,-86.306816,143.424606,-64.698151,36.013531,-13.492767,0.737813,0.202735,19.513572,15.498076,25.629868,19.168707,15.155336,24.104235,0.064453,0,0,0,0
19,-86.126923,137.821411,-64.479080,32.830917,-15.617357,0.655295,0.151853,39.325087,12.921559,26.467372,18.091118,15.931359,21.597926,0.088379,0,0,0,0
20,-87.056435,82.700150,-39.985695,39.216736,-21.486748,0.624279,0.087034,16.327803,9.142651,9.562862,12.547475,8.883817,16.946597,0.147949,0,0,1,0
21,-85.968178,120.972321,-56.409454,31.952190,-13.081467,1.134775,0.183417,21.220047,18.795596,18.618032,20.494901,17.745827,23.377824,0.065430,0,0,0,0
22,-114.692230,110.115303,-77.080124,15.146769,-18.635363,1.360778,0.158440,19.006757,19.629448,21.302001,24.989141,16.900078,20.417562,0.083984,0,0,0,0
23,-75.320747,118.889954,-75.740967,30.089100,-24.808678,1.065487,0.170442,23.508716,17.805366,24.027070,24.096336,15.676187,22.696578,0.108887,0,0,0,0
24,-75.121902,127.787964,-78.071045,29.031683,-18.415577,0.682869,0.165834,19.437641,14.488022,16.674983,13.915117,17.569748,20.125725,0.100586,0,1,0,0
25,-82.806244,121.018211,-49.433640,38.601200,-1.771554,1.138335,0.146244,19.006629,10.117995,11.462223,12.243429,10.442293,21.188275,0.080078,0,0,0,0
26,-92.760956,134.429718,-44.160126,31.859913,-2.554428,0.662331,0.172468,24.460001,12.338381,20.957505,24.378483,13.732272,18.324107,0.061523,0,0,0,0
27,-110.822220,108.531982,-48.423332,51.933178,2.201450,1.431178,0.112755,21.384134,8.317389,8.120822,7.463535,17.197659,17.347898,0.100586,0,0,0,0
28,-77.364815,68.361732,-38.987217,51.931057,-9.181776,1.553086,0.103959,14.452598,9.069357,8.770529,13.275987,17.158995,16.961988,0.167480,1,0,0,0
29,-79.962357,118.104324,-50.686523,45.833603,-11.822588,0.910970,0.164416,26.076921,17.649798,17.724493,24.192290,14.230172,20.213522,0.083984,0,0,0,0
30,-84.554955,136.624130,-48.565933,26.384378,-10.509463,0.725550,0.151987,36.379315,8.650410,22.329875,21.265845,16.792111,16.133403,0.077637,0,0,0,0
31,-91.816780,132.802124,-48.655869,29.949459,-11.975808,0.805119,0.144696,24.413472,13.373083,14.811595,15.964912,13.759183,21.329865,0.080078,0,0,0,0
32,-79.207008,116.746567,-33.351334,43.845394,-12.819083,1.781651,0.171292,25.530031,13.076890,13.913940,15.538466,15.661064,17.142915,0.108398,0,0,0,1
33,-79.062057,126.305000,-59.580238,25.117630,-32.637993,1.325594,0.144028,27.703125,15.690508,17.726862,25.262948,14.752307,16.394633,0.094727,0,0,0,0
34,-78.398346,115.861526,-48.163696,39.196175,-16.740173,1.560563,0.152209,24.394228,21.149511,15.563168,17.768162,13.205200,14.948370,0.107422,0,0,0,0
35,-69.290779,44.539864,-24.111166,38.490356,-40.749161,0.662841,0.157172,23.669866,11.633560,16.972911,16.131451,13.737037,15.229501,0.382324,0,0,0,0
36,-59.605698,69.137405,-20.381008,38.953926,-36.945465,1.079573,0.127880,22.668498,9.960102,9.159186,12.184822,15.482575,18.500536,0.290527,0,1,0,0
37,-84.465080,117.993736,-38.891060,37.421394,-5.934387,0.756534,0.154886,33.013657,12.999572,13.226986,14.149073,14.492975,17.483163,0.075195,0,0,0,0
38,-126.315178,150.921997,-51.667057,36.751278,3.341561,0.575183,0.152156,24.831865,14.645960,11.537901,19.256792,16.078520,18.643542,0.051270,0,0,1,0
39,-107.778656,144.728485,-41.092354,20.676235,-13.585873,0.615739,0.155469,36.196367,15.758489,15.349845,21.980701,16.558918,19.953985,0.068359,0,0,0,0
40,-110.903809,156.229797,-38.308132,22.872913,-11.686069,0.712230,0.145943,21.389919,10.928843,16.485800,16.736852,10.497695,18.151209,0.062012,0,0,0,0
41,-119.356918,128.719254,-30.802441,32.150795,-9.740241,0.747475,0.144615,27.698100,17.451583,24.755167,20.611296,18.866855,18.743216,0.050781,0,0,0,0
42,-99.544594,125.515472,-40.664345,25.642250,-6.309656,1.001261,0.168048,29.129870,18.595995,20.827686,17.828065,17.258023,23.849486,0.077637,1,0,0,0
43,-72.405678,113.295456,-63.317093,24.098667,-14.566833,1.183533,0.167070,24.717932,13.395496,14.973445,19.653974,14.752137,21.423067,0.107910,0,0,0,0
44,-68.598442,108.715225,-59.913231,37.821087,-15.486303,1.558993,0.168816,23.503531,12.173911,16.817316,23.347749,17.619063,18.882190,0.103027,0,0,0,0
45,-128.983688,36.735535,-13.474223,70.381012,-41.482056,1.281830,0.093862,30.779254,14.649310,13.279128,14.829808,13.350673,14.800207,0.313965,0,0,0,0
46,-61.373985,88.996521,-46.899994,56.967583,-32.212746,1.747057,0.141620,18.958922,12.151334,9.187808,8.780046,13.488581,13.826484,0.195801,0,0,0,1
